#
# Transition date estimate for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:04:01
# Spline RMSE gcc_mean: 0.00226
# Spline RMSE gcc_50: 0.00242
# Spline RMSE gcc_75: 0.00174
# Spline RMSE gcc_90: 0.0018
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ahwahnee,GR,2000,rising,gcc_90,2013-03-08,2013-03-19,2013-03-28,2013-03-03,2013-03-18,2013-03-26,2013-03-12,2013-03-21,2013-03-29,0.35029,0.35993,0.3775,0.34444,0.40749
ahwahnee,GR,2000,rising,gcc_90,2014-02-22,2014-03-06,2014-03-22,2014-02-18,2014-03-04,2014-03-19,2014-02-27,2014-03-09,2014-03-24,0.34928,0.35579,0.36807,0.34483,0.39069
ahwahnee,GR,2000,rising,gcc_90,2015-02-15,2015-03-10,2015-03-23,2015-02-10,2015-03-07,2015-03-21,2015-02-20,2015-03-13,2015-03-24,0.34921,0.35691,0.37053,0.3442,0.39513
ahwahnee,GR,2000,rising,gcc_75,2013-03-09,2013-03-19,2013-03-28,2013-03-07,2013-03-18,2013-03-26,2013-03-13,2013-03-21,2013-03-29,0.34863,0.35841,0.37489,0.34311,0.40477
ahwahnee,GR,2000,rising,gcc_75,2014-02-21,2014-03-07,2014-03-22,2014-02-16,2014-03-04,2014-03-19,2014-02-27,2014-03-09,2014-03-25,0.34725,0.35422,0.36582,0.34301,0.38803
ahwahnee,GR,2000,rising,gcc_75,2015-02-15,2015-03-09,2015-03-23,2015-02-11,2015-03-06,2015-03-21,2015-02-20,2015-03-12,2015-03-24,0.34699,0.35474,0.36849,0.34217,0.39341
ahwahnee,GR,2000,rising,gcc_50,2013-03-10,2013-03-19,2013-03-28,2013-03-06,2013-03-17,2013-03-26,2013-03-14,2013-03-21,2013-03-29,0.34762,0.35611,0.37207,0.34179,0.40138
ahwahnee,GR,2000,rising,gcc_50,2014-02-22,2014-03-07,2014-03-28,2014-02-17,2014-03-05,2014-03-19,2014-03-02,2014-03-10,2014-03-31,0.34507,0.3512,0.36375,0.34068,0.38574
ahwahnee,GR,2000,rising,gcc_50,2015-02-15,2015-03-08,2015-03-23,2015-02-10,2015-03-04,2015-03-20,2015-02-21,2015-03-13,2015-03-25,0.34366,0.35127,0.36501,0.33891,0.3896
ahwahnee,GR,2000,rising,gcc_mean,2013-03-11,2013-03-18,2013-03-28,2013-03-08,2013-03-17,2013-03-26,2013-03-14,2013-03-21,2013-03-29,0.3457,0.3532,0.37024,0.3403,0.39739
