#
# Transition date estimate for bozeman
#
# Site: bozeman
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:04:28
# Spline RMSE gcc_mean: 0.00261
# Spline RMSE gcc_50: 0.003
# Spline RMSE gcc_75: 0.002
# Spline RMSE gcc_90: 0.00208
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bozeman,GR,1000,rising,gcc_90,2017-05-07,2017-05-20,2017-05-30,2017-05-04,2017-05-19,2017-05-28,2017-05-12,2017-05-23,2017-05-31,0.32248,0.32842,0.34062,0.31847,0.36126
bozeman,GR,1000,rising,gcc_90,2018-05-22,2018-05-29,2018-06-06,2017-10-08,2017-10-08,2017-10-08,2018-07-19,2018-07-19,2018-07-19,0.32252,0.33003,0.34351,0.31813,0.36859
bozeman,GR,1000,rising,gcc_90,2019-05-31,2019-06-05,2019-06-13,2019-05-30,2019-06-04,2019-06-11,2019-06-02,2019-06-06,2019-06-14,0.32273,0.33289,0.35021,0.31716,0.38185
bozeman,GR,1000,rising,gcc_75,2017-05-07,2017-05-20,2017-05-30,2017-05-04,2017-05-19,2017-05-28,2017-05-12,2017-05-23,2017-05-31,0.32171,0.32748,0.33915,0.31788,0.35942
bozeman,GR,1000,rising,gcc_75,2018-05-23,2018-05-29,2018-06-07,2017-10-08,2017-10-08,2017-10-08,2018-07-19,2018-07-19,2018-07-19,0.32208,0.32868,0.34294,0.31739,0.36568
bozeman,GR,1000,rising,gcc_75,2019-05-31,2019-06-05,2019-06-13,2019-05-30,2019-06-04,2019-06-11,2019-06-02,2019-06-07,2019-06-14,0.32132,0.33072,0.34764,0.31637,0.37764
bozeman,GR,1000,rising,gcc_50,2017-05-20,2017-05-24,2017-05-31,2017-05-02,2017-05-23,2017-05-28,2017-05-23,2017-05-26,2017-06-01,0.32053,0.32603,0.33916,0.31698,0.35776
bozeman,GR,1000,rising,gcc_50,2018-05-25,2018-05-30,2018-06-08,2017-10-08,2017-10-08,2017-10-08,2018-07-19,2018-07-19,2018-07-19,0.31975,0.32735,0.34091,0.31602,0.36261
bozeman,GR,1000,rising,gcc_50,2019-06-02,2019-06-07,2019-06-13,2019-05-31,2019-06-06,2019-06-12,2019-06-04,2019-06-09,2019-06-14,0.32039,0.32845,0.34413,0.31476,0.37329
bozeman,GR,1000,rising,gcc_mean,2017-05-14,2017-05-23,2017-05-31,2017-05-04,2017-05-22,2017-05-28,2017-05-20,2017-05-25,2017-06-01,0.31995,0.32561,0.33844,0.31608,0.35682
bozeman,GR,1000,rising,gcc_mean,2018-05-25,2018-05-30,2018-06-07,2017-10-08,2017-10-08,2017-10-08,2018-07-19,2018-07-19,2018-07-19,0.32006,0.32679,0.33961,0.31545,0.36243
bozeman,GR,1000,rising,gcc_mean,2019-06-01,2019-06-06,2019-06-16,2019-05-31,2019-06-05,2019-06-14,2019-06-03,2019-06-08,2019-06-17,0.31877,0.32823,0.34492,0.31407,0.37406
bozeman,GR,1000,falling,gcc_90,2019-08-24,2019-08-18,2019-08-07,2019-08-25,2019-08-19,2019-08-09,2019-08-22,2019-08-16,2019-08-06,0.32379,0.3323,0.35052,0.31785,0.3816
bozeman,GR,1000,falling,gcc_90,2018-08-20,2018-08-12,2018-07-29,2018-09-29,2018-09-29,2018-09-29,2018-07-19,2018-07-19,2018-07-19,0.32091,0.32866,0.34343,0.31636,0.36865
bozeman,GR,1000,falling,gcc_90,2017-08-06,2017-07-30,2017-07-21,2017-08-08,2017-07-31,2017-07-23,2017-08-03,2017-07-28,2017-07-20,0.31803,0.32468,0.33845,0.31398,0.36067
bozeman,GR,1000,falling,gcc_75,2019-08-22,2019-08-16,2019-08-06,2019-08-23,2019-08-17,2019-08-09,2019-08-20,2019-08-15,2019-08-05,0.32554,0.33474,0.34995,0.32068,0.37701
bozeman,GR,1000,falling,gcc_75,2018-08-22,2018-08-13,2018-07-31,2018-09-29,2018-09-29,2018-09-29,2018-07-19,2018-07-19,2018-07-19,0.31844,0.32634,0.34013,0.31335,0.36539
bozeman,GR,1000,falling,gcc_75,2017-08-06,2017-07-30,2017-07-21,2017-08-08,2017-07-31,2017-07-23,2017-08-03,2017-07-28,2017-07-20,0.3171,0.32384,0.33715,0.31285,0.35868
bozeman,GR,1000,falling,gcc_50,2019-08-22,2019-08-17,2019-08-08,2019-08-24,2019-08-18,2019-08-10,2019-08-20,2019-08-15,2019-08-06,0.3236,0.3307,0.34574,0.31824,0.37271
bozeman,GR,1000,falling,gcc_50,2018-08-22,2018-08-13,2018-07-31,2018-09-29,2018-09-29,2018-09-29,2018-07-19,2018-07-19,2018-07-19,0.31704,0.32459,0.33735,0.31229,0.36241
bozeman,GR,1000,falling,gcc_50,2017-08-06,2017-07-30,2017-07-21,2017-08-09,2017-08-01,2017-07-23,2017-08-03,2017-07-28,2017-07-20,0.31542,0.3223,0.33504,0.31127,0.35669
bozeman,GR,1000,falling,gcc_mean,2019-08-24,2019-08-18,2019-08-08,2019-08-26,2019-08-19,2019-08-10,2019-08-22,2019-08-16,2019-08-07,0.32156,0.32966,0.34528,0.31606,0.37303
bozeman,GR,1000,falling,gcc_mean,2018-08-21,2018-08-12,2018-07-31,2018-09-29,2018-09-29,2018-09-29,2018-07-19,2018-07-19,2018-07-19,0.317,0.32471,0.33834,0.31225,0.36253
