#
# 3-day summary product timeseries for butte
#
# Site: butte
# Veg Type: GR
# ROI ID Number: 2000
# Lat: 45.95304
# Lon: -112.47964
# Elev: 1682
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2021-08-12
# Creation Time: 14:12:37
# Update Date: 2022-05-03
# Update Time: 05:20:32
# Final Processing Date:: 2022-05-03
# Final Processing Time:: 14:05:04
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2020-01-26,2020,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36326,0.36564,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-01-27,2020,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36385,0.36634,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-01-28,2020,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36442,0.36702,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-01-29,2020,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36496,0.36767,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-01-30,2020,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36549,0.3683,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-01-31,2020,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.366,0.36891,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-01,2020,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36648,0.36949,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-02,2020,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36696,0.37007,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-03,2020,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36741,0.37062,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-04,2020,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36786,0.37116,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-05,2020,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36829,0.37169,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-06,2020,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36871,0.3722,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-07,2020,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36912,0.3727,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-08,2020,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36952,0.3732,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-09,2020,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.36992,0.37369,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-10,2020,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37032,0.37417,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-11,2020,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37071,0.37464,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-12,2020,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.3711,0.37511,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-13,2020,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37149,0.37558,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-14,2020,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37188,0.37605,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-15,2020,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37227,0.37652,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-16,2020,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37267,0.37699,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-17,2020,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37307,0.37747,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-18,2020,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37348,0.37795,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-19,2020,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37391,0.37844,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-20,2020,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37431,0.37891,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-21,2020,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37469,0.37935,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-22,2020,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37503,0.37975,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-23,2020,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37534,0.38013,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-24,2020,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37562,0.38047,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-25,2020,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37587,0.38079,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-26,2020,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37611,0.38108,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-27,2020,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37632,0.38135,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-28,2020,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37651,0.3816,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-02-29,2020,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37668,0.38183,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-01,2020,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37684,0.38204,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-02,2020,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37698,0.38224,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-03,2020,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37711,0.38242,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-04,2020,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37724,0.3826,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-05,2020,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37735,0.38276,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-06,2020,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37746,0.38292,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-03-07,2020,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37122,0.37406,0.37486,0.37522,0.37757,0.38307,0.38098,0.38215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
