#
# Transition date estimate for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:07:09
# Spline RMSE gcc_mean: 0.00229
# Spline RMSE gcc_50: 0.00198
# Spline RMSE gcc_75: 0.00136
# Spline RMSE gcc_90: 0.00138
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jasperridge,GR,2000,rising,gcc_90,2017-11-23,2018-01-06,2018-03-08,2017-11-21,2018-01-05,2018-03-06,2018-01-01,2018-01-09,2018-03-09,0.34323,0.35328,0.37369,0.33672,0.4082
jasperridge,GR,2000,rising,gcc_90,2019-01-12,2019-02-24,2019-03-17,2019-01-11,2019-02-23,2019-03-14,2019-01-16,2019-02-25,2019-03-18,0.35112,0.36157,0.38152,0.34479,0.41617
jasperridge,GR,2000,rising,gcc_90,2019-12-12,2020-01-13,2020-01-29,2019-12-11,2020-01-11,2020-01-28,2019-12-14,2020-01-16,2020-03-15,0.34606,0.35797,0.37778,0.33954,0.41595
jasperridge,GR,2000,rising,gcc_75,2018-01-02,2018-01-10,2018-03-10,2018-01-01,2018-01-09,2018-03-08,2018-01-05,2018-01-13,2018-03-11,0.34701,0.35741,0.37548,0.34191,0.40544
jasperridge,GR,2000,rising,gcc_75,2019-01-14,2019-02-24,2019-03-18,2019-01-11,2019-02-23,2019-03-15,2019-01-19,2019-02-25,2019-03-19,0.35128,0.36072,0.37991,0.34442,0.41347
jasperridge,GR,2000,rising,gcc_75,2019-12-12,2020-01-13,2020-01-28,2019-12-11,2020-01-10,2020-01-27,2019-12-15,2020-01-15,2020-03-14,0.34422,0.35663,0.37557,0.33817,0.41261
jasperridge,GR,2000,rising,gcc_50,2018-01-02,2018-01-08,2018-03-09,2017-12-31,2018-01-07,2018-03-07,2018-01-04,2018-01-11,2018-03-10,0.34538,0.35329,0.37051,0.3393,0.40028
jasperridge,GR,2000,rising,gcc_50,2019-01-13,2019-02-24,2019-03-19,2019-01-11,2019-02-23,2019-03-17,2019-01-18,2019-02-25,2019-03-20,0.34984,0.35928,0.378,0.34336,0.41162
jasperridge,GR,2000,rising,gcc_50,2019-12-12,2020-01-11,2020-01-28,2019-12-11,2019-12-18,2020-01-27,2019-12-14,2020-01-14,2020-03-12,0.34274,0.35419,0.37306,0.33603,0.40899
jasperridge,GR,2000,rising,gcc_mean,2018-01-03,2018-01-10,2018-03-10,2018-01-02,2018-01-09,2018-03-08,2018-01-05,2018-01-13,2018-03-11,0.34618,0.35497,0.37189,0.34053,0.40021
