#,,,,,,,,,,,,,,,,,,
# Transition date estimate for tonzi,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# Site: tonzi,,,,,,,,,,,,,,,,,,
# Veg Type: GR,,,,,,,,,,,,,,,,,,
# ROI ID Number: 1000,,,,,,,,,,,,,,,,,,
# Aggregation period: 3day,,,,,,,,,,,,,,,,,,
# Year min: 2012,,,,,,,,,,,,,,,,,,
# Year max: 2020,,,,,,,,,,,,,,,,,,
# Final Processing Date: 2021-09-01,,,,,,,,,,,,,,,,,,
# Final Processing Time: 15:43:55,,,,,,,,,,,,,,,,,,
# Spline RMSE gcc_mean: 0.00309,,,,,,,,,,,,,,,,,,
# Spline RMSE gcc_50: 0.00297,,,,,,,,,,,,,,,,,,
# Spline RMSE gcc_75: 0.00296,,,,,,,,,,,,,,,,,,
# Spline RMSE gcc_90: 0.00281,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,GR,1000,rising,gcc_90,3/10/2012,3/18/2012,4/8/2012,3/8/2012,3/15/2012,4/3/2012,3/13/2012,3/22/2012,4/11/2012,0.31654,0.32863,0.34827,0.30985,0.38573
tonzi,GR,1000,rising,gcc_90,3/6/2013,3/13/2013,3/25/2013,3/3/2013,3/12/2013,3/21/2013,3/7/2013,3/14/2013,3/27/2013,0.31866,0.3291,0.34894,0.31217,0.38455
tonzi,GR,1000,rising,gcc_90,3/7/2014,3/16/2014,3/25/2014,3/4/2014,3/14/2014,3/24/2014,3/10/2014,3/19/2014,3/26/2014,0.31832,0.33028,0.35265,0.30985,0.39544
tonzi,GR,1000,rising,gcc_90,11/17/2015,11/27/2015,12/13/2015,10/26/2015,11/26/2015,12/12/2015,11/22/2015,12/2/2015,12/15/2015,0.30839,0.31668,0.33152,0.303,0.35847
tonzi,GR,1000,rising,gcc_90,1/30/2016,2/25/2016,3/4/2016,1/19/2016,2/22/2016,3/2/2016,2/15/2016,2/29/2016,3/5/2016,0.31925,0.32983,0.35265,0.31157,0.38913
tonzi,GR,1000,rising,gcc_90,10/18/2017,10/24/2017,11/18/2017,10/16/2017,10/23/2017,11/17/2017,10/21/2017,10/28/2017,3/15/2018,0.30881,0.31831,0.33542,0.30395,0.3667
tonzi,GR,1000,rising,gcc_90,3/14/2018,3/26/2018,4/1/2018,3/12/2018,3/25/2018,3/30/2018,3/18/2018,3/29/2018,4/2/2018,0.3261,0.33317,0.3491,0.32133,0.37556
tonzi,GR,1000,rising,gcc_90,3/5/2019,3/21/2019,3/31/2019,3/2/2019,3/20/2019,3/29/2019,3/11/2019,3/24/2019,4/1/2019,0.32021,0.33069,0.35286,0.31339,0.38937
tonzi,GR,1000,rising,gcc_90,3/2/2020,3/8/2020,3/17/2020,2/18/2020,3/7/2020,3/14/2020,3/6/2020,3/10/2020,3/20/2020,0.3236,0.33266,0.35033,0.31741,0.38182
tonzi,GR,1000,rising,gcc_75,3/1/2012,3/13/2012,4/2/2012,2/14/2012,3/11/2012,3/27/2012,3/9/2012,3/16/2012,4/8/2012,0.30839,0.31852,0.33924,0.30079,0.37724
tonzi,GR,1000,rising,gcc_75,3/5/2013,3/12/2013,3/23/2013,3/1/2013,3/10/2013,3/19/2013,3/6/2013,3/13/2013,3/25/2013,0.3156,0.32505,0.34383,0.30919,0.376
tonzi,GR,1000,rising,gcc_75,3/6/2014,3/16/2014,3/26/2014,3/4/2014,3/14/2014,3/24/2014,3/10/2014,3/19/2014,3/27/2014,0.3147,0.32747,0.35126,0.30763,0.3893
tonzi,GR,1000,rising,gcc_75,1/22/2015,2/1/2015,3/3/2015,1/20/2015,1/29/2015,2/20/2015,1/23/2015,2/2/2015,3/6/2015,0.30931,0.31927,0.33635,0.30426,0.36838
tonzi,GR,1000,rising,gcc_75,1/30/2016,2/23/2016,3/4/2016,1/21/2016,2/17/2016,3/3/2016,2/11/2016,2/28/2016,3/8/2016,0.31611,0.32718,0.34713,0.30848,0.385
tonzi,GR,1000,rising,gcc_75,10/19/2017,10/25/2017,11/19/2017,10/17/2017,10/24/2017,11/18/2017,10/22/2017,10/28/2017,3/15/2018,0.30794,0.31717,0.33315,0.30303,0.36238
tonzi,GR,1000,rising,gcc_75,3/14/2018,3/26/2018,4/1/2018,3/11/2018,3/23/2018,3/30/2018,3/18/2018,3/28/2018,4/2/2018,0.32255,0.33062,0.34579,0.31817,0.37023
tonzi,GR,1000,rising,gcc_75,3/5/2019,3/21/2019,3/31/2019,3/1/2019,3/18/2019,3/28/2019,3/11/2019,3/24/2019,4/1/2019,0.31763,0.32744,0.34708,0.31078,0.38006
tonzi,GR,1000,rising,gcc_75,2/27/2020,3/7/2020,3/17/2020,2/14/2020,3/6/2020,3/13/2020,3/5/2020,3/9/2020,3/28/2020,0.32012,0.32833,0.34676,0.31434,0.37701
tonzi,GR,1000,rising,gcc_50,2/15/2012,3/9/2012,3/25/2012,2/12/2012,3/6/2012,3/20/2012,2/19/2012,3/12/2012,4/1/2012,0.29775,0.30956,0.32971,0.29091,0.36777
tonzi,GR,1000,rising,gcc_50,3/6/2013,3/12/2013,3/22/2013,3/1/2013,3/10/2013,3/19/2013,3/7/2013,3/13/2013,3/25/2013,0.31077,0.32073,0.33745,0.3051,0.36918
tonzi,GR,1000,rising,gcc_50,3/6/2014,3/14/2014,3/25/2014,3/4/2014,3/12/2014,3/23/2014,3/9/2014,3/17/2014,3/27/2014,0.30982,0.32166,0.34331,0.30218,0.38382
tonzi,GR,1000,rising,gcc_50,11/23/2015,12/3/2015,12/17/2015,11/22/2015,12/2/2015,12/16/2015,11/27/2015,12/7/2015,3/5/2016,0.30545,0.3142,0.33197,0.29898,0.36382
tonzi,GR,1000,rising,gcc_50,1/26/2016,2/17/2016,3/4/2016,1/22/2016,2/14/2016,3/2/2016,2/6/2016,2/22/2016,3/9/2016,0.3097,0.31957,0.34033,0.30268,0.37518
tonzi,GR,1000,rising,gcc_50,10/19/2017,10/24/2017,11/16/2017,10/16/2017,10/23/2017,11/15/2017,10/22/2017,10/27/2017,11/23/2017,0.30435,0.3124,0.32764,0.29907,0.35594
tonzi,GR,1000,rising,gcc_50,3/14/2018,3/27/2018,4/2/2018,3/11/2018,3/24/2018,3/31/2018,3/19/2018,3/29/2018,4/3/2018,0.31897,0.32644,0.33959,0.31437,0.36267
tonzi,GR,1000,rising,gcc_50,3/4/2019,3/20/2019,3/30/2019,3/1/2019,3/17/2019,3/28/2019,3/10/2019,3/23/2019,4/1/2019,0.31164,0.32151,0.3394,0.30516,0.37194
tonzi,GR,1000,rising,gcc_50,2/24/2020,3/5/2020,3/13/2020,2/19/2020,3/2/2020,3/10/2020,3/1/2020,3/8/2020,3/15/2020,0.31146,0.32069,0.33737,0.30673,0.36746
tonzi,GR,1000,rising,gcc_mean,2/16/2012,3/10/2012,3/26/2012,2/12/2012,3/8/2012,3/21/2012,3/2/2012,3/13/2012,3/31/2012,0.29534,0.30667,0.32822,0.28841,0.36671
tonzi,GR,1000,rising,gcc_mean,3/6/2013,3/12/2013,3/22/2013,2/28/2013,3/10/2013,3/18/2013,3/7/2013,3/13/2013,3/24/2013,0.307,0.31648,0.3338,0.30066,0.36438
tonzi,GR,1000,rising,gcc_mean,3/5/2014,3/14/2014,3/25/2014,3/2/2014,3/11/2014,3/23/2014,3/8/2014,3/17/2014,3/26/2014,0.30518,0.31729,0.33936,0.2974,0.37716
tonzi,GR,1000,rising,gcc_mean,11/23/2015,11/30/2015,12/15/2015,11/22/2015,11/29/2015,12/14/2015,11/27/2015,12/5/2015,12/18/2015,0.30057,0.30918,0.32649,0.29456,0.35689
tonzi,GR,1000,rising,gcc_mean,1/30/2016,2/18/2016,3/4/2016,1/22/2016,2/16/2016,3/2/2016,2/14/2016,2/25/2016,3/5/2016,0.30754,0.31729,0.33917,0.3005,0.37153
tonzi,GR,1000,rising,gcc_mean,10/19/2017,10/24/2017,11/16/2017,10/17/2017,10/23/2017,11/15/2017,10/22/2017,10/27/2017,11/22/2017,0.30091,0.30922,0.32455,0.29588,0.35301
tonzi,GR,1000,rising,gcc_mean,3/7/2018,3/11/2018,3/30/2018,3/5/2018,3/9/2018,3/28/2018,3/9/2018,3/15/2018,4/1/2018,0.30151,0.31077,0.32733,0.29645,0.3577
tonzi,GR,1000,rising,gcc_mean,1/6/2019,3/5/2019,3/27/2019,12/15/2018,3/1/2019,3/24/2019,1/11/2019,3/18/2019,3/28/2019,0.29999,0.31085,0.33046,0.29335,0.36442
tonzi,GR,1000,rising,gcc_mean,2/27/2020,3/6/2020,3/14/2020,2/20/2020,3/5/2020,3/11/2020,3/4/2020,3/9/2020,3/16/2020,0.30974,0.31683,0.33514,0.30379,0.36489
tonzi,GR,1000,falling,gcc_90,5/29/2020,5/22/2020,5/9/2020,5/31/2020,5/24/2020,5/11/2020,5/26/2020,5/19/2020,5/8/2020,0.3136,0.32498,0.34574,0.30617,0.3827
tonzi,GR,1000,falling,gcc_90,6/20/2019,6/8/2019,5/9/2019,6/23/2019,6/11/2019,5/11/2019,6/16/2019,5/31/2019,5/8/2019,0.31028,0.32405,0.34932,0.30258,0.39018
tonzi,GR,1000,falling,gcc_90,6/1/2018,5/23/2018,5/15/2018,6/3/2018,5/26/2018,5/18/2018,5/27/2018,5/20/2018,5/13/2018,0.30888,0.32161,0.34224,0.3025,0.37968
tonzi,GR,1000,falling,gcc_90,6/2/2017,5/24/2017,5/16/2017,6/16/2017,6/9/2017,5/19/2017,5/26/2017,5/20/2017,5/14/2017,0.31199,0.32274,0.34578,0.30432,0.38498
tonzi,GR,1000,falling,gcc_90,5/29/2016,5/25/2016,5/17/2016,5/31/2016,5/26/2016,5/19/2016,5/27/2016,5/23/2016,5/16/2016,0.31445,0.32597,0.35119,0.30567,0.39353
tonzi,GR,1000,falling,gcc_90,5/27/2015,5/16/2015,5/8/2015,5/30/2015,5/20/2015,5/10/2015,5/23/2015,5/14/2015,5/6/2015,0.31078,0.32149,0.33933,0.30396,0.37428
tonzi,GR,1000,falling,gcc_90,5/25/2014,5/21/2014,5/16/2014,5/26/2014,5/23/2014,5/18/2014,5/22/2014,5/19/2014,5/15/2014,0.31197,0.32854,0.35582,0.30497,0.40035
tonzi,GR,1000,falling,gcc_90,5/12/2013,5/6/2013,4/28/2013,5/14/2013,5/7/2013,4/30/2013,5/9/2013,5/4/2013,4/27/2013,0.31011,0.32203,0.34462,0.30308,0.38499
tonzi,GR,1000,falling,gcc_90,5/28/2012,5/23/2012,5/16/2012,5/29/2012,5/24/2012,5/18/2012,5/25/2012,5/21/2012,5/15/2012,0.31248,0.32582,0.35005,0.30595,0.39159
tonzi,GR,1000,falling,gcc_75,5/30/2020,5/23/2020,5/9/2020,5/31/2020,5/25/2020,5/11/2020,5/26/2020,5/20/2020,5/8/2020,0.31017,0.32193,0.34169,0.30462,0.37744
tonzi,GR,1000,falling,gcc_75,6/21/2019,6/11/2019,5/10/2019,6/25/2019,6/14/2019,5/13/2019,6/18/2019,6/7/2019,5/9/2019,0.3081,0.32008,0.34262,0.30037,0.38056
tonzi,GR,1000,falling,gcc_75,6/1/2018,5/24/2018,5/16/2018,6/4/2018,5/27/2018,5/19/2018,5/27/2018,5/21/2018,5/14/2018,0.30695,0.31788,0.33797,0.30046,0.37098
tonzi,GR,1000,falling,gcc_75,6/2/2017,5/24/2017,5/16/2017,6/16/2017,6/9/2017,5/19/2017,5/26/2017,5/20/2017,5/14/2017,0.30965,0.32036,0.3438,0.30223,0.38314
tonzi,GR,1000,falling,gcc_75,5/30/2016,5/25/2016,5/17/2016,5/31/2016,5/26/2016,5/20/2016,5/27/2016,5/23/2016,5/16/2016,0.3104,0.32355,0.34758,0.30367,0.38646
tonzi,GR,1000,falling,gcc_75,5/28/2015,5/17/2015,5/8/2015,5/30/2015,5/21/2015,5/10/2015,5/24/2015,5/14/2015,5/7/2015,0.30805,0.3186,0.33665,0.30244,0.36947
tonzi,GR,1000,falling,gcc_75,5/25/2014,5/21/2014,5/16/2014,5/26/2014,5/23/2014,5/18/2014,5/22/2014,5/19/2014,5/15/2014,0.30876,0.32339,0.35072,0.30151,0.39656
tonzi,GR,1000,falling,gcc_75,5/12/2013,5/7/2013,4/29/2013,5/14/2013,5/8/2013,5/1/2013,5/10/2013,5/4/2013,4/27/2013,0.30785,0.31804,0.33896,0.30092,0.37582
tonzi,GR,1000,falling,gcc_75,5/28/2012,5/23/2012,5/17/2012,5/29/2012,5/24/2012,5/19/2012,5/25/2012,5/22/2012,5/15/2012,0.31023,0.32357,0.34402,0.30409,0.38371
tonzi,GR,1000,falling,gcc_50,5/30/2020,5/24/2020,5/10/2020,5/31/2020,5/26/2020,5/13/2020,5/27/2020,5/21/2020,5/9/2020,0.30628,0.31719,0.336,0.3011,0.36907
tonzi,GR,1000,falling,gcc_50,6/26/2019,6/16/2019,5/13/2019,7/1/2019,6/18/2019,5/18/2019,6/21/2019,6/12/2019,5/11/2019,0.30096,0.31134,0.33181,0.29396,0.36738
tonzi,GR,1000,falling,gcc_50,6/2/2018,5/25/2018,5/17/2018,6/5/2018,5/29/2018,5/20/2018,5/28/2018,5/22/2018,5/16/2018,0.30135,0.31233,0.33243,0.29513,0.36399
tonzi,GR,1000,falling,gcc_50,6/8/2017,5/23/2017,5/16/2017,6/16/2017,6/16/2017,5/19/2017,5/26/2017,5/20/2017,5/15/2017,0.30243,0.31598,0.33874,0.29693,0.37421
tonzi,GR,1000,falling,gcc_50,5/30/2016,5/26/2016,5/18/2016,5/31/2016,5/27/2016,5/20/2016,5/27/2016,5/24/2016,5/17/2016,0.30697,0.31707,0.34174,0.30061,0.37874
tonzi,GR,1000,falling,gcc_50,5/26/2015,5/16/2015,5/8/2015,5/29/2015,5/18/2015,5/10/2015,5/20/2015,5/13/2015,5/6/2015,0.30463,0.31429,0.33297,0.29862,0.36709
tonzi,GR,1000,falling,gcc_50,5/25/2014,5/21/2014,5/15/2014,5/26/2014,5/23/2014,5/18/2014,5/22/2014,5/18/2014,5/14/2014,0.30437,0.31797,0.34651,0.29747,0.38417
tonzi,GR,1000,falling,gcc_50,5/14/2013,5/8/2013,4/30/2013,5/16/2013,5/10/2013,5/2/2013,5/11/2013,5/5/2013,4/28/2013,0.30161,0.31289,0.33268,0.29565,0.36952
tonzi,GR,1000,falling,gcc_50,5/28/2012,5/24/2012,5/18/2012,5/30/2012,5/25/2012,5/20/2012,5/26/2012,5/22/2012,5/17/2012,0.30669,0.31693,0.3383,0.29944,0.37258
tonzi,GR,1000,falling,gcc_mean,5/30/2020,5/24/2020,5/9/2020,6/1/2020,5/25/2020,5/12/2020,5/26/2020,5/21/2020,5/8/2020,0.30072,0.31136,0.33198,0.29521,0.36659
