#
# Transition date estimate for NEON.D06.KONZ.DP1.00033
#
# Site: NEON.D06.KONZ.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:09:57
# Spline RMSE gcc_mean: 0.00262
# Spline RMSE gcc_50: 0.00264
# Spline RMSE gcc_75: 0.00267
# Spline RMSE gcc_90: 0.00286
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_90,2017-04-12,2017-04-23,2017-05-09,2017-04-05,2017-04-19,2017-05-06,2017-04-17,2017-04-28,2017-05-10,0.333,0.34223,0.35816,0.32759,0.38668
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_90,2018-04-15,2018-04-23,2018-04-30,2018-04-12,2018-04-22,2018-04-28,2018-04-19,2018-04-25,2018-05-01,0.33956,0.35452,0.38416,0.33007,0.43351
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_90,2019-04-16,2019-04-22,2019-04-30,2019-04-13,2019-04-21,2019-04-28,2019-04-18,2019-04-24,2019-05-01,0.34,0.35301,0.37956,0.33031,0.42775
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_90,2020-04-12,2020-04-23,2020-05-04,2020-03-17,2020-03-17,2020-03-17,2020-06-03,2020-06-03,2020-06-03,0.33572,0.35335,0.38389,0.32525,0.43887
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_75,2017-04-09,2017-04-21,2017-05-08,2017-04-02,2017-04-17,2017-05-05,2017-04-15,2017-04-25,2017-05-10,0.33069,0.33948,0.35507,0.32475,0.38447
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_75,2018-04-15,2018-04-23,2018-04-30,2018-04-12,2018-04-22,2018-04-29,2018-04-18,2018-04-25,2018-05-01,0.33888,0.35261,0.38055,0.32922,0.43136
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_75,2019-04-15,2019-04-22,2019-05-01,2019-04-12,2019-04-21,2019-04-29,2019-04-18,2019-04-24,2019-05-02,0.33753,0.35107,0.37887,0.32856,0.42365
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_75,2020-04-12,2020-04-23,2020-05-04,2020-03-17,2020-03-17,2020-03-17,2020-06-03,2020-06-03,2020-06-03,0.33492,0.35152,0.38113,0.32378,0.4382
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_50,2017-04-08,2017-04-21,2017-05-08,2017-04-04,2017-04-17,2017-05-05,2017-04-15,2017-04-26,2017-05-10,0.32907,0.33787,0.35352,0.32347,0.38211
NEON.D06.KONZ.DP1.00033,GR,1000,rising,gcc_50,2018-04-15,2018-04-24,2018-05-01,2018-04-12,2018-04-23,2018-04-29,2018-04-19,2018-04-26,2018-05-02,0.33736,0.35235,0.38175,0.32788,0.42856
