#
# Transition date estimate for NEON.D09.DCFS.DP1.00033
#
# Site: NEON.D09.DCFS.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:10:06
# Spline RMSE gcc_mean: 0.00167
# Spline RMSE gcc_50: 0.00172
# Spline RMSE gcc_75: 0.00176
# Spline RMSE gcc_90: 0.00191
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_90,2018-04-30,2018-05-05,2018-05-12,2018-04-29,2018-05-04,2018-05-11,2018-05-02,2018-05-07,2018-05-13,0.34181,0.35453,0.3782,0.33474,0.42073
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_90,2019-04-25,2019-05-08,2019-05-17,2019-04-23,2019-05-06,2019-05-15,2019-04-29,2019-05-09,2019-05-18,0.34289,0.35602,0.37817,0.33478,0.42037
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_90,2020-04-26,2020-05-01,2020-05-15,2020-04-25,2020-04-30,2020-05-14,2020-04-28,2020-05-04,2020-05-16,0.34481,0.35579,0.37649,0.33772,0.4148
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_75,2018-04-30,2018-05-05,2018-05-13,2018-04-29,2018-05-04,2018-05-11,2018-05-02,2018-05-07,2018-05-14,0.34085,0.35324,0.37913,0.33425,0.41824
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_75,2019-04-25,2019-05-08,2019-05-17,2019-04-23,2019-05-07,2019-05-16,2019-04-29,2019-05-10,2019-05-18,0.3422,0.35466,0.37605,0.33413,0.41732
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_75,2020-04-26,2020-05-01,2020-05-15,2020-04-25,2020-04-30,2020-05-14,2020-04-28,2020-05-03,2020-05-16,0.34362,0.35448,0.37464,0.33664,0.41116
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_50,2018-05-01,2018-05-05,2018-05-13,2018-04-30,2018-05-04,2018-05-11,2018-05-02,2018-05-07,2018-05-14,0.34124,0.35108,0.37497,0.33356,0.41362
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_50,2019-04-25,2019-05-08,2019-05-17,2019-04-23,2019-05-07,2019-05-15,2019-04-29,2019-05-09,2019-05-18,0.34056,0.35279,0.37385,0.33332,0.41175
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_50,2020-04-25,2020-05-01,2020-05-15,2020-04-24,2020-04-30,2020-05-13,2020-04-27,2020-05-03,2020-05-16,0.33983,0.35266,0.372,0.33464,0.40698
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_mean,2018-05-01,2018-05-05,2018-05-13,2018-04-30,2018-05-04,2018-05-11,2018-05-02,2018-05-07,2018-05-14,0.34126,0.35086,0.37421,0.3335,0.41141
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_mean,2019-04-25,2019-05-07,2019-05-17,2019-04-23,2019-05-06,2019-05-15,2019-04-29,2019-05-09,2019-05-18,0.3404,0.35106,0.37378,0.33325,0.41003
NEON.D09.DCFS.DP1.00033,GR,1000,rising,gcc_mean,2020-04-25,2020-04-30,2020-05-15,2020-04-24,2020-04-29,2020-05-13,2020-04-27,2020-05-03,2020-05-16,0.33976,0.35022,0.37146,0.33458,0.40513
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_90,2020-09-21,2020-09-11,2020-08-28,2020-09-24,2020-09-12,2020-08-29,2020-09-18,2020-09-09,2020-08-26,0.34065,0.35061,0.36994,0.33374,0.40436
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_90,2019-10-14,2019-10-06,2019-08-27,2019-10-18,2019-10-07,2019-09-06,2019-10-10,2019-10-04,2019-08-24,0.34324,0.35539,0.37555,0.33576,0.41498
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_90,2018-09-26,2018-09-10,2018-08-01,2018-10-01,2018-09-12,2018-08-03,2018-09-20,2018-09-06,2018-07-30,0.34762,0.35845,0.37795,0.34023,0.4156
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_75,2020-09-22,2020-09-11,2020-08-29,2020-09-25,2020-09-13,2020-08-30,2020-09-18,2020-09-09,2020-08-27,0.33925,0.34966,0.36718,0.33277,0.40148
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_75,2019-10-14,2019-10-06,2019-08-26,2019-10-17,2019-10-07,2019-09-07,2019-10-10,2019-10-04,2019-08-24,0.34231,0.35387,0.37379,0.33527,0.41125
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_75,2018-09-25,2018-08-18,2018-07-31,2018-09-30,2018-09-12,2018-08-02,2018-09-20,2018-08-17,2018-07-30,0.34637,0.35722,0.37654,0.33913,0.41249
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_50,2020-09-24,2020-09-12,2020-08-29,2020-09-28,2020-09-13,2020-08-30,2020-09-20,2020-09-10,2020-08-27,0.3374,0.34665,0.36455,0.33107,0.39745
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_50,2019-10-12,2019-10-06,2019-08-24,2019-10-14,2019-10-07,2019-08-28,2019-10-09,2019-10-04,2019-08-22,0.34235,0.35247,0.372,0.33596,0.40764
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_50,2018-09-27,2018-08-17,2018-07-31,2018-10-01,2018-09-12,2018-08-02,2018-09-21,2018-08-16,2018-07-29,0.34457,0.35528,0.37375,0.33781,0.40867
NEON.D09.DCFS.DP1.00033,GR,1000,falling,gcc_mean,2020-09-23,2020-09-12,2020-08-29,2020-09-26,2020-09-13,2020-08-30,2020-09-19,2020-09-09,2020-08-27,0.33742,0.34639,0.36422,0.33128,0.39699
