#
# Transition date estimate for NEON.D09.NOGP.DP1.00033
#
# Site: NEON.D09.NOGP.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:10:14
# Spline RMSE gcc_mean: 0.00199
# Spline RMSE gcc_50: 0.00181
# Spline RMSE gcc_75: 0.00207
# Spline RMSE gcc_90: 0.00231
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_90,2018-05-01,2018-05-06,2018-05-14,2018-04-29,2018-05-05,2018-05-13,2018-05-03,2018-05-08,2018-05-15,0.33286,0.342,0.36243,0.32587,0.39749
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_90,2019-04-30,2019-05-10,2019-05-21,2019-04-28,2019-05-09,2019-05-19,2019-05-03,2019-05-12,2019-05-22,0.33384,0.34649,0.36933,0.32624,0.40897
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_90,2020-04-22,2020-04-29,2020-05-13,2020-04-20,2020-04-28,2020-05-10,2020-04-25,2020-05-02,2020-05-14,0.32958,0.33822,0.35512,0.32438,0.38385
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_75,2018-05-01,2018-05-06,2018-05-14,2018-04-29,2018-05-05,2018-05-13,2018-05-03,2018-05-08,2018-05-15,0.33179,0.34051,0.36013,0.32515,0.39377
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_75,2019-04-30,2019-05-10,2019-05-21,2019-04-27,2019-05-09,2019-05-19,2019-05-03,2019-05-12,2019-05-22,0.33321,0.34458,0.3671,0.32547,0.40617
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_75,2020-04-24,2020-05-01,2020-05-14,2020-04-23,2020-04-30,2020-05-11,2020-04-27,2020-05-03,2020-05-15,0.33096,0.33975,0.35493,0.32655,0.38183
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_50,2018-05-01,2018-05-07,2018-05-15,2018-04-30,2018-05-06,2018-05-13,2018-05-04,2018-05-09,2018-05-16,0.33005,0.3398,0.35881,0.32439,0.39124
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_50,2019-04-30,2019-05-10,2019-05-20,2019-04-25,2019-05-09,2019-05-19,2019-05-05,2019-05-12,2019-05-21,0.33214,0.3421,0.36419,0.32427,0.40344
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_50,2020-04-25,2020-05-01,2020-05-16,2020-04-24,2020-04-30,2020-05-12,2020-04-27,2020-05-03,2020-05-18,0.33018,0.33839,0.35361,0.32548,0.38001
NEON.D09.NOGP.DP1.00033,GR,1000,rising,gcc_mean,2018-05-01,2018-05-07,2018-05-15,2018-04-29,2018-05-06,2018-05-13,2018-05-03,2018-05-09,2018-05-16,0.33052,0.34056,0.35939,0.32429,0.39068
