#
# Transition date estimate for NEON.D10.CPER.DP1.00033
#
# Site: NEON.D10.CPER.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:10:35
# Spline RMSE gcc_mean: 0.00114
# Spline RMSE gcc_50: 0.00107
# Spline RMSE gcc_75: 0.00104
# Spline RMSE gcc_90: 0.0011
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_90,2017-04-25,2017-05-06,2017-05-15,2017-04-19,2017-05-05,2017-05-13,2017-04-26,2017-05-08,2017-05-17,0.33928,0.34562,0.35896,0.33447,0.38342
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_90,2018-04-27,2018-05-05,2018-05-13,2018-04-25,2018-05-04,2018-05-12,2018-04-29,2018-05-07,2018-05-14,0.33837,0.34601,0.36051,0.33309,0.38676
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_90,2019-04-26,2019-05-08,2019-05-26,2019-04-24,2019-05-07,2019-05-24,2019-04-28,2019-05-10,2019-05-27,0.33944,0.34828,0.36519,0.33311,0.39659
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_75,2017-04-22,2017-05-06,2017-05-16,2017-04-16,2017-05-05,2017-05-14,2017-04-23,2017-05-08,2017-05-17,0.33833,0.34491,0.35766,0.33362,0.38116
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_75,2018-04-26,2018-05-05,2018-05-13,2018-04-24,2018-05-04,2018-05-12,2018-04-29,2018-05-07,2018-05-14,0.33726,0.34515,0.35942,0.33263,0.38461
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_75,2019-04-25,2019-05-08,2019-05-27,2019-04-24,2019-05-07,2019-05-25,2019-04-28,2019-05-11,2019-05-28,0.33814,0.34699,0.36474,0.33256,0.39444
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_50,2017-04-13,2017-05-05,2017-05-15,2017-04-08,2017-05-03,2017-05-13,2017-04-18,2017-05-07,2017-05-17,0.33594,0.34273,0.35483,0.33128,0.37831
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_50,2018-04-26,2018-05-05,2018-05-13,2018-04-24,2018-05-04,2018-05-12,2018-04-29,2018-05-07,2018-05-14,0.33674,0.34421,0.35739,0.33198,0.38206
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_50,2019-04-28,2019-05-09,2019-05-27,2019-04-26,2019-05-08,2019-05-25,2019-04-30,2019-05-11,2019-05-28,0.33795,0.34674,0.36292,0.33191,0.39253
NEON.D10.CPER.DP1.00033,GR,1000,rising,gcc_mean,2017-04-13,2017-05-04,2017-05-18,2017-04-07,2017-05-03,2017-05-15,2017-04-18,2017-05-07,2017-05-19,0.33598,0.34233,0.35543,0.33132,0.37819
