#
# Transition date estimate for NEON.D15.ONAQ.DP1.00033
#
# Site: NEON.D15.ONAQ.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:11:14
# Spline RMSE gcc_mean: 0.00114
# Spline RMSE gcc_50: 0.0012
# Spline RMSE gcc_75: 0.00139
# Spline RMSE gcc_90: 0.00165
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2017-03-24,2017-04-11,2017-04-30,2017-03-20,2017-04-09,2017-04-18,2017-04-01,2017-04-14,2017-05-01,0.3454,0.35079,0.36147,0.34186,0.37861
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2018-03-24,2018-04-03,2018-04-21,2018-03-04,2018-03-31,2018-04-17,2018-03-31,2018-04-07,2018-04-23,0.3475,0.35234,0.3614,0.3443,0.37729
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2019-03-18,2019-04-01,2019-04-13,2019-03-08,2019-03-29,2019-04-09,2019-03-25,2019-04-04,2019-04-14,0.34946,0.35571,0.36686,0.34563,0.38645
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2017-03-23,2017-04-10,2017-04-20,2017-03-19,2017-04-08,2017-04-17,2017-03-30,2017-04-13,2017-04-30,0.34346,0.34844,0.35696,0.34057,0.37332
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2018-03-20,2018-04-02,2018-04-20,2018-03-03,2018-03-31,2018-04-17,2018-03-29,2018-04-06,2018-04-22,0.34608,0.35008,0.35873,0.34308,0.37335
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2019-03-16,2019-03-29,2019-04-10,2019-02-23,2019-03-26,2019-04-08,2019-03-21,2019-04-02,2019-04-12,0.34737,0.35232,0.36214,0.34372,0.38025
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2017-03-24,2017-04-10,2017-04-19,2017-03-20,2017-04-07,2017-04-16,2017-03-31,2017-04-12,2017-04-22,0.34265,0.3467,0.35414,0.34015,0.36709
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2018-03-18,2018-04-02,2018-04-19,2018-03-03,2018-03-31,2018-04-16,2018-03-27,2018-04-05,2018-04-21,0.34485,0.34878,0.35602,0.34218,0.3696
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2019-03-16,2019-03-29,2019-04-10,2019-02-22,2019-03-26,2019-04-07,2019-03-21,2019-04-01,2019-04-12,0.34594,0.35101,0.35979,0.34289,0.37545
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2017-03-21,2017-04-09,2017-04-19,2017-03-18,2017-04-06,2017-04-17,2017-03-27,2017-04-12,2017-04-30,0.34207,0.3464,0.3543,0.33954,0.3686
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2018-03-19,2018-04-02,2018-04-20,2018-03-03,2018-03-31,2018-04-17,2018-03-27,2018-04-05,2018-04-22,0.34502,0.34907,0.3566,0.34231,0.37025
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2019-03-15,2019-03-29,2019-04-11,2019-02-22,2019-03-27,2019-04-08,2019-03-20,2019-04-01,2019-04-12,0.34611,0.351,0.36049,0.34278,0.37706
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_90,2019-06-17,2019-06-14,2019-06-10,2019-06-18,2019-06-15,2019-06-12,2019-06-15,2019-06-13,2019-06-09,0.3491,0.35538,0.3692,0.34619,0.38383
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_90,2018-06-18,2018-06-08,2018-05-29,2018-06-20,2018-06-12,2018-05-31,2018-06-14,2018-06-04,2018-05-28,0.34547,0.35073,0.36116,0.34244,0.37755
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_90,2017-06-17,2017-06-12,2017-06-08,2017-06-20,2017-06-14,2017-06-09,2017-06-14,2017-06-11,2017-06-07,0.34853,0.3537,0.36257,0.34541,0.37911
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_75,2019-06-18,2019-06-15,2019-06-11,2019-06-19,2019-06-16,2019-06-12,2019-06-16,2019-06-13,2019-06-10,0.34589,0.35119,0.36158,0.34334,0.37913
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_75,2018-06-17,2018-06-06,2018-05-29,2018-06-20,2018-06-09,2018-05-31,2018-06-13,2018-06-03,2018-05-28,0.34348,0.34829,0.35724,0.34036,0.37332
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_75,2017-06-19,2017-06-14,2017-06-08,2017-06-23,2017-06-16,2017-06-10,2017-06-16,2017-06-11,2017-06-07,0.34525,0.34911,0.35794,0.34228,0.37254
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_50,2019-06-17,2019-06-15,2019-06-10,2019-06-18,2019-06-16,2019-06-12,2019-06-16,2019-06-13,2019-06-09,0.34451,0.34825,0.36162,0.34154,0.37539
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_50,2018-06-15,2018-06-06,2018-05-29,2018-06-18,2018-06-09,2018-05-31,2018-06-12,2018-06-03,2018-05-28,0.34181,0.34633,0.35466,0.33872,0.3699
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_50,2017-06-21,2017-06-14,2017-06-08,2017-06-25,2017-06-16,2017-06-10,2017-06-17,2017-06-12,2017-06-07,0.34313,0.34727,0.35552,0.34079,0.36749
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_mean,2019-06-17,2019-06-14,2019-06-10,2019-06-18,2019-06-15,2019-06-11,2019-06-15,2019-06-12,2019-06-09,0.34463,0.35017,0.3613,0.34216,0.37721
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_mean,2018-06-16,2018-06-06,2018-05-29,2018-06-19,2018-06-09,2018-05-30,2018-06-12,2018-06-03,2018-05-28,0.34232,0.3469,0.35524,0.33935,0.37062
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_mean,2017-06-20,2017-06-14,2017-06-09,2017-06-24,2017-06-16,2017-06-10,2017-06-17,2017-06-12,2017-06-08,0.34413,0.3481,0.35533,0.34155,0.36854
