#
# Transition date estimate for butte
#
# Site: butte
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:05:01
# Spline RMSE gcc_mean: 0.00168
# Spline RMSE gcc_50: 0.00192
# Spline RMSE gcc_75: 0.00167
# Spline RMSE gcc_90: 0.00177
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
butte,GR,1000,rising,gcc_90,2009-05-19,2009-05-26,2009-06-04,2009-05-16,2009-05-25,2009-06-02,2009-05-22,2009-05-28,2009-06-05,0.35957,0.36874,0.38538,0.35392,0.41449
butte,GR,1000,rising,gcc_90,2010-05-17,2010-05-30,2010-06-07,2010-05-14,2010-05-26,2010-05-26,2010-05-21,2010-06-13,2010-06-13,0.36086,0.36945,0.38526,0.35541,0.41451
butte,GR,1000,rising,gcc_90,2011-05-17,2011-05-23,2011-06-15,2011-05-06,2011-05-17,2011-05-17,2011-06-07,2011-06-16,2011-06-16,0.35849,0.36668,0.3876,0.35218,0.41787
butte,GR,1000,rising,gcc_90,2012-05-24,2012-06-03,2012-06-20,2012-05-12,2012-06-02,2012-06-17,2012-05-28,2012-06-06,2012-06-22,0.36238,0.37002,0.38617,0.35662,0.41456
butte,GR,1000,rising,gcc_90,2013-05-12,2013-05-26,2013-06-05,2013-05-07,2013-05-24,2013-06-03,2013-05-16,2013-05-28,2013-06-06,0.36179,0.37106,0.38846,0.35564,0.41846
butte,GR,1000,rising,gcc_90,2014-05-18,2014-05-25,2014-06-05,2014-05-17,2014-05-24,2014-06-03,2014-05-21,2014-05-27,2014-06-07,0.36399,0.37313,0.38999,0.35846,0.42125
butte,GR,1000,rising,gcc_90,2015-05-15,2015-05-20,2015-05-27,2015-05-13,2015-05-19,2015-05-25,2015-05-17,2015-05-22,2015-05-28,0.36458,0.37203,0.39221,0.35865,0.42061
butte,GR,1000,rising,gcc_90,2016-04-08,2016-04-28,2016-05-08,2016-03-31,2016-04-26,2016-05-06,2016-04-14,2016-04-30,2016-05-09,0.35962,0.3691,0.38588,0.35327,0.41688
butte,GR,1000,rising,gcc_90,2017-04-29,2017-05-06,2017-05-21,2017-04-27,2017-05-05,2017-05-18,2017-05-02,2017-05-08,2017-05-23,0.36215,0.36996,0.3826,0.35796,0.40675
butte,GR,1000,rising,gcc_90,2018-04-30,2018-05-08,2018-05-16,2018-04-28,2018-05-07,2018-05-14,2018-05-03,2018-05-10,2018-05-17,0.3623,0.37185,0.38932,0.3567,0.41967
butte,GR,1000,rising,gcc_90,2019-05-06,2019-05-13,2019-05-23,2019-05-04,2019-05-12,2019-05-21,2019-05-08,2019-05-15,2019-05-24,0.36134,0.37065,0.38809,0.35537,0.418
butte,GR,1000,rising,gcc_75,2009-05-19,2009-05-26,2009-06-05,2009-05-15,2009-05-25,2009-06-03,2009-05-22,2009-05-28,2009-06-06,0.35843,0.36577,0.38242,0.35271,0.41017
butte,GR,1000,rising,gcc_75,2010-05-19,2010-05-31,2010-06-07,2010-05-15,2010-05-26,2010-05-26,2010-05-25,2010-06-13,2010-06-13,0.3597,0.36736,0.38268,0.35438,0.41078
butte,GR,1000,rising,gcc_75,2011-05-17,2011-05-24,2011-06-14,2011-05-04,2011-05-17,2011-05-17,2011-06-07,2011-06-16,2011-06-16,0.35698,0.36624,0.38319,0.35132,0.41266
butte,GR,1000,rising,gcc_75,2012-05-25,2012-06-04,2012-06-21,2012-05-12,2012-06-03,2012-06-18,2012-05-29,2012-06-07,2012-06-22,0.36126,0.36882,0.38407,0.35586,0.41074
butte,GR,1000,rising,gcc_75,2013-05-13,2013-05-27,2013-06-06,2013-05-08,2013-05-26,2013-06-04,2013-05-19,2013-05-30,2013-06-07,0.36056,0.36872,0.38654,0.35487,0.41492
butte,GR,1000,rising,gcc_75,2014-05-15,2014-05-24,2014-06-04,2014-05-12,2014-05-23,2014-06-02,2014-05-18,2014-05-26,2014-06-05,0.35963,0.36874,0.38595,0.3536,0.41732
butte,GR,1000,rising,gcc_75,2015-05-15,2015-05-21,2015-05-27,2015-05-13,2015-05-20,2015-05-25,2015-05-17,2015-05-22,2015-05-28,0.36294,0.37178,0.38819,0.35731,0.41633
butte,GR,1000,rising,gcc_75,2016-04-07,2016-04-28,2016-05-09,2016-03-31,2016-04-26,2016-05-07,2016-04-14,2016-04-30,2016-05-10,0.35819,0.36736,0.38424,0.35209,0.41353
butte,GR,1000,rising,gcc_75,2017-04-30,2017-05-06,2017-05-22,2017-04-28,2017-05-05,2017-05-20,2017-05-03,2017-05-09,2017-05-24,0.36184,0.36793,0.38062,0.35773,0.40325
butte,GR,1000,rising,gcc_75,2018-05-01,2018-05-08,2018-05-16,2018-04-29,2018-05-07,2018-05-14,2018-05-04,2018-05-10,2018-05-17,0.36134,0.36993,0.38659,0.35569,0.41575
butte,GR,1000,rising,gcc_75,2019-05-06,2019-05-13,2019-05-23,2019-05-04,2019-05-11,2019-05-21,2019-05-08,2019-05-15,2019-05-24,0.36035,0.36923,0.38592,0.35454,0.41363
butte,GR,1000,rising,gcc_50,2009-05-17,2009-05-26,2009-06-05,2009-05-14,2009-05-25,2009-06-03,2009-05-21,2009-05-28,2009-06-06,0.35557,0.36366,0.3791,0.35062,0.40485
butte,GR,1000,rising,gcc_50,2010-05-22,2010-05-31,2010-06-07,2010-05-18,2010-05-26,2010-05-26,2010-05-26,2010-06-13,2010-06-13,0.35758,0.36541,0.38039,0.35266,0.40514
butte,GR,1000,rising,gcc_50,2011-05-17,2011-05-23,2011-06-06,2011-05-09,2011-05-17,2011-05-17,2011-06-06,2011-06-16,2011-06-16,0.35583,0.36321,0.37875,0.3504,0.40701
butte,GR,1000,rising,gcc_50,2012-05-25,2012-06-04,2012-06-20,2012-05-11,2012-06-03,2012-06-17,2012-05-30,2012-06-07,2012-06-22,0.3591,0.36608,0.38018,0.35406,0.40581
butte,GR,1000,rising,gcc_50,2013-05-09,2013-05-27,2013-06-05,2013-05-03,2013-05-25,2013-06-03,2013-05-17,2013-05-29,2013-06-06,0.35776,0.36585,0.3811,0.35222,0.40874
butte,GR,1000,rising,gcc_50,2014-05-15,2014-05-24,2014-06-04,2014-05-07,2014-05-23,2014-06-02,2014-05-19,2014-05-26,2014-06-05,0.35758,0.36568,0.38235,0.35188,0.41111
butte,GR,1000,rising,gcc_50,2015-05-15,2015-05-21,2015-05-27,2015-05-12,2015-05-20,2015-05-25,2015-05-17,2015-05-22,2015-05-28,0.36154,0.36913,0.3837,0.35621,0.40959
butte,GR,1000,rising,gcc_50,2016-04-13,2016-04-27,2016-05-08,2016-03-30,2016-04-25,2016-05-06,2016-04-19,2016-04-29,2016-05-09,0.3562,0.36476,0.37935,0.35075,0.40753
butte,GR,1000,rising,gcc_50,2017-04-29,2017-05-05,2017-05-20,2017-04-26,2017-05-04,2017-05-15,2017-05-02,2017-05-07,2017-05-22,0.35913,0.36487,0.37669,0.35504,0.39743
butte,GR,1000,rising,gcc_50,2018-05-01,2018-05-08,2018-05-16,2018-04-28,2018-05-07,2018-05-14,2018-05-03,2018-05-09,2018-05-17,0.35944,0.36774,0.38279,0.35389,0.40959
butte,GR,1000,rising,gcc_50,2019-05-05,2019-05-12,2019-05-22,2019-05-02,2019-05-11,2019-05-20,2019-05-08,2019-05-14,2019-05-23,0.358,0.36579,0.38083,0.35293,0.40755
butte,GR,1000,rising,gcc_mean,2009-05-18,2009-05-26,2009-06-04,2009-05-15,2009-05-25,2009-06-02,2009-05-22,2009-05-28,2009-06-05,0.35539,0.36312,0.37688,0.35061,0.40305
