#
# Transition date estimate for cperuvb
#
# Site: cperuvb
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:05:28
# Spline RMSE gcc_mean: 0.00115
# Spline RMSE gcc_50: 0.00107
# Spline RMSE gcc_75: 0.00103
# Spline RMSE gcc_90: 0.00105
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
cperuvb,GR,1000,rising,gcc_90,2016-04-21,2016-05-03,2016-05-17,2016-04-18,2016-05-02,2016-05-15,2016-04-25,2016-05-06,2016-05-18,0.33169,0.33705,0.34767,0.32796,0.36641
cperuvb,GR,1000,rising,gcc_90,2017-04-30,2017-05-07,2017-05-18,2017-04-26,2017-05-06,2017-05-16,2017-05-03,2017-05-09,2017-05-19,0.33414,0.33824,0.34749,0.33097,0.36314
cperuvb,GR,1000,rising,gcc_90,2018-04-27,2018-05-05,2018-05-14,2018-04-25,2018-05-04,2018-05-12,2018-04-29,2018-05-07,2018-05-15,0.33273,0.33877,0.35047,0.32882,0.36988
cperuvb,GR,1000,rising,gcc_90,2019-05-06,2019-05-21,2019-06-02,2019-05-04,2019-05-19,2019-06-01,2019-05-10,2019-05-23,2019-06-03,0.33389,0.34149,0.35465,0.32909,0.3799
cperuvb,GR,1000,rising,gcc_75,2016-04-19,2016-05-02,2016-05-16,2016-04-16,2016-04-30,2016-05-14,2016-04-23,2016-05-05,2016-05-17,0.33039,0.33591,0.34585,0.32669,0.36478
cperuvb,GR,1000,rising,gcc_75,2017-04-29,2017-05-07,2017-05-18,2017-04-25,2017-05-06,2017-05-16,2017-05-02,2017-05-09,2017-05-19,0.3332,0.33736,0.346,0.33031,0.36109
cperuvb,GR,1000,rising,gcc_75,2018-04-26,2018-05-05,2018-05-14,2018-04-24,2018-05-04,2018-05-12,2018-04-29,2018-05-07,2018-05-15,0.33155,0.33782,0.34933,0.32805,0.36817
cperuvb,GR,1000,rising,gcc_75,2019-05-05,2019-05-21,2019-06-03,2019-05-03,2019-05-19,2019-06-01,2019-05-09,2019-05-23,2019-06-04,0.33307,0.34082,0.35418,0.32841,0.3782
cperuvb,GR,1000,rising,gcc_50,2016-04-17,2016-04-30,2016-05-16,2016-04-13,2016-04-28,2016-05-13,2016-04-21,2016-05-03,2016-05-17,0.32903,0.33423,0.3446,0.32551,0.36213
cperuvb,GR,1000,rising,gcc_50,2017-04-10,2017-05-03,2017-05-15,2017-04-06,2017-04-30,2017-05-13,2017-04-16,2017-05-06,2017-05-17,0.32922,0.33416,0.34239,0.32596,0.35879
cperuvb,GR,1000,rising,gcc_50,2018-04-27,2018-05-05,2018-05-14,2018-04-25,2018-05-04,2018-05-12,2018-04-30,2018-05-07,2018-05-15,0.33141,0.33699,0.34743,0.32783,0.36619
cperuvb,GR,1000,rising,gcc_50,2019-05-05,2019-05-20,2019-06-03,2019-05-03,2019-05-19,2019-06-01,2019-05-09,2019-05-23,2019-06-04,0.33227,0.33932,0.35239,0.32769,0.3761
cperuvb,GR,1000,rising,gcc_mean,2016-04-18,2016-05-01,2016-05-15,2016-04-14,2016-04-29,2016-05-13,2016-04-22,2016-05-04,2016-05-17,0.32903,0.3345,0.34403,0.32544,0.36232
cperuvb,GR,1000,rising,gcc_mean,2017-04-29,2017-05-07,2017-05-19,2017-04-25,2017-05-05,2017-05-16,2017-05-02,2017-05-10,2017-05-21,0.33249,0.33663,0.34478,0.32973,0.35915
