#
# Transition date estimate for forbes
#
# Site: forbes
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2021-09-01
# Final Processing Time: 15:33:07
# Spline RMSE gcc_mean: 0.00154
# Spline RMSE gcc_50: 0.00153
# Spline RMSE gcc_75: 0.00197
# Spline RMSE gcc_90: 0.0021
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
forbes,GR,1000,rising,gcc_90,2017-11-03,2017-11-07,2017-11-12,2017-11-01,2017-11-06,2017-11-11,2017-11-06,2017-11-09,2017-11-13,0.35691,0.36575,0.39452,0.34942,0.43388
forbes,GR,1000,rising,gcc_90,2018-11-26,2019-01-08,2019-02-02,2018-11-24,2019-01-05,2019-02-01,2018-11-28,2019-01-09,2019-02-03,0.35849,0.37225,0.39535,0.35045,0.4379
forbes,GR,1000,rising,gcc_90,2019-12-04,2020-01-17,2020-03-09,2019-11-30,2020-01-03,2020-03-05,2019-12-08,2020-01-22,2020-03-11,0.36029,0.36893,0.38491,0.35454,0.41379
forbes,GR,1000,rising,gcc_75,2017-11-04,2017-11-08,2017-11-12,2017-11-02,2017-11-07,2017-11-11,2017-11-06,2017-11-09,2017-11-13,0.35714,0.36926,0.39282,0.34965,0.43004
forbes,GR,1000,rising,gcc_75,2018-11-26,2019-01-08,2019-02-02,2018-11-25,2019-01-05,2019-02-01,2018-11-28,2019-01-09,2019-02-04,0.35663,0.37092,0.39273,0.34982,0.43463
forbes,GR,1000,rising,gcc_75,2019-12-03,2020-01-18,2020-03-10,2019-11-30,2020-01-04,2020-03-06,2019-12-08,2020-01-22,2020-03-12,0.35927,0.36883,0.38455,0.35381,0.4139
forbes,GR,1000,rising,gcc_50,2017-11-05,2017-11-08,2017-11-12,2017-11-03,2017-11-07,2017-11-11,2017-11-06,2017-11-09,2017-11-13,0.35619,0.36619,0.39022,0.3485,0.42611
forbes,GR,1000,rising,gcc_50,2018-11-26,2019-01-07,2019-02-01,2018-11-25,2018-11-30,2019-01-31,2018-11-27,2019-01-08,2019-02-02,0.35594,0.36845,0.38897,0.34849,0.42904
forbes,GR,1000,rising,gcc_50,2019-12-03,2020-01-18,2020-03-12,2019-11-30,2020-01-08,2020-03-09,2019-12-07,2020-01-22,2020-03-14,0.35873,0.36817,0.3835,0.35302,0.41374
forbes,GR,1000,rising,gcc_mean,2017-11-05,2017-11-08,2017-11-12,2017-11-04,2017-11-07,2017-11-11,2017-11-07,2017-11-09,2017-11-13,0.35627,0.36577,0.38929,0.34935,0.42652
forbes,GR,1000,rising,gcc_mean,2018-11-25,2019-01-06,2019-02-01,2018-11-24,2018-11-30,2019-01-31,2018-11-27,2019-01-07,2019-02-02,0.35476,0.36791,0.38986,0.34843,0.42903
forbes,GR,1000,rising,gcc_mean,2019-12-03,2020-01-18,2020-03-11,2019-12-01,2020-01-08,2020-03-08,2019-12-07,2020-01-22,2020-03-13,0.35838,0.36799,0.3834,0.35296,0.41338
forbes,GR,1000,falling,gcc_90,2019-05-15,2019-05-09,2019-05-03,2019-05-17,2019-05-10,2019-05-04,2019-05-12,2019-05-07,2019-05-02,0.3752,0.3879,0.41433,0.36737,0.45584
forbes,GR,1000,falling,gcc_90,2018-05-15,2018-05-10,2018-05-03,2018-05-16,2018-05-11,2018-05-05,2018-05-13,2018-05-08,2018-05-02,0.36666,0.37834,0.40857,0.3579,0.44981
forbes,GR,1000,falling,gcc_75,2019-05-15,2019-05-09,2019-05-03,2019-05-17,2019-05-10,2019-05-04,2019-05-12,2019-05-08,2019-05-02,0.37416,0.38657,0.41166,0.36595,0.45301
forbes,GR,1000,falling,gcc_75,2018-05-16,2018-05-10,2018-05-04,2018-05-17,2018-05-11,2018-05-05,2018-05-13,2018-05-08,2018-05-03,0.36331,0.37757,0.40231,0.35624,0.44732
forbes,GR,1000,falling,gcc_50,2019-05-15,2019-05-09,2019-05-03,2019-05-16,2019-05-10,2019-05-04,2019-05-13,2019-05-07,2019-05-02,0.37234,0.38469,0.40865,0.3648,0.45036
forbes,GR,1000,falling,gcc_50,2018-05-15,2018-05-09,2018-05-04,2018-05-16,2018-05-10,2018-05-05,2018-05-13,2018-05-08,2018-05-03,0.36276,0.37643,0.3994,0.35435,0.44445
forbes,GR,1000,falling,gcc_mean,2019-05-14,2019-05-09,2019-05-03,2019-05-16,2019-05-10,2019-05-04,2019-05-12,2019-05-07,2019-05-02,0.37355,0.38455,0.4082,0.36509,0.45016
forbes,GR,1000,falling,gcc_mean,2018-05-15,2018-05-09,2018-05-03,2018-05-16,2018-05-10,2018-05-05,2018-05-14,2018-05-08,2018-05-02,0.36314,0.37669,0.40411,0.35431,0.44448
