#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:06:48
# Spline RMSE gcc_mean: 0.00078
# Spline RMSE gcc_50: 0.00078
# Spline RMSE gcc_75: 0.00083
# Spline RMSE gcc_90: 0.00088
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,GR,1000,rising,gcc_90,2014-07-10,2014-07-14,2014-07-30,2014-07-09,2014-07-13,2014-07-28,2014-07-12,2014-07-16,2014-07-31,0.34116,0.34494,0.35316,0.33879,0.36716
ibp,GR,1000,rising,gcc_90,2015-07-03,2015-07-06,2015-07-11,2015-07-02,2015-07-05,2015-07-09,2015-07-04,2015-07-07,2015-07-12,0.34505,0.34999,0.36093,0.34213,0.37667
ibp,GR,1000,rising,gcc_90,2016-08-06,2016-08-10,2016-08-18,2016-08-05,2016-08-09,2016-08-16,2016-08-08,2016-08-12,2016-08-19,0.34034,0.3456,0.35914,0.33671,0.37837
ibp,GR,1000,rising,gcc_90,2017-07-14,2017-07-18,2017-07-24,2017-07-13,2017-07-17,2017-07-23,2017-07-17,2017-07-20,2017-07-25,0.34401,0.34791,0.3564,0.34167,0.37077
ibp,GR,1000,rising,gcc_75,2014-07-10,2014-07-14,2014-07-30,2014-07-09,2014-07-13,2014-07-28,2014-07-12,2014-07-16,2014-07-31,0.34052,0.34436,0.35217,0.33812,0.36478
ibp,GR,1000,rising,gcc_75,2015-07-03,2015-07-06,2015-07-11,2015-07-02,2015-07-05,2015-07-09,2015-07-04,2015-07-07,2015-07-12,0.34411,0.34863,0.35911,0.3412,0.37433
ibp,GR,1000,rising,gcc_75,2016-08-06,2016-08-11,2016-08-18,2016-08-05,2016-08-10,2016-08-16,2016-08-08,2016-08-12,2016-08-19,0.33991,0.34615,0.35726,0.33645,0.3765
ibp,GR,1000,rising,gcc_75,2017-07-14,2017-07-18,2017-07-24,2017-07-13,2017-07-17,2017-07-23,2017-07-17,2017-07-20,2017-07-25,0.34341,0.34709,0.3551,0.34121,0.36856
ibp,GR,1000,rising,gcc_50,2014-07-09,2014-07-14,2014-07-30,2014-07-08,2014-07-13,2014-07-28,2014-07-12,2014-07-15,2014-07-31,0.33886,0.34329,0.34983,0.33703,0.36241
ibp,GR,1000,rising,gcc_50,2015-07-04,2015-07-07,2015-07-11,2015-07-03,2015-07-06,2015-07-10,2015-07-05,2015-07-08,2015-07-12,0.34311,0.34856,0.35729,0.34113,0.37206
ibp,GR,1000,rising,gcc_50,2016-08-07,2016-08-11,2016-08-18,2016-08-06,2016-08-10,2016-08-16,2016-08-09,2016-08-13,2016-08-19,0.33973,0.34465,0.35546,0.33616,0.37346
ibp,GR,1000,rising,gcc_50,2017-07-15,2017-07-18,2017-07-24,2017-07-13,2017-07-17,2017-07-22,2017-07-17,2017-07-20,2017-07-25,0.34299,0.34573,0.35368,0.34063,0.36472
ibp,GR,1000,rising,gcc_mean,2014-07-10,2014-07-14,2014-07-30,2014-07-08,2014-07-13,2014-07-28,2014-07-12,2014-07-16,2014-07-31,0.33961,0.34323,0.35038,0.33706,0.36286
ibp,GR,1000,rising,gcc_mean,2015-07-04,2015-07-06,2015-07-11,2015-07-03,2015-07-05,2015-07-10,2015-07-05,2015-07-08,2015-07-12,0.34384,0.34714,0.3577,0.34115,0.37263
ibp,GR,1000,rising,gcc_mean,2016-08-06,2016-08-11,2016-08-18,2016-08-05,2016-08-10,2016-08-16,2016-08-08,2016-08-13,2016-08-19,0.33897,0.34497,0.3558,0.33599,0.37408
ibp,GR,1000,rising,gcc_mean,2017-07-14,2017-07-18,2017-07-24,2017-07-12,2017-07-17,2017-07-22,2017-07-17,2017-07-20,2017-07-25,0.34243,0.34588,0.3537,0.3404,0.36539
ibp,GR,1000,falling,gcc_90,2019-10-15,2019-10-07,2019-09-24,2019-10-16,2019-10-08,2019-09-25,2019-10-13,2019-10-04,2019-09-22,0.34447,0.3493,0.35752,0.34166,0.37231
ibp,GR,1000,falling,gcc_90,2016-10-19,2016-10-11,2016-09-17,2016-10-20,2016-10-13,2016-09-19,2016-10-16,2016-10-08,2016-09-16,0.34495,0.35095,0.36169,0.34196,0.37892
ibp,GR,1000,falling,gcc_90,2015-11-15,2015-09-16,2015-09-04,2015-12-10,2015-10-06,2015-09-05,2015-11-10,2015-09-15,2015-09-03,0.3434,0.34859,0.3576,0.33988,0.37527
ibp,GR,1000,falling,gcc_90,2014-11-08,2014-10-28,2014-10-08,2014-11-11,2014-10-31,2014-10-11,2014-11-02,2014-10-15,2014-10-06,0.34199,0.34549,0.35112,0.3401,0.36188
ibp,GR,1000,falling,gcc_75,2019-10-15,2019-10-06,2019-09-23,2019-10-16,2019-10-07,2019-09-24,2019-10-12,2019-10-02,2017-09-06,0.34355,0.3481,0.35551,0.34121,0.36962
ibp,GR,1000,falling,gcc_75,2016-10-19,2016-10-12,2016-09-17,2016-10-20,2016-10-13,2016-09-19,2016-10-17,2016-10-09,2016-09-16,0.34461,0.34976,0.36052,0.34143,0.37639
ibp,GR,1000,falling,gcc_75,2015-11-15,2015-09-17,2015-09-03,2015-11-29,2015-10-08,2015-09-05,2015-11-10,2015-09-16,2015-09-02,0.34251,0.34753,0.3578,0.3393,0.37329
ibp,GR,1000,falling,gcc_75,2014-11-07,2014-10-19,2014-10-07,2014-11-10,2014-10-30,2014-10-10,2014-11-01,2014-10-15,2014-10-05,0.34198,0.34502,0.35027,0.34019,0.35993
ibp,GR,1000,falling,gcc_50,2019-10-16,2019-10-08,2019-09-23,2019-10-17,2019-10-09,2019-09-24,2019-10-15,2019-10-05,2017-09-07,0.34199,0.34633,0.35327,0.33954,0.36686
ibp,GR,1000,falling,gcc_50,2016-10-19,2016-10-13,2016-09-18,2016-10-21,2016-10-14,2016-09-19,2016-10-17,2016-10-10,2016-09-17,0.34377,0.34812,0.35693,0.34059,0.37286
ibp,GR,1000,falling,gcc_50,2015-11-14,2015-09-17,2015-09-04,2015-11-25,2015-10-09,2015-09-06,2015-11-10,2015-09-16,2015-09-03,0.34193,0.34667,0.3551,0.33883,0.37092
ibp,GR,1000,falling,gcc_50,2014-11-10,2014-10-31,2014-10-10,2014-11-13,2014-11-04,2014-10-13,2014-11-06,2014-10-28,2014-10-07,0.34032,0.34331,0.34811,0.33858,0.35757
ibp,GR,1000,falling,gcc_mean,2019-10-16,2019-10-09,2019-09-24,2019-10-17,2019-10-10,2019-09-25,2019-10-15,2019-10-06,2017-09-07,0.34208,0.34621,0.35386,0.33934,0.36764
ibp,GR,1000,falling,gcc_mean,2016-10-19,2016-10-13,2016-09-17,2016-10-21,2016-10-14,2016-09-19,2016-10-17,2016-10-10,2016-09-16,0.34374,0.34817,0.35899,0.34056,0.37362
ibp,GR,1000,falling,gcc_mean,2015-11-16,2015-10-06,2015-09-04,2015-12-10,2015-10-11,2015-09-06,2015-11-12,2015-10-01,2015-09-03,0.34144,0.34629,0.3552,0.33822,0.37139
ibp,GR,1000,falling,gcc_mean,2014-11-10,2014-10-31,2014-10-10,2014-11-13,2014-11-03,2014-10-13,2014-11-06,2014-10-27,2014-10-07,0.34028,0.34304,0.34828,0.33833,0.35818
