#
# Transition date estimate for kansas
#
# Site: kansas
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:07:29
# Spline RMSE gcc_mean: 0.00417
# Spline RMSE gcc_50: 0.004
# Spline RMSE gcc_75: 0.00407
# Spline RMSE gcc_90: 0.00447
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kansas,GR,1000,rising,gcc_90,2013-04-06,2013-04-17,2013-04-30,2013-04-03,2013-04-15,2013-04-28,2013-04-10,2013-04-20,2013-05-02,0.33162,0.34785,0.37688,0.32132,0.43198
kansas,GR,1000,rising,gcc_90,2014-04-09,2014-04-18,2014-04-28,2014-04-06,2014-04-16,2014-04-26,2014-04-12,2014-04-20,2014-04-30,0.329,0.34338,0.36804,0.31931,0.41654
kansas,GR,1000,rising,gcc_90,2015-03-29,2015-04-08,2015-04-21,2015-03-27,2015-04-06,2015-04-18,2015-04-01,2015-04-10,2015-04-23,0.32798,0.34461,0.3709,0.31929,0.42075
kansas,GR,1000,rising,gcc_90,2016-03-17,2016-04-08,2016-04-21,2016-03-07,2016-04-07,2016-04-19,2016-03-26,2016-04-11,2016-04-22,0.32744,0.34046,0.36849,0.31786,0.41487
kansas,GR,1000,rising,gcc_90,2017-03-31,2017-04-09,2017-04-19,2017-03-25,2017-04-08,2017-04-17,2017-04-04,2017-04-12,2017-04-20,0.32822,0.34016,0.36635,0.31936,0.40945
kansas,GR,1000,rising,gcc_90,2018-04-18,2018-04-27,2018-05-06,2018-04-07,2018-04-25,2018-05-04,2018-04-22,2018-04-30,2018-05-08,0.32667,0.33887,0.36052,0.31884,0.40158
kansas,GR,1000,rising,gcc_90,2019-04-03,2019-04-14,2019-04-23,2019-03-28,2019-04-12,2019-04-21,2019-04-08,2019-04-16,2019-04-24,0.33296,0.347,0.37074,0.32455,0.41507
kansas,GR,1000,rising,gcc_90,2020-04-02,2020-04-12,2020-04-24,2019-12-31,2019-12-31,2019-12-31,2020-09-16,2020-09-16,2020-09-16,0.32973,0.34252,0.36756,0.32064,0.41266
kansas,GR,1000,rising,gcc_75,2013-04-06,2013-04-16,2013-04-30,2013-04-03,2013-04-15,2013-04-28,2013-04-09,2013-04-19,2013-05-01,0.33033,0.34467,0.37381,0.31984,0.42594
kansas,GR,1000,rising,gcc_75,2014-04-09,2014-04-18,2014-04-29,2014-04-06,2014-04-17,2014-04-27,2014-04-12,2014-04-21,2014-05-01,0.32684,0.33957,0.36458,0.3178,0.41134
kansas,GR,1000,rising,gcc_75,2015-03-29,2015-04-07,2015-04-21,2015-03-27,2015-04-05,2015-04-19,2015-04-01,2015-04-09,2015-04-23,0.32677,0.3415,0.367,0.31808,0.41529
kansas,GR,1000,rising,gcc_75,2016-03-16,2016-04-08,2016-04-21,2016-03-07,2016-04-06,2016-04-19,2016-03-24,2016-04-11,2016-04-23,0.32619,0.33932,0.36402,0.31717,0.41069
kansas,GR,1000,rising,gcc_75,2017-03-30,2017-04-09,2017-04-18,2017-03-25,2017-04-07,2017-04-16,2017-04-03,2017-04-11,2017-04-20,0.32644,0.33879,0.36179,0.31838,0.40418
kansas,GR,1000,rising,gcc_75,2018-04-18,2018-04-27,2018-05-06,2018-04-06,2018-04-25,2018-05-04,2018-04-22,2018-04-30,2018-05-08,0.32586,0.3373,0.35818,0.31797,0.39829
kansas,GR,1000,rising,gcc_75,2019-04-03,2019-04-13,2019-04-23,2019-03-29,2019-04-12,2019-04-20,2019-04-08,2019-04-15,2019-04-24,0.33145,0.34329,0.36775,0.32364,0.40779
kansas,GR,1000,rising,gcc_75,2020-04-01,2020-04-12,2020-04-24,2019-12-31,2019-12-31,2019-12-31,2020-09-16,2020-09-16,2020-09-16,0.32767,0.34086,0.36393,0.3194,0.40764
kansas,GR,1000,rising,gcc_50,2013-04-06,2013-04-16,2013-05-01,2013-04-03,2013-04-15,2013-04-28,2013-04-09,2013-04-19,2013-05-02,0.32768,0.3417,0.36993,0.31791,0.4186
kansas,GR,1000,rising,gcc_50,2014-04-08,2014-04-18,2014-04-30,2014-04-05,2014-04-17,2014-04-28,2014-04-12,2014-04-21,2014-05-01,0.32383,0.33619,0.36014,0.31586,0.40253
kansas,GR,1000,rising,gcc_50,2015-03-29,2015-04-07,2015-04-22,2015-03-27,2015-04-05,2015-04-19,2015-04-01,2015-04-10,2015-04-23,0.32433,0.33839,0.36363,0.31621,0.40852
kansas,GR,1000,rising,gcc_50,2016-03-15,2016-04-07,2016-04-21,2016-03-08,2016-04-05,2016-04-19,2016-03-22,2016-04-10,2016-04-22,0.32404,0.33684,0.36133,0.31542,0.40553
kansas,GR,1000,rising,gcc_50,2017-03-29,2017-04-09,2017-04-18,2017-03-24,2017-04-07,2017-04-16,2017-04-03,2017-04-11,2017-04-20,0.32442,0.33715,0.3586,0.31651,0.39961
kansas,GR,1000,rising,gcc_50,2018-04-16,2018-04-27,2018-05-06,2018-04-02,2018-04-25,2018-05-04,2018-04-21,2018-04-29,2018-05-08,0.32373,0.33527,0.35478,0.31604,0.39327
kansas,GR,1000,rising,gcc_50,2019-04-02,2019-04-12,2019-04-22,2019-03-28,2019-04-11,2019-04-20,2019-04-06,2019-04-15,2019-04-24,0.32964,0.34006,0.36091,0.32209,0.39972
kansas,GR,1000,rising,gcc_50,2020-03-31,2020-04-12,2020-04-24,2019-12-31,2019-12-31,2019-12-31,2020-09-16,2020-09-16,2020-09-16,0.32523,0.33857,0.35971,0.31759,0.4016
kansas,GR,1000,rising,gcc_mean,2013-04-05,2013-04-16,2013-04-30,2013-04-02,2013-04-14,2013-04-27,2013-04-09,2013-04-18,2013-05-02,0.32591,0.34109,0.36653,0.31712,0.4137
kansas,GR,1000,rising,gcc_mean,2014-04-08,2014-04-17,2014-04-29,2014-04-04,2014-04-15,2014-04-26,2014-04-11,2014-04-20,2014-04-30,0.3238,0.33507,0.35876,0.31552,0.39868
kansas,GR,1000,rising,gcc_mean,2015-03-29,2015-04-06,2015-04-21,2015-03-27,2015-04-05,2015-04-18,2015-04-01,2015-04-09,2015-04-22,0.3239,0.33661,0.36175,0.31577,0.40525
kansas,GR,1000,rising,gcc_mean,2016-03-15,2016-04-07,2016-04-20,2016-03-06,2016-04-04,2016-04-18,2016-03-22,2016-04-10,2016-04-22,0.32367,0.33633,0.35856,0.31519,0.40117
kansas,GR,1000,rising,gcc_mean,2017-03-28,2017-04-08,2017-04-18,2017-03-22,2017-04-06,2017-04-15,2017-04-02,2017-04-10,2017-04-19,0.32365,0.33499,0.35764,0.31581,0.39494
kansas,GR,1000,rising,gcc_mean,2018-04-12,2018-04-25,2018-05-06,2018-03-28,2018-04-23,2018-05-03,2018-04-20,2018-04-28,2018-05-07,0.32243,0.33226,0.35444,0.31513,0.38947
kansas,GR,1000,rising,gcc_mean,2019-04-01,2019-04-12,2019-04-22,2019-03-26,2019-04-10,2019-04-19,2019-04-06,2019-04-15,2019-04-23,0.32897,0.33966,0.36101,0.32181,0.39767
kansas,GR,1000,rising,gcc_mean,2020-03-31,2020-04-11,2020-04-23,2019-12-31,2019-12-31,2019-12-31,2020-09-16,2020-09-16,2020-09-16,0.32475,0.33685,0.35762,0.31718,0.39796
kansas,GR,1000,falling,gcc_90,2020-10-15,2020-09-29,2020-09-06,2020-10-21,2020-10-03,2020-09-16,2020-10-10,2020-09-24,2019-12-31,0.32977,0.34274,0.36591,0.321,0.41034
kansas,GR,1000,falling,gcc_90,2019-11-02,2019-10-18,2019-09-12,2019-11-09,2019-10-21,2019-09-19,2019-10-27,2019-10-14,2019-09-07,0.32658,0.33987,0.36332,0.31775,0.40809
kansas,GR,1000,falling,gcc_90,2018-10-19,2018-10-03,2018-09-11,2018-10-24,2018-10-09,2018-09-15,2018-10-14,2018-09-27,2018-09-08,0.34063,0.35116,0.36816,0.3347,0.40061
kansas,GR,1000,falling,gcc_90,2017-10-29,2017-10-14,2017-09-24,2017-11-03,2017-10-17,2017-09-28,2017-10-23,2017-10-11,2017-09-21,0.33361,0.3463,0.36761,0.32603,0.40786
kansas,GR,1000,falling,gcc_90,2016-10-23,2016-10-07,2016-09-17,2016-11-01,2016-10-11,2016-09-21,2016-10-16,2016-10-02,2016-09-14,0.33299,0.34646,0.36993,0.32442,0.41475
kansas,GR,1000,falling,gcc_90,2015-10-16,2015-10-08,2015-09-27,2015-10-18,2015-10-10,2015-09-29,2015-10-13,2015-10-06,2015-09-26,0.33115,0.34678,0.37311,0.3225,0.42021
kansas,GR,1000,falling,gcc_90,2014-10-12,2014-09-29,2014-08-26,2014-10-16,2014-10-03,2014-09-09,2014-10-08,2014-09-25,2014-08-22,0.33668,0.34995,0.37219,0.32868,0.41502
kansas,GR,1000,falling,gcc_90,2013-10-12,2013-10-01,2013-09-01,2013-10-14,2013-10-03,2013-09-06,2013-10-09,2013-09-27,2013-08-29,0.3343,0.34965,0.37598,0.32586,0.4253
kansas,GR,1000,falling,gcc_75,2020-10-17,2020-09-30,2020-09-07,2020-10-23,2020-10-04,2020-09-16,2020-10-11,2020-09-25,2019-12-31,0.32771,0.34011,0.36317,0.31935,0.40441
