#
# Transition date estimate for kendall
#
# Site: kendall
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:07:51
# Spline RMSE gcc_mean: 0.00107
# Spline RMSE gcc_50: 0.00114
# Spline RMSE gcc_75: 0.00109
# Spline RMSE gcc_90: 0.00117
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kendall,GR,1000,rising,gcc_90,2012-07-08,2012-07-12,2012-07-24,2012-07-07,2012-07-11,2012-07-22,2012-07-10,2012-07-14,2012-07-25,0.36566,0.37254,0.38299,0.36273,0.40287
kendall,GR,1000,rising,gcc_90,2014-07-23,2014-07-28,2014-08-05,2014-07-22,2014-07-27,2014-08-03,2014-07-25,2014-07-30,2014-08-06,0.34932,0.357,0.3743,0.34445,0.3999
kendall,GR,1000,rising,gcc_90,2015-06-29,2015-07-02,2015-07-15,2015-06-28,2015-07-01,2015-07-12,2015-07-01,2015-07-04,2015-07-16,0.35631,0.36208,0.3736,0.35386,0.39205
kendall,GR,1000,rising,gcc_90,2016-07-05,2016-07-13,2016-07-25,2016-07-04,2016-07-11,2016-07-23,2016-07-07,2016-07-15,2016-07-26,0.35866,0.36564,0.37747,0.35484,0.3987
kendall,GR,1000,rising,gcc_90,2017-07-06,2017-07-11,2017-07-19,2017-07-05,2017-07-10,2017-07-17,2017-07-08,2017-07-13,2017-07-20,0.35598,0.3648,0.3833,0.35125,0.41052
kendall,GR,1000,rising,gcc_90,2018-07-17,2018-08-03,2018-08-21,2018-07-16,2018-08-02,2018-08-20,2018-07-19,2018-08-06,2018-08-23,0.35909,0.36501,0.37657,0.35502,0.39753
kendall,GR,1000,rising,gcc_75,2012-07-08,2012-07-11,2012-07-24,2012-07-07,2012-07-10,2012-07-20,2012-07-10,2012-07-13,2012-07-25,0.36536,0.37033,0.38186,0.36216,0.40046
kendall,GR,1000,rising,gcc_75,2014-07-25,2014-07-29,2014-08-05,2014-07-24,2014-07-28,2014-08-04,2014-07-26,2014-07-31,2014-08-06,0.35011,0.35717,0.37186,0.34491,0.39817
kendall,GR,1000,rising,gcc_75,2015-06-29,2015-07-02,2015-07-15,2015-06-28,2015-07-01,2015-07-12,2015-07-01,2015-07-04,2015-07-16,0.35555,0.36112,0.3724,0.35317,0.38986
kendall,GR,1000,rising,gcc_75,2016-07-04,2016-07-12,2016-07-25,2016-07-03,2016-07-10,2016-07-23,2016-07-06,2016-07-14,2016-07-27,0.35637,0.3638,0.37525,0.35319,0.39638
kendall,GR,1000,rising,gcc_75,2017-07-08,2017-07-12,2017-07-19,2017-07-07,2017-07-11,2017-07-18,2017-07-09,2017-07-14,2017-07-20,0.35767,0.36521,0.38129,0.352,0.40912
