#
# Transition date estimate for konza
#
# Site: konza
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:08:11
# Spline RMSE gcc_mean: 0.00318
# Spline RMSE gcc_50: 0.00332
# Spline RMSE gcc_75: 0.00318
# Spline RMSE gcc_90: 0.00371
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
konza,GR,1000,rising,gcc_90,2012-04-18,2012-04-25,2012-05-03,2012-03-20,2012-03-20,2012-03-20,2012-05-16,2012-05-16,2012-05-16,0.32665,0.33992,0.3648,0.3191,0.40831
konza,GR,1000,rising,gcc_90,2013-04-28,2013-05-04,2013-05-12,2013-04-25,2013-05-02,2013-05-10,2013-04-30,2013-05-06,2013-05-13,0.33393,0.34863,0.37978,0.32398,0.4272
konza,GR,1000,rising,gcc_90,2014-04-16,2014-04-23,2014-05-03,2014-04-14,2014-04-22,2014-05-01,2014-04-19,2014-04-25,2014-05-04,0.32675,0.34343,0.37369,0.31737,0.42672
konza,GR,1000,rising,gcc_90,2015-04-19,2015-04-23,2015-04-29,2015-04-16,2015-04-22,2015-04-28,2015-04-21,2015-04-25,2015-04-30,0.32985,0.34195,0.37109,0.32011,0.42071
konza,GR,1000,rising,gcc_90,2016-04-16,2016-05-04,2016-05-13,2016-03-18,2016-05-02,2016-05-11,2016-04-21,2016-05-07,2016-05-15,0.32307,0.33533,0.36048,0.31377,0.40696
konza,GR,1000,rising,gcc_90,2017-04-14,2017-04-21,2017-05-03,2017-04-07,2017-04-20,2017-05-01,2017-04-17,2017-04-23,2017-05-05,0.32218,0.33824,0.36711,0.31218,0.42194
konza,GR,1000,rising,gcc_90,2018-04-28,2018-05-02,2018-05-07,2018-04-27,2018-05-01,2018-05-05,2018-04-30,2018-05-03,2018-05-08,0.3249,0.3461,0.38339,0.31661,0.43608
konza,GR,1000,rising,gcc_90,2019-04-22,2019-05-01,2019-05-11,2018-12-13,2018-12-13,2018-12-13,2019-06-04,2019-06-04,2019-06-04,0.33144,0.35371,0.39048,0.31847,0.46212
konza,GR,1000,rising,gcc_75,2012-04-19,2012-04-25,2012-05-03,2012-03-20,2012-03-20,2012-03-20,2012-05-16,2012-05-16,2012-05-16,0.32588,0.33813,0.36159,0.31779,0.40383
konza,GR,1000,rising,gcc_75,2013-04-28,2013-05-04,2013-05-12,2013-04-26,2013-05-02,2013-05-10,2013-04-30,2013-05-07,2013-05-13,0.33291,0.34701,0.37544,0.32328,0.42376
konza,GR,1000,rising,gcc_75,2014-04-16,2014-04-23,2014-05-03,2014-04-15,2014-04-22,2014-05-01,2014-04-19,2014-04-25,2014-05-04,0.32446,0.34154,0.37057,0.31555,0.42276
konza,GR,1000,rising,gcc_75,2015-04-19,2015-04-23,2015-04-29,2015-04-16,2015-04-22,2015-04-28,2015-04-21,2015-04-25,2015-04-30,0.32827,0.34006,0.36859,0.31901,0.41691
konza,GR,1000,rising,gcc_75,2016-04-16,2016-05-05,2016-05-14,2016-04-10,2016-05-03,2016-05-12,2016-04-21,2016-05-08,2016-05-16,0.32171,0.33526,0.36122,0.31261,0.40814
konza,GR,1000,rising,gcc_75,2017-04-15,2017-04-21,2017-05-03,2017-04-12,2017-04-20,2017-05-01,2017-04-17,2017-04-23,2017-05-04,0.32039,0.3355,0.36487,0.31044,0.41882
