#
# Transition date estimate for lethbridge
#
# Site: lethbridge
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:08:36
# Spline RMSE gcc_mean: 0.00174
# Spline RMSE gcc_50: 0.00185
# Spline RMSE gcc_75: 0.00184
# Spline RMSE gcc_90: 0.00193
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lethbridge,GR,1000,rising,gcc_90,2012-05-02,2012-05-24,2012-06-09,2012-04-29,2012-05-19,2012-06-06,2012-05-09,2012-05-28,2012-06-10,0.31914,0.32899,0.34603,0.31354,0.3762
lethbridge,GR,1000,rising,gcc_90,2013-05-13,2013-05-21,2013-06-01,2013-05-10,2013-05-19,2013-05-29,2013-05-16,2013-05-23,2013-06-03,0.32489,0.33463,0.35181,0.31876,0.38308
lethbridge,GR,1000,rising,gcc_90,2014-05-09,2014-05-19,2014-05-28,2014-05-02,2014-05-17,2014-05-26,2014-05-14,2014-05-21,2014-05-30,0.32433,0.33445,0.35194,0.3178,0.38546
lethbridge,GR,1000,rising,gcc_90,2015-05-01,2015-05-19,2015-05-30,2015-04-26,2015-05-15,2015-05-27,2015-05-10,2015-05-22,2015-05-31,0.32402,0.3309,0.34408,0.31942,0.36596
lethbridge,GR,1000,rising,gcc_90,2016-04-12,2016-04-29,2016-05-18,2016-04-07,2016-04-23,2016-05-14,2016-04-19,2016-05-04,2016-05-20,0.32058,0.32697,0.33794,0.3167,0.358
lethbridge,GR,1000,rising,gcc_90,2017-04-27,2017-05-04,2017-05-15,2017-04-24,2017-05-02,2017-05-13,2017-04-30,2017-05-06,2017-05-17,0.32313,0.33157,0.34747,0.31734,0.37759
lethbridge,GR,1000,rising,gcc_90,2018-05-05,2018-05-11,2018-05-20,2018-05-03,2018-05-10,2018-05-18,2018-05-08,2018-05-13,2018-05-21,0.32669,0.33607,0.35292,0.32147,0.38278
lethbridge,GR,1000,rising,gcc_90,2019-04-30,2019-05-12,2019-05-22,2019-04-20,2019-05-09,2019-05-19,2019-05-01,2019-05-16,2019-05-24,0.32043,0.32526,0.33454,0.31696,0.35198
lethbridge,GR,1000,rising,gcc_90,2020-04-27,2020-05-09,2020-05-18,2020-04-26,2020-05-04,2020-05-16,2020-04-30,2020-05-11,2020-05-19,0.32541,0.33684,0.35635,0.31983,0.38857
lethbridge,GR,1000,rising,gcc_75,2012-05-04,2012-05-21,2012-06-08,2012-04-30,2012-05-17,2012-06-05,2012-05-09,2012-05-26,2012-06-10,0.3171,0.32616,0.3426,0.31121,0.373
lethbridge,GR,1000,rising,gcc_75,2013-05-12,2013-05-21,2013-06-02,2013-05-09,2013-05-19,2013-05-30,2013-05-15,2013-05-23,2013-06-04,0.32346,0.33267,0.35043,0.31734,0.38164
lethbridge,GR,1000,rising,gcc_75,2014-05-08,2014-05-18,2014-05-28,2014-05-01,2014-05-17,2014-05-26,2014-05-13,2014-05-21,2014-05-30,0.32297,0.33143,0.34962,0.31632,0.38284
lethbridge,GR,1000,rising,gcc_75,2015-04-30,2015-05-18,2015-05-29,2015-04-24,2015-05-15,2015-05-26,2015-05-09,2015-05-22,2015-05-30,0.32281,0.32896,0.34146,0.31837,0.36284
lethbridge,GR,1000,rising,gcc_75,2016-04-11,2016-04-26,2016-05-16,2016-04-05,2016-04-21,2016-05-12,2016-04-12,2016-05-02,2016-05-19,0.31916,0.32503,0.33512,0.31557,0.35462
lethbridge,GR,1000,rising,gcc_75,2017-04-26,2017-05-04,2017-05-15,2017-04-23,2017-05-02,2017-05-13,2017-04-29,2017-05-06,2017-05-17,0.32145,0.33038,0.34585,0.31603,0.37487
