#
# Transition date estimate for monture
#
# Site: monture
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:09:35
# Spline RMSE gcc_mean: 0.00173
# Spline RMSE gcc_50: 0.00179
# Spline RMSE gcc_75: 0.00184
# Spline RMSE gcc_90: 0.00194
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
monture,GR,2000,rising,gcc_90,2011-04-26,2011-05-07,2011-05-15,2011-04-19,2011-05-06,2011-05-14,2011-05-01,2011-05-09,2011-05-16,0.34221,0.35857,0.38963,0.3306,0.4478
monture,GR,2000,rising,gcc_90,2012-04-07,2012-04-23,2012-05-22,2012-04-01,2012-04-21,2012-05-19,2012-04-15,2012-04-25,2012-05-23,0.33803,0.35463,0.38441,0.327,0.43917
monture,GR,2000,rising,gcc_90,2013-04-25,2013-04-30,2013-05-09,2013-04-24,2013-04-29,2013-05-08,2013-04-26,2013-05-01,2013-05-10,0.34373,0.36032,0.39156,0.33443,0.44701
monture,GR,2000,rising,gcc_90,2014-04-10,2014-04-30,2014-05-19,2014-04-04,2014-04-29,2014-05-17,2014-04-19,2014-05-02,2014-05-20,0.33949,0.35388,0.38203,0.32975,0.43012
monture,GR,2000,rising,gcc_90,2015-04-13,2015-04-23,2015-05-06,2015-04-11,2015-04-21,2015-05-04,2015-04-16,2015-04-25,2015-05-07,0.34844,0.36099,0.38282,0.34108,0.42309
monture,GR,2000,rising,gcc_90,2016-03-30,2016-04-11,2016-04-20,2016-03-27,2016-04-10,2016-04-19,2016-04-03,2016-04-14,2016-04-21,0.3407,0.35239,0.37505,0.33338,0.41448
monture,GR,2000,rising,gcc_90,2017-04-03,2017-04-16,2017-04-27,2017-04-01,2017-04-14,2017-04-25,2017-04-06,2017-04-18,2017-04-28,0.34574,0.36013,0.38502,0.33718,0.42984
monture,GR,2000,rising,gcc_90,2018-04-25,2018-05-01,2018-05-08,2018-04-24,2018-04-30,2018-05-07,2018-04-27,2018-05-03,2018-05-09,0.34302,0.36035,0.39282,0.33287,0.45272
monture,GR,2000,rising,gcc_75,2011-04-25,2011-05-07,2011-05-15,2011-04-18,2011-05-06,2011-05-14,2011-05-01,2011-05-09,2011-05-16,0.34128,0.35751,0.38807,0.32969,0.44589
monture,GR,2000,rising,gcc_75,2012-04-08,2012-04-23,2012-05-23,2012-04-01,2012-04-22,2012-05-20,2012-04-15,2012-04-25,2012-05-24,0.33741,0.35312,0.3827,0.32655,0.4356
monture,GR,2000,rising,gcc_75,2013-04-05,2013-04-28,2013-05-09,2013-04-02,2013-04-27,2013-05-07,2013-04-20,2013-04-29,2013-05-10,0.33715,0.35334,0.38764,0.32713,0.444
monture,GR,2000,rising,gcc_75,2014-04-25,2014-05-04,2014-05-20,2014-04-23,2014-05-02,2014-05-18,2014-04-27,2014-05-07,2014-05-21,0.34579,0.35879,0.38223,0.33724,0.42482
monture,GR,2000,rising,gcc_75,2015-03-28,2015-04-19,2015-05-04,2015-03-23,2015-04-17,2015-05-01,2015-04-04,2015-04-22,2015-05-05,0.34056,0.35339,0.3777,0.33205,0.42059
monture,GR,2000,rising,gcc_75,2016-03-30,2016-04-12,2016-04-21,2016-03-27,2016-04-10,2016-04-19,2016-04-03,2016-04-15,2016-04-22,0.34001,0.35171,0.37539,0.33238,0.41219
monture,GR,2000,rising,gcc_75,2017-04-03,2017-04-15,2017-04-26,2017-04-01,2017-04-13,2017-04-24,2017-04-06,2017-04-17,2017-04-27,0.34385,0.35705,0.37986,0.33527,0.424
