#
# Transition date estimate for nationalelkrefuge
#
# Site: nationalelkrefuge
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:09:48
# Spline RMSE gcc_mean: 0.00234
# Spline RMSE gcc_50: 0.00228
# Spline RMSE gcc_75: 0.00223
# Spline RMSE gcc_90: 0.00222
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nationalelkrefuge,GR,1000,rising,gcc_90,2016-04-12,2016-04-19,2016-05-01,2016-04-10,2016-04-18,2016-04-28,2016-04-15,2016-04-21,2016-05-02,0.33332,0.34507,0.36701,0.32622,0.40435
nationalelkrefuge,GR,1000,rising,gcc_90,2017-04-18,2017-04-28,2017-05-07,2017-04-15,2017-04-27,2017-05-05,2017-04-22,2017-05-01,2017-05-08,0.33927,0.34891,0.37169,0.3322,0.40602
nationalelkrefuge,GR,1000,rising,gcc_90,2018-04-21,2018-04-27,2018-05-07,2018-04-20,2018-04-26,2018-05-06,2018-04-23,2018-04-29,2018-05-08,0.33168,0.34658,0.37175,0.32259,0.4205
nationalelkrefuge,GR,1000,rising,gcc_90,2019-05-06,2019-05-13,2019-05-24,2019-05-05,2019-05-12,2019-05-22,2019-05-08,2019-05-15,2019-05-25,0.3328,0.34657,0.37082,0.32533,0.41377
nationalelkrefuge,GR,1000,rising,gcc_90,2020-04-26,2020-05-03,2020-05-13,2020-04-25,2020-05-02,2020-05-11,2020-04-29,2020-05-04,2020-05-14,0.33062,0.34448,0.3676,0.3239,0.40751
nationalelkrefuge,GR,1000,rising,gcc_75,2016-04-12,2016-04-19,2016-05-01,2016-04-10,2016-04-17,2016-04-28,2016-04-14,2016-04-21,2016-05-02,0.33234,0.34394,0.36423,0.32539,0.40005
nationalelkrefuge,GR,1000,rising,gcc_75,2017-04-17,2017-04-29,2017-05-07,2017-04-15,2017-04-27,2017-05-05,2017-04-21,2017-05-01,2017-05-08,0.33775,0.34855,0.36837,0.33153,0.40089
nationalelkrefuge,GR,1000,rising,gcc_75,2018-04-21,2018-04-27,2018-05-07,2018-04-20,2018-04-26,2018-05-05,2018-04-23,2018-04-28,2018-05-08,0.33014,0.34493,0.36955,0.32187,0.41535
nationalelkrefuge,GR,1000,rising,gcc_75,2019-05-06,2019-05-13,2019-05-24,2019-05-05,2019-05-12,2019-05-22,2019-05-08,2019-05-15,2019-05-25,0.33188,0.3453,0.36862,0.32434,0.40973
nationalelkrefuge,GR,1000,rising,gcc_75,2020-04-26,2020-05-02,2020-05-12,2020-04-25,2020-05-01,2020-05-10,2020-04-29,2020-05-04,2020-05-13,0.32886,0.34032,0.36321,0.32252,0.40229
nationalelkrefuge,GR,1000,rising,gcc_50,2016-04-12,2016-04-18,2016-04-30,2016-04-10,2016-04-17,2016-04-28,2016-04-15,2016-04-21,2016-05-02,0.33061,0.34014,0.35902,0.32446,0.39247
nationalelkrefuge,GR,1000,rising,gcc_50,2017-04-15,2017-04-27,2017-05-06,2017-04-13,2017-04-25,2017-05-04,2017-04-19,2017-04-30,2017-05-07,0.33468,0.34389,0.36215,0.3291,0.39144
nationalelkrefuge,GR,1000,rising,gcc_50,2018-04-21,2018-04-26,2018-05-06,2018-04-19,2018-04-25,2018-05-04,2018-04-23,2018-04-28,2018-05-07,0.32815,0.33992,0.36342,0.31964,0.40665
nationalelkrefuge,GR,1000,rising,gcc_50,2019-05-06,2019-05-13,2019-05-24,2019-05-04,2019-05-11,2019-05-22,2019-05-08,2019-05-15,2019-05-25,0.33071,0.34333,0.36464,0.3235,0.40357
