#
# Transition date estimate for ninemileprairie
#
# Site: ninemileprairie
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:11:27
# Spline RMSE gcc_mean: 0.00259
# Spline RMSE gcc_50: 0.00268
# Spline RMSE gcc_75: 0.0029
# Spline RMSE gcc_90: 0.0034
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ninemileprairie,GR,2000,rising,gcc_90,2018-04-24,2018-05-01,2018-05-09,2018-04-22,2018-04-30,2018-05-07,2018-04-27,2018-05-03,2018-05-10,0.34065,0.35683,0.38517,0.33157,0.43502
ninemileprairie,GR,2000,rising,gcc_90,2019-04-12,2019-04-19,2019-05-17,2019-04-10,2019-04-18,2019-05-15,2019-04-14,2019-04-21,2019-05-18,0.34485,0.36269,0.39696,0.33274,0.45821
ninemileprairie,GR,2000,rising,gcc_90,2020-04-15,2020-04-24,2020-05-06,2020-04-09,2020-04-23,2020-05-04,2020-04-18,2020-04-26,2020-05-08,0.34177,0.35789,0.39118,0.32974,0.45214
ninemileprairie,GR,2000,rising,gcc_75,2018-04-24,2018-05-01,2018-05-09,2018-04-22,2018-04-30,2018-05-07,2018-04-27,2018-05-03,2018-05-10,0.33977,0.35475,0.382,0.33098,0.42956
ninemileprairie,GR,2000,rising,gcc_75,2019-04-12,2019-04-19,2019-05-18,2019-04-10,2019-04-18,2019-05-16,2019-04-14,2019-04-21,2019-05-19,0.34384,0.36066,0.39423,0.33239,0.45284
ninemileprairie,GR,2000,rising,gcc_75,2020-04-15,2020-04-25,2020-05-07,2020-04-10,2020-04-24,2020-05-05,2020-04-18,2020-04-27,2020-05-08,0.34059,0.35847,0.38975,0.32939,0.448
ninemileprairie,GR,2000,rising,gcc_50,2018-04-24,2018-05-01,2018-05-09,2018-04-22,2018-04-30,2018-05-08,2018-04-27,2018-05-03,2018-05-10,0.33864,0.35264,0.37828,0.33002,0.42646
ninemileprairie,GR,2000,rising,gcc_50,2019-04-12,2019-04-19,2019-05-19,2019-04-10,2019-04-18,2019-05-17,2019-04-14,2019-04-21,2019-05-20,0.34277,0.35908,0.39208,0.33164,0.44701
ninemileprairie,GR,2000,rising,gcc_50,2020-04-15,2020-04-26,2020-05-08,2020-04-11,2020-04-25,2020-05-06,2020-04-18,2020-04-27,2020-05-09,0.33979,0.35721,0.38761,0.32891,0.44223
ninemileprairie,GR,2000,rising,gcc_mean,2018-04-24,2018-05-01,2018-05-09,2018-04-22,2018-04-30,2018-05-08,2018-04-26,2018-05-03,2018-05-10,0.33852,0.35249,0.37792,0.32906,0.42674
ninemileprairie,GR,2000,rising,gcc_mean,2019-04-11,2019-04-19,2019-05-18,2019-04-10,2019-04-18,2019-05-16,2019-04-14,2019-04-21,2019-05-19,0.34126,0.35905,0.3897,0.33084,0.44593
ninemileprairie,GR,2000,rising,gcc_mean,2020-04-14,2020-04-25,2020-05-07,2020-04-10,2020-04-24,2020-05-05,2020-04-18,2020-04-27,2020-05-08,0.33891,0.35536,0.38483,0.32816,0.44115
ninemileprairie,GR,2000,falling,gcc_90,2020-09-20,2020-08-25,2020-08-07,2020-09-24,2020-08-28,2020-08-10,2020-09-14,2020-08-21,2020-08-05,0.35151,0.36679,0.39445,0.34165,0.44569
ninemileprairie,GR,2000,falling,gcc_90,2019-10-10,2019-10-04,2019-09-06,2019-12-07,2019-10-06,2019-09-08,2019-10-08,2019-10-02,2019-09-04,0.34102,0.36002,0.39094,0.3301,0.45153
ninemileprairie,GR,2000,falling,gcc_90,2018-10-14,2018-09-23,2018-08-27,2018-10-18,2018-09-30,2018-08-31,2018-10-11,2018-09-17,2018-08-24,0.34303,0.35788,0.38358,0.33315,0.43261
ninemileprairie,GR,2000,falling,gcc_90,2017-10-12,2017-09-21,2017-08-25,2017-11-28,2017-09-25,2017-08-29,2017-10-07,2017-09-15,2017-08-23,0.34149,0.35825,0.38695,0.33103,0.4413
ninemileprairie,GR,2000,falling,gcc_75,2020-09-16,2020-08-23,2020-08-06,2020-09-21,2020-08-25,2020-08-08,2020-09-11,2020-08-19,2020-08-05,0.35222,0.36632,0.39253,0.34265,0.44095
ninemileprairie,GR,2000,falling,gcc_75,2019-10-11,2019-10-04,2019-09-06,2019-12-07,2019-10-06,2019-09-09,2019-10-08,2019-10-02,2019-09-05,0.33742,0.35863,0.38906,0.32953,0.44626
ninemileprairie,GR,2000,falling,gcc_75,2018-10-14,2018-09-21,2018-08-27,2018-10-17,2018-09-30,2018-08-31,2018-10-11,2018-09-16,2018-08-25,0.34176,0.35603,0.38108,0.33264,0.42796
