#
# Transition date estimate for oakville
#
# Site: oakville
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:11:43
# Spline RMSE gcc_mean: 0.00229
# Spline RMSE gcc_50: 0.00235
# Spline RMSE gcc_75: 0.00232
# Spline RMSE gcc_90: 0.00259
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oakville,GR,1000,rising,gcc_90,2015-05-04,2015-05-12,2015-05-24,2015-05-02,2015-05-11,2015-05-22,2015-05-06,2015-05-14,2015-05-25,0.35111,0.36447,0.39087,0.34222,0.43561
oakville,GR,1000,rising,gcc_90,2016-05-01,2016-05-08,2016-05-18,2016-04-29,2016-05-07,2016-05-16,2016-05-03,2016-05-10,2016-05-19,0.35157,0.36501,0.3969,0.3413,0.44565
oakville,GR,1000,rising,gcc_90,2017-05-01,2017-05-07,2017-05-16,2017-04-30,2017-05-06,2017-05-14,2017-05-03,2017-05-09,2017-05-17,0.35084,0.36451,0.39158,0.3418,0.43845
oakville,GR,1000,rising,gcc_90,2018-04-27,2018-05-02,2018-05-09,2018-04-26,2018-05-01,2018-05-08,2018-04-29,2018-05-03,2018-05-10,0.35039,0.36883,0.3987,0.34135,0.45223
oakville,GR,1000,rising,gcc_90,2019-05-05,2019-05-14,2019-05-24,2019-05-02,2019-05-13,2019-05-22,2019-05-07,2019-05-16,2019-05-25,0.35264,0.36743,0.39634,0.34244,0.44543
oakville,GR,1000,rising,gcc_90,2020-05-07,2020-05-16,2020-05-24,2020-05-02,2020-05-15,2020-05-23,2020-05-10,2020-05-18,2020-05-25,0.35169,0.36425,0.38569,0.34359,0.42662
oakville,GR,1000,rising,gcc_75,2015-05-04,2015-05-13,2015-05-25,2015-05-02,2015-05-12,2015-05-23,2015-05-06,2015-05-15,2015-05-26,0.35,0.363,0.38799,0.34116,0.43145
oakville,GR,1000,rising,gcc_75,2016-04-30,2016-05-08,2016-05-18,2016-04-29,2016-05-07,2016-05-16,2016-05-03,2016-05-10,2016-05-19,0.34934,0.3634,0.39319,0.34053,0.4402
oakville,GR,1000,rising,gcc_75,2017-05-01,2017-05-07,2017-05-16,2017-04-30,2017-05-06,2017-05-14,2017-05-03,2017-05-08,2017-05-17,0.34998,0.36318,0.38938,0.34098,0.4339
oakville,GR,1000,rising,gcc_75,2018-04-27,2018-05-02,2018-05-09,2018-04-26,2018-05-01,2018-05-08,2018-04-29,2018-05-03,2018-05-10,0.34899,0.36649,0.39553,0.34062,0.4484
oakville,GR,1000,rising,gcc_75,2019-05-05,2019-05-14,2019-05-24,2019-05-03,2019-05-13,2019-05-22,2019-05-07,2019-05-16,2019-05-25,0.35168,0.36609,0.39414,0.34185,0.44219
oakville,GR,1000,rising,gcc_75,2020-05-06,2020-05-15,2020-05-24,2020-05-01,2020-05-14,2020-05-23,2020-05-10,2020-05-17,2020-05-25,0.35047,0.3613,0.3838,0.3425,0.42361
oakville,GR,1000,rising,gcc_50,2015-05-04,2015-05-13,2015-05-26,2015-05-02,2015-05-12,2015-05-24,2015-05-06,2015-05-16,2015-05-27,0.34852,0.36022,0.38521,0.34013,0.42607
oakville,GR,1000,rising,gcc_50,2016-05-01,2016-05-08,2016-05-18,2016-04-29,2016-05-07,2016-05-16,2016-05-03,2016-05-10,2016-05-19,0.34874,0.36167,0.38985,0.33958,0.43492
oakville,GR,1000,rising,gcc_50,2017-05-01,2017-05-07,2017-05-16,2017-04-30,2017-05-06,2017-05-14,2017-05-03,2017-05-09,2017-05-17,0.34782,0.36,0.38603,0.34016,0.42898
oakville,GR,1000,rising,gcc_50,2018-04-28,2018-05-02,2018-05-10,2018-04-27,2018-05-01,2018-05-08,2018-04-29,2018-05-04,2018-05-11,0.35001,0.3638,0.39518,0.34005,0.44557
oakville,GR,1000,rising,gcc_50,2019-05-05,2019-05-14,2019-05-24,2019-05-02,2019-05-13,2019-05-22,2019-05-07,2019-05-16,2019-05-25,0.35047,0.36433,0.3915,0.34068,0.43862
oakville,GR,1000,rising,gcc_50,2020-05-06,2020-05-16,2020-05-25,2020-05-01,2020-05-15,2020-05-23,2020-05-10,2020-05-18,2020-05-26,0.34964,0.36161,0.3838,0.3422,0.42056
oakville,GR,1000,rising,gcc_mean,2015-05-04,2015-05-13,2015-05-25,2015-05-02,2015-05-12,2015-05-23,2015-05-06,2015-05-15,2015-05-26,0.3482,0.36102,0.38405,0.3401,0.42534
oakville,GR,1000,rising,gcc_mean,2016-04-30,2016-05-08,2016-05-17,2016-04-29,2016-05-07,2016-05-16,2016-05-02,2016-05-10,2016-05-18,0.3474,0.3618,0.38654,0.33906,0.4334
oakville,GR,1000,rising,gcc_mean,2017-05-01,2017-05-07,2017-05-16,2017-04-30,2017-05-06,2017-05-14,2017-05-03,2017-05-09,2017-05-17,0.34779,0.36007,0.38573,0.33952,0.428
oakville,GR,1000,rising,gcc_mean,2018-04-28,2018-05-02,2018-05-10,2018-04-27,2018-05-01,2018-05-09,2018-04-29,2018-05-04,2018-05-11,0.34975,0.36331,0.3938,0.33997,0.44354
oakville,GR,1000,rising,gcc_mean,2019-05-04,2019-05-14,2019-05-24,2019-05-02,2019-05-13,2019-05-22,2019-05-07,2019-05-15,2019-05-25,0.34908,0.36433,0.39116,0.33999,0.43845
oakville,GR,1000,rising,gcc_mean,2020-05-06,2020-05-15,2020-05-25,2020-05-01,2020-05-14,2020-05-23,2020-05-10,2020-05-17,2020-05-26,0.3496,0.35975,0.38356,0.34182,0.42045
oakville,GR,1000,falling,gcc_90,2020-10-07,2020-09-26,2020-09-12,2020-10-09,2020-09-28,2020-09-14,2020-10-04,2020-09-24,2020-09-11,0.34682,0.36017,0.38392,0.33875,0.4257
oakville,GR,1000,falling,gcc_90,2019-10-08,2019-09-23,2019-08-26,2019-10-10,2019-09-25,2019-08-29,2019-10-05,2019-09-19,2019-08-24,0.35242,0.36739,0.39342,0.34294,0.44363
oakville,GR,1000,falling,gcc_90,2018-10-05,2018-09-25,2018-08-21,2018-10-07,2018-09-26,2018-08-26,2018-10-02,2018-09-23,2018-08-18,0.35074,0.36654,0.39501,0.34032,0.44946
oakville,GR,1000,falling,gcc_90,2017-10-09,2017-09-30,2017-09-03,2017-10-11,2017-10-01,2017-09-05,2017-10-06,2017-09-26,2017-09-02,0.3516,0.36573,0.39148,0.34361,0.43622
oakville,GR,1000,falling,gcc_90,2016-10-16,2016-10-06,2016-09-14,2016-10-28,2016-10-28,2016-09-17,2016-10-04,2016-10-04,2016-09-13,0.34972,0.36527,0.39215,0.3399,0.44267
