#
# 3-day summary product timeseries for segaarboretummeadow
#
# Site: segaarboretummeadow
# Veg Type: GR
# ROI ID Number: 2000
# Lat: 35.1621
# Lon: -111.7316
# Elev: 2157
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2021-01-05
# Creation Time: 16:57:09
# Update Date: 2022-05-03
# Update Time: 06:00:02
# Final Processing Date:: 2022-05-03
# Final Processing Time:: 14:11:52
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2019-01-05,2019,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32836,0.32844,0.32907,0.32889,0.33918,0.33995,0.34144,0.34268,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-06,2019,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32824,0.32834,0.32885,0.32883,0.33818,0.33927,0.34065,0.3418,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-07,2019,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32814,0.32827,0.32867,0.32878,0.33726,0.33865,0.33993,0.34101,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-08,2019,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32807,0.32821,0.32851,0.32874,0.33643,0.33808,0.33928,0.34029,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-09,2019,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32802,0.32817,0.32839,0.32873,0.33568,0.33757,0.3387,0.33965,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-10,2019,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32798,0.32815,0.3283,0.32873,0.33503,0.33714,0.33821,0.33912,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-11,2019,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32795,0.32813,0.32824,0.32874,0.33448,0.3368,0.33784,0.33871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-12,2019,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32794,0.32813,0.3282,0.32877,0.33403,0.33653,0.33755,0.33839,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-13,2019,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32795,0.32815,0.3282,0.32881,0.33366,0.33632,0.33732,0.33815,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-14,2019,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32798,0.32818,0.32822,0.32886,0.33337,0.33619,0.33718,0.338,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-15,2019,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32801,0.32823,0.32827,0.32892,0.3332,0.33615,0.33716,0.33799,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-16,2019,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32806,0.32827,0.32835,0.32899,0.33314,0.33622,0.33728,0.33813,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-17,2019,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32811,0.32832,0.32844,0.32905,0.33322,0.33643,0.33757,0.33846,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-18,2019,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32819,0.3284,0.32857,0.32915,0.33339,0.33664,0.33785,0.3388,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-19,2019,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32832,0.32853,0.32877,0.3293,0.33362,0.33676,0.33803,0.33903,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-20,2019,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32849,0.32869,0.32901,0.32947,0.33396,0.33689,0.33823,0.33928,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-21,2019,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32866,0.32886,0.32924,0.32965,0.33445,0.33714,0.33857,0.33969,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-22,2019,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32882,0.32901,0.32945,0.32982,0.33514,0.3376,0.33916,0.34038,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
