#
# Transition date estimate for segaarboretummeadow
#
# Site: segaarboretummeadow
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2019
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:11:51
# Spline RMSE gcc_mean: 0.00102
# Spline RMSE gcc_50: 0.0011
# Spline RMSE gcc_75: 0.00091
# Spline RMSE gcc_90: 0.00111
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
segaarboretummeadow,GR,2000,rising,gcc_90,2019-04-27,2019-05-06,2019-06-03,2019-04-22,2019-05-03,2019-05-31,2019-05-01,2019-05-09,2019-06-04,0.33045,0.33369,0.33954,0.32842,0.34957
segaarboretummeadow,GR,2000,rising,gcc_90,2020-05-09,2020-05-15,2020-05-25,2020-05-06,2020-05-11,2020-05-21,2020-05-10,2020-05-19,2020-05-28,0.32827,0.33026,0.33345,0.32722,0.33947
segaarboretummeadow,GR,2000,rising,gcc_75,2019-04-29,2019-05-08,2019-06-04,2019-04-25,2019-05-05,2019-06-02,2019-05-04,2019-05-11,2019-06-05,0.33053,0.33353,0.33887,0.32873,0.34824
segaarboretummeadow,GR,2000,rising,gcc_75,2020-05-10,2020-05-15,2020-05-26,2020-05-07,2020-05-12,2020-05-22,2020-05-11,2020-05-20,2020-05-29,0.32756,0.3294,0.33239,0.32663,0.338
segaarboretummeadow,GR,2000,rising,gcc_50,2019-05-03,2019-05-10,2019-06-05,2019-04-29,2019-05-07,2019-06-02,2019-05-07,2019-05-16,2019-06-06,0.33115,0.33354,0.33838,0.32971,0.3459
segaarboretummeadow,GR,2000,rising,gcc_mean,2019-05-02,2019-05-08,2019-06-04,2019-04-28,2019-05-06,2019-06-02,2019-05-05,2019-05-13,2019-06-05,0.3309,0.33308,0.33773,0.32927,0.34568
segaarboretummeadow,GR,2000,rising,gcc_mean,2020-05-09,2020-05-14,2020-05-25,2020-05-05,2020-05-11,2020-05-21,2020-05-10,2020-05-15,2020-05-28,0.32668,0.32806,0.33107,0.32566,0.33633
segaarboretummeadow,GR,2000,falling,gcc_90,2020-09-24,2020-09-15,2020-09-07,2020-09-29,2020-09-17,2020-09-10,2020-09-19,2020-09-13,2020-09-06,0.32041,0.32351,0.33011,0.31842,0.34044
segaarboretummeadow,GR,2000,falling,gcc_90,2019-09-14,2019-09-09,2019-08-25,2019-09-15,2019-09-10,2019-08-29,2019-09-12,2019-09-07,2019-08-23,0.3266,0.33055,0.33809,0.32424,0.35152
segaarboretummeadow,GR,2000,falling,gcc_75,2020-09-23,2020-09-14,2020-09-07,2020-09-30,2020-09-15,2020-09-09,2020-09-16,2020-09-12,2020-09-06,0.32,0.32246,0.32861,0.31804,0.33846
segaarboretummeadow,GR,2000,falling,gcc_75,2019-09-13,2019-09-08,2019-08-24,2019-09-15,2019-09-09,2019-08-27,2019-09-11,2019-09-06,2019-08-23,0.32614,0.32994,0.33705,0.32356,0.35005
segaarboretummeadow,GR,2000,falling,gcc_50,2020-09-26,2020-09-15,2020-09-08,2020-10-02,2020-09-16,2020-09-09,2020-09-17,2020-09-12,2020-09-06,0.31908,0.32115,0.32646,0.31733,0.33504
segaarboretummeadow,GR,2000,falling,gcc_mean,2020-09-23,2020-09-15,2020-09-05,2020-10-01,2020-09-16,2020-09-09,2020-09-15,2020-09-11,2020-09-04,0.31927,0.32093,0.32843,0.31741,0.33639
segaarboretummeadow,GR,2000,falling,gcc_mean,2019-09-13,2019-09-08,2019-08-26,2019-09-14,2019-09-09,2019-08-30,2019-09-11,2019-09-06,2019-08-24,0.32433,0.32831,0.33503,0.32218,0.34744
