#
# Transition date estimate for segahartprairie
#
# Site: segahartprairie
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2019
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:12:11
# Spline RMSE gcc_mean: 0.00092
# Spline RMSE gcc_50: 0.00091
# Spline RMSE gcc_75: 0.00147
# Spline RMSE gcc_90: 0.00131
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
segahartprairie,GR,1000,rising,gcc_90,2020-05-14,2020-05-25,2020-06-12,2020-05-11,2020-05-23,2020-06-05,2020-05-18,2020-05-27,2020-06-14,0.34036,0.34636,0.35678,0.33664,0.37625
segahartprairie,GR,1000,rising,gcc_75,2020-05-15,2020-05-26,2020-06-13,2020-05-12,2020-05-24,2020-06-06,2020-05-20,2020-05-28,2020-06-15,0.33982,0.34565,0.35572,0.33621,0.37456
segahartprairie,GR,1000,rising,gcc_50,2020-05-16,2020-05-27,2020-06-14,2020-05-13,2020-05-25,2020-06-04,2020-05-22,2020-05-29,2020-06-16,0.33888,0.34396,0.35262,0.33563,0.36921
segahartprairie,GR,1000,rising,gcc_mean,2020-05-15,2020-05-26,2020-06-13,2020-05-12,2020-05-25,2020-06-06,2020-05-19,2020-05-28,2020-06-15,0.33885,0.34384,0.35302,0.33555,0.37008
segahartprairie,GR,1000,falling,gcc_90,2020-09-26,2020-09-19,2020-09-11,2020-09-28,2020-09-20,2020-09-12,2020-09-23,2020-09-17,2020-09-10,0.33411,0.34056,0.35324,0.3299,0.37576
segahartprairie,GR,1000,falling,gcc_90,2019-09-26,2019-09-19,2019-09-10,2019-09-28,2019-09-20,2019-09-12,2019-09-23,2019-09-17,2019-09-09,0.33647,0.34257,0.3541,0.33275,0.37445
segahartprairie,GR,1000,falling,gcc_75,2020-09-25,2020-09-19,2020-09-11,2020-09-28,2020-09-20,2020-09-12,2020-09-22,2020-09-17,2020-09-10,0.33371,0.33933,0.35138,0.32949,0.37309
segahartprairie,GR,1000,falling,gcc_75,2019-09-25,2019-09-18,2019-09-08,2019-09-27,2019-09-19,2019-09-10,2019-09-22,2019-09-16,2019-09-07,0.33599,0.34203,0.35287,0.33253,0.37208
segahartprairie,GR,1000,falling,gcc_50,2020-09-27,2020-09-18,2020-09-11,2020-09-30,2020-09-19,2020-09-13,2020-09-22,2020-09-16,2020-09-10,0.33256,0.33814,0.35025,0.32846,0.36959
segahartprairie,GR,1000,falling,gcc_50,2019-09-25,2019-09-18,2019-09-08,2019-09-26,2019-09-20,2019-09-10,2019-09-22,2019-09-16,2019-09-07,0.33468,0.34101,0.35091,0.3318,0.36869
segahartprairie,GR,1000,falling,gcc_mean,2020-09-28,2020-09-18,2020-09-11,2020-09-30,2020-09-19,2020-09-13,2020-09-24,2020-09-17,2020-09-10,0.33244,0.33882,0.35004,0.32836,0.37021
segahartprairie,GR,1000,falling,gcc_mean,2019-09-26,2019-09-19,2019-09-08,2019-09-27,2019-09-20,2019-09-10,2019-09-23,2019-09-17,2019-09-07,0.33472,0.34028,0.35111,0.33155,0.36908
