#
# Transition date estimate for segawhitepockets
#
# Site: segawhitepockets
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:12:20
# Spline RMSE gcc_mean: 0.00075
# Spline RMSE gcc_50: 0.00088
# Spline RMSE gcc_75: 0.00098
# Spline RMSE gcc_90: 0.00109
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
segawhitepockets,GR,1000,rising,gcc_90,2018-04-06,2018-04-14,2018-04-25,2018-03-15,2018-03-15,2018-03-15,2018-06-25,2018-06-25,2018-06-25,0.34631,0.35062,0.35962,0.34366,0.37353
segawhitepockets,GR,1000,rising,gcc_90,2019-03-22,2019-03-31,2019-04-17,2019-03-20,2019-03-30,2019-04-15,2019-03-24,2019-04-02,2019-04-18,0.34099,0.34764,0.36086,0.33635,0.38415
segawhitepockets,GR,1000,rising,gcc_90,2020-03-29,2020-04-12,2020-04-24,2020-03-25,2020-04-09,2020-04-22,2020-04-02,2020-04-16,2020-04-25,0.33801,0.34262,0.35087,0.33516,0.36562
segawhitepockets,GR,1000,rising,gcc_75,2018-04-07,2018-04-15,2018-04-24,2018-03-15,2018-03-15,2018-03-15,2018-06-25,2018-06-25,2018-06-25,0.34609,0.35028,0.35732,0.34359,0.37094
segawhitepockets,GR,1000,rising,gcc_75,2019-03-22,2019-03-31,2019-04-17,2019-03-20,2019-03-30,2019-04-15,2019-03-24,2019-04-02,2019-04-18,0.34043,0.347,0.35973,0.3359,0.38208
segawhitepockets,GR,1000,rising,gcc_75,2020-03-29,2020-04-12,2020-04-24,2020-03-25,2020-04-10,2020-04-22,2020-04-02,2020-04-16,2020-04-25,0.33745,0.34182,0.34993,0.33468,0.36408
segawhitepockets,GR,1000,rising,gcc_50,2018-04-06,2018-04-14,2018-04-24,2018-03-15,2018-03-15,2018-03-15,2018-06-25,2018-06-25,2018-06-25,0.34469,0.34856,0.35566,0.34232,0.36791
segawhitepockets,GR,1000,rising,gcc_50,2019-03-23,2019-04-01,2019-04-18,2019-03-21,2019-03-31,2019-04-16,2019-03-24,2019-04-03,2019-04-19,0.34031,0.3468,0.35899,0.33595,0.38044
segawhitepockets,GR,1000,rising,gcc_50,2020-03-29,2020-04-12,2020-04-24,2020-03-25,2020-04-09,2020-04-22,2020-04-02,2020-04-16,2020-04-25,0.33689,0.34094,0.34838,0.33419,0.36188
segawhitepockets,GR,1000,rising,gcc_mean,2018-04-04,2018-04-13,2018-04-24,2018-03-15,2018-03-15,2018-03-15,2018-06-25,2018-06-25,2018-06-25,0.34384,0.34797,0.35591,0.34128,0.36864
