#
# Transition date estimate for teddy
#
# Site: teddy
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:12:57
# Spline RMSE gcc_mean: 0.001
# Spline RMSE gcc_50: 0.00106
# Spline RMSE gcc_75: 0.00094
# Spline RMSE gcc_90: 0.00107
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
teddy,GR,1000,rising,gcc_90,2010-04-15,2010-05-14,2010-05-24,2010-03-30,2010-05-08,2010-05-21,2010-04-22,2010-05-17,2010-05-26,0.33689,0.34015,0.3465,0.33453,0.35815
teddy,GR,1000,rising,gcc_90,2011-05-02,2011-05-13,2011-05-25,2011-04-25,2011-05-11,2011-05-23,2011-05-06,2011-05-16,2011-05-26,0.33201,0.33859,0.352,0.32742,0.37419
teddy,GR,1000,rising,gcc_90,2013-05-02,2013-05-13,2013-05-24,2013-04-30,2013-05-12,2013-05-22,2013-05-07,2013-05-15,2013-05-26,0.3318,0.33861,0.35044,0.32767,0.37286
teddy,GR,1000,rising,gcc_90,2014-05-08,2014-05-19,2014-05-27,2014-05-05,2014-05-18,2014-05-25,2014-05-12,2014-05-21,2014-05-28,0.33322,0.33952,0.35249,0.32917,0.37442
teddy,GR,1000,rising,gcc_90,2017-04-11,2017-04-29,2017-05-07,2017-04-07,2017-04-28,2017-05-06,2017-04-16,2017-05-01,2017-05-08,0.33368,0.34005,0.35302,0.32937,0.37485
teddy,GR,1000,rising,gcc_90,2018-04-24,2018-04-30,2018-05-07,2018-04-22,2018-04-29,2018-05-06,2018-04-26,2018-05-02,2018-05-08,0.33234,0.34066,0.35738,0.32632,0.38759
teddy,GR,1000,rising,gcc_75,2010-04-08,2010-05-13,2010-05-23,2010-03-30,2010-05-09,2010-05-20,2010-04-20,2010-05-16,2010-05-25,0.33593,0.33901,0.3448,0.33376,0.35573
teddy,GR,1000,rising,gcc_75,2011-05-01,2011-05-13,2011-05-26,2011-04-26,2011-05-12,2011-05-24,2011-05-06,2011-05-16,2011-05-27,0.33131,0.33756,0.34986,0.32685,0.37206
teddy,GR,1000,rising,gcc_75,2013-05-01,2013-05-12,2013-05-25,2013-04-29,2013-05-11,2013-05-23,2013-05-04,2013-05-15,2013-05-26,0.33085,0.33677,0.34884,0.32677,0.36993
teddy,GR,1000,rising,gcc_75,2014-05-06,2014-05-18,2014-05-26,2014-05-03,2014-05-16,2014-05-24,2014-05-10,2014-05-20,2014-05-27,0.33162,0.3379,0.34856,0.32821,0.36712
teddy,GR,1000,rising,gcc_75,2017-04-10,2017-04-29,2017-05-07,2017-04-07,2017-04-28,2017-05-06,2017-04-15,2017-05-01,2017-05-08,0.33262,0.33907,0.35189,0.32849,0.37323
teddy,GR,1000,rising,gcc_75,2018-04-24,2018-04-30,2018-05-07,2018-04-22,2018-04-29,2018-05-06,2018-04-26,2018-05-02,2018-05-08,0.33158,0.33922,0.35591,0.32593,0.38493
teddy,GR,1000,rising,gcc_50,2010-04-03,2010-05-11,2010-05-25,2010-03-27,2010-05-08,2010-05-21,2010-04-18,2010-05-16,2010-05-26,0.33439,0.33722,0.34348,0.33243,0.35339
teddy,GR,1000,rising,gcc_50,2011-04-28,2011-05-13,2011-05-25,2011-04-24,2011-05-11,2011-05-23,2011-05-03,2011-05-15,2011-05-27,0.32983,0.33639,0.34765,0.3257,0.36935
teddy,GR,1000,rising,gcc_50,2013-04-30,2013-05-12,2013-05-24,2013-04-28,2013-05-10,2013-05-22,2013-05-03,2013-05-14,2013-05-25,0.32956,0.33596,0.3467,0.32562,0.36726
teddy,GR,1000,rising,gcc_50,2014-05-05,2014-05-16,2014-05-26,2014-05-02,2014-05-14,2014-05-24,2014-05-09,2014-05-19,2014-05-27,0.33016,0.33573,0.34669,0.32679,0.36467
teddy,GR,1000,rising,gcc_50,2017-04-08,2017-04-29,2017-05-07,2017-04-03,2017-04-27,2017-05-06,2017-04-14,2017-05-01,2017-05-08,0.33132,0.33818,0.34935,0.32712,0.3714
teddy,GR,1000,rising,gcc_50,2018-04-24,2018-05-01,2018-05-08,2018-04-22,2018-04-30,2018-05-06,2018-04-26,2018-05-02,2018-05-09,0.33061,0.33908,0.3553,0.32542,0.3817
teddy,GR,1000,rising,gcc_mean,2011-05-03,2011-05-13,2011-05-26,2011-04-29,2011-05-11,2011-05-23,2011-05-07,2011-05-16,2011-05-27,0.33021,0.33622,0.34855,0.32588,0.36935
teddy,GR,1000,rising,gcc_mean,2013-04-30,2013-05-11,2013-05-25,2013-04-28,2013-05-10,2013-05-23,2013-05-04,2013-05-14,2013-05-26,0.32907,0.33514,0.3469,0.32536,0.36706
teddy,GR,1000,rising,gcc_mean,2014-05-05,2014-05-17,2014-05-26,2014-05-02,2014-05-15,2014-05-24,2014-05-09,2014-05-19,2014-05-27,0.33,0.33576,0.34655,0.32612,0.36559
teddy,GR,1000,rising,gcc_mean,2016-05-02,2016-05-12,2016-06-03,2016-05-01,2016-05-11,2016-06-02,2016-05-05,2016-05-17,2016-06-07,0.33319,0.33951,0.35019,0.32941,0.37087
teddy,GR,1000,rising,gcc_mean,2018-04-24,2018-04-30,2018-05-07,2018-04-23,2018-04-29,2018-05-06,2018-04-26,2018-05-02,2018-05-08,0.33009,0.33758,0.35352,0.3255,0.37921
teddy,GR,1000,falling,gcc_90,2018-09-26,2018-08-18,2018-07-25,2018-10-01,2018-08-19,2018-07-30,2018-09-20,2018-08-16,2018-07-22,0.33681,0.3449,0.3594,0.33145,0.38689
teddy,GR,1000,falling,gcc_90,2017-07-08,2017-06-26,2017-06-16,2017-07-13,2017-06-28,2017-06-18,2017-07-07,2017-06-24,2017-06-15,0.33854,0.34445,0.35541,0.33453,0.3749
teddy,GR,1000,falling,gcc_90,2016-10-19,2016-08-24,2016-07-16,2016-10-20,2016-08-25,2016-08-08,2016-10-14,2016-08-20,2016-06-27,0.33531,0.34104,0.35123,0.33162,0.37044
teddy,GR,1000,falling,gcc_90,2013-10-04,2013-08-21,2013-07-23,2013-11-07,2013-08-25,2013-07-26,2013-09-26,2013-08-18,2013-07-22,0.33647,0.34232,0.35325,0.33263,0.37177
teddy,GR,1000,falling,gcc_90,2011-09-26,2011-09-04,2011-08-10,2011-10-04,2011-09-08,2011-08-13,2011-09-25,2011-08-30,2011-08-07,0.33531,0.34129,0.35176,0.33133,0.3718
teddy,GR,1000,falling,gcc_90,2010-10-20,2010-10-10,2010-09-29,2010-10-23,2010-10-12,2010-10-03,2010-10-16,2010-10-07,2010-08-19,0.33294,0.33628,0.34301,0.33069,0.35488
teddy,GR,1000,falling,gcc_75,2018-09-25,2018-08-19,2018-07-27,2018-09-29,2018-08-20,2018-08-01,2018-09-21,2018-08-17,2018-07-23,0.33601,0.3431,0.35717,0.33075,0.38336
teddy,GR,1000,falling,gcc_75,2017-07-09,2017-06-26,2017-06-16,2017-07-13,2017-06-27,2017-06-18,2017-07-08,2017-06-23,2017-06-15,0.33784,0.34309,0.3539,0.33402,0.37321
teddy,GR,1000,falling,gcc_75,2016-10-21,2016-08-26,2016-07-19,2016-10-22,2016-08-27,2016-08-08,2016-10-16,2016-08-23,2016-06-27,0.33438,0.3392,0.34868,0.33098,0.36627
teddy,GR,1000,falling,gcc_75,2013-08-27,2013-08-14,2013-07-22,2013-08-31,2013-08-17,2013-07-24,2013-08-23,2013-08-09,2013-07-21,0.33987,0.34454,0.35332,0.33685,0.36819
teddy,GR,1000,falling,gcc_75,2011-09-23,2011-09-04,2011-08-09,2011-10-02,2011-09-08,2011-08-12,2011-09-22,2011-08-31,2011-08-05,0.33475,0.34081,0.35089,0.33085,0.37076
teddy,GR,1000,falling,gcc_75,2010-10-29,2010-10-19,2010-10-04,2010-11-15,2010-10-21,2010-10-06,2010-10-28,2010-10-15,2010-10-02,0.32929,0.33298,0.34007,0.32673,0.35294
teddy,GR,1000,falling,gcc_50,2018-09-22,2018-08-19,2018-08-04,2018-09-25,2018-08-21,2018-08-08,2018-09-20,2018-08-17,2018-07-22,0.33433,0.34182,0.35465,0.3293,0.37985
teddy,GR,1000,falling,gcc_50,2017-07-11,2017-06-24,2017-06-15,2017-07-16,2017-06-26,2017-06-17,2017-07-10,2017-06-22,2017-06-14,0.33685,0.3428,0.35242,0.33332,0.37134
teddy,GR,1000,falling,gcc_50,2016-10-21,2016-08-27,2016-07-20,2016-10-22,2016-08-28,2016-08-08,2016-10-16,2016-08-26,2016-06-27,0.33288,0.33775,0.34698,0.32973,0.36373
teddy,GR,1000,falling,gcc_50,2013-08-29,2013-08-15,2013-07-23,2013-09-03,2013-08-18,2013-07-25,2013-08-24,2013-08-09,2013-07-22,0.3388,0.34315,0.35124,0.33596,0.36583
teddy,GR,1000,falling,gcc_50,2011-09-19,2011-09-06,2011-08-08,2011-10-03,2011-09-09,2011-08-13,2011-09-18,2011-08-31,2011-08-04,0.33395,0.33954,0.34937,0.33015,0.36846
teddy,GR,1000,falling,gcc_50,2010-10-22,2010-10-16,2010-10-04,2010-10-24,2010-10-19,2010-10-05,2010-10-19,2010-10-10,2010-10-02,0.33004,0.33396,0.33962,0.32853,0.35061
teddy,GR,1000,falling,gcc_mean,2018-09-22,2018-08-18,2018-07-23,2018-09-25,2018-08-20,2018-08-01,2018-09-18,2018-08-16,2018-07-21,0.33391,0.34219,0.35576,0.32897,0.38215
