#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2021-09-01
# Final Processing Time: 15:43:55
# Spline RMSE gcc_mean: 0.00309
# Spline RMSE gcc_50: 0.00297
# Spline RMSE gcc_75: 0.00296
# Spline RMSE gcc_90: 0.00281
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,GR,1000,rising,gcc_90,2012-03-10,2012-03-18,2012-04-08,2012-03-08,2012-03-15,2012-04-03,2012-03-13,2012-03-22,2012-04-11,0.31654,0.32863,0.34827,0.30985,0.38573
tonzi,GR,1000,rising,gcc_90,2013-03-06,2013-03-13,2013-03-25,2013-03-03,2013-03-12,2013-03-21,2013-03-07,2013-03-14,2013-03-27,0.31866,0.3291,0.34894,0.31217,0.38455
tonzi,GR,1000,rising,gcc_90,2014-03-07,2014-03-16,2014-03-25,2014-03-04,2014-03-14,2014-03-24,2014-03-10,2014-03-19,2014-03-26,0.31832,0.33028,0.35265,0.30985,0.39544
tonzi,GR,1000,rising,gcc_90,2014-11-17,2014-11-27,2014-12-13,2014-10-26,2014-11-26,2014-12-12,2014-11-22,2014-12-02,2014-12-15,0.30839,0.31668,0.33152,0.303,0.35847
tonzi,GR,1000,rising,gcc_90,2016-01-30,2016-02-25,2016-03-04,2016-01-19,2016-02-22,2016-03-02,2016-02-15,2016-02-29,2016-03-05,0.31925,0.32983,0.35265,0.31157,0.38913
tonzi,GR,1000,rising,gcc_90,2016-10-18,2016-10-24,2016-11-18,2016-10-16,2016-10-23,2016-11-17,2016-10-21,2016-10-28,2017-03-15,0.30881,0.31831,0.33542,0.30395,0.3667
tonzi,GR,1000,rising,gcc_90,2018-03-14,2018-03-26,2018-04-01,2018-03-12,2018-03-25,2018-03-30,2018-03-18,2018-03-29,2018-04-02,0.3261,0.33317,0.3491,0.32133,0.37556
tonzi,GR,1000,rising,gcc_90,2019-03-05,2019-03-21,2019-03-31,2019-03-02,2019-03-20,2019-03-29,2019-03-11,2019-03-24,2019-04-01,0.32021,0.33069,0.35286,0.31339,0.38937
tonzi,GR,1000,rising,gcc_90,2020-03-02,2020-03-08,2020-03-17,2020-02-18,2020-03-07,2020-03-14,2020-03-06,2020-03-10,2020-03-20,0.3236,0.33266,0.35033,0.31741,0.38182
tonzi,GR,1000,rising,gcc_75,2012-03-01,2012-03-13,2012-04-02,2012-02-14,2012-03-11,2012-03-27,2012-03-09,2012-03-16,2012-04-08,0.30839,0.31852,0.33924,0.30079,0.37724
