#
# 3-day summary product timeseries for tuckerprairie
#
# Site: tuckerprairie
# Veg Type: GR
# ROI ID Number: 1000
# Lat: 38.9491
# Lon: -91.9952
# Elev: 274
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2021-01-05
# Creation Time: 17:08:29
# Update Date: 2022-05-03
# Update Time: 06:12:05
# Final Processing Date:: 2022-05-03
# Final Processing Time:: 14:13:28
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2018-07-05,2018,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42076,0.42274,0.42627,0.42858,0.39676,0.39915,0.4033,0.40678,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-06,2018,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42076,0.42274,0.42627,0.42858,0.39676,0.39915,0.4033,0.40678,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-07,2018,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42076,0.42274,0.42627,0.42858,0.39676,0.39915,0.4033,0.40678,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-08,2018,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4206,0.42253,0.42609,0.42845,0.39631,0.39888,0.40292,0.40643,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-09,2018,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42042,0.4223,0.42589,0.42829,0.39592,0.39865,0.40259,0.40612,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-10,2018,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4202,0.42204,0.42565,0.4281,0.39557,0.39847,0.40232,0.40586,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-11,2018,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41996,0.42175,0.42539,0.42788,0.39527,0.39833,0.40208,0.40565,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-12,2018,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41969,0.42144,0.4251,0.42764,0.39501,0.39824,0.4019,0.40548,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-13,2018,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4194,0.42111,0.42478,0.42737,0.39479,0.3982,0.40176,0.40535,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-14,2018,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41907,0.42075,0.42442,0.42707,0.39463,0.3982,0.40167,0.40528,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-15,2018,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41872,0.42036,0.42404,0.42674,0.39451,0.39825,0.40163,0.40525,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-16,2018,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41834,0.41996,0.42363,0.42638,0.39443,0.39834,0.40164,0.40526,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-17,2018,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41793,0.41952,0.42319,0.42599,0.39441,0.39848,0.40169,0.40533,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-07-18,2018,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4175,0.41907,0.42272,0.42558,0.39444,0.39865,0.4018,0.40545,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
