#
# Transition date estimate for tuckerprairie
#
# Site: tuckerprairie
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2019
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:13:28
# Spline RMSE gcc_mean: 0.00338
# Spline RMSE gcc_50: 0.00345
# Spline RMSE gcc_75: 0.00342
# Spline RMSE gcc_90: 0.00377
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tuckerprairie,GR,1000,rising,gcc_90,2019-04-20,2019-04-28,2019-05-09,2019-04-18,2019-04-27,2019-05-07,2019-04-23,2019-04-30,2019-05-10,0.33129,0.34831,0.37944,0.32012,0.43823
tuckerprairie,GR,1000,rising,gcc_90,2020-04-03,2020-04-14,2020-04-26,2020-04-01,2020-04-12,2020-04-25,2020-04-06,2020-04-16,2020-04-27,0.33218,0.34974,0.3805,0.32045,0.44012
tuckerprairie,GR,1000,rising,gcc_75,2019-04-20,2019-04-28,2019-05-09,2019-04-19,2019-04-27,2019-05-07,2019-04-23,2019-04-30,2019-05-10,0.32909,0.3461,0.37699,0.31883,0.4338
tuckerprairie,GR,1000,rising,gcc_75,2020-04-02,2020-04-14,2020-04-27,2020-03-31,2020-04-12,2020-04-25,2020-04-05,2020-04-16,2020-04-28,0.32968,0.34781,0.37898,0.31889,0.43597
tuckerprairie,GR,1000,rising,gcc_50,2019-04-20,2019-04-28,2019-05-09,2019-04-18,2019-04-27,2019-05-07,2019-04-23,2019-04-30,2019-05-10,0.32765,0.34433,0.37371,0.31707,0.4292
tuckerprairie,GR,1000,rising,gcc_50,2020-04-01,2020-04-13,2020-04-27,2020-03-30,2020-04-12,2020-04-25,2020-04-04,2020-04-16,2020-04-28,0.3268,0.34397,0.37529,0.31629,0.43199
tuckerprairie,GR,1000,rising,gcc_mean,2019-04-19,2019-04-28,2019-05-09,2019-04-18,2019-04-26,2019-05-07,2019-04-22,2019-04-30,2019-05-10,0.32645,0.34441,0.37364,0.3164,0.42863
tuckerprairie,GR,1000,rising,gcc_mean,2020-04-01,2020-04-13,2020-04-27,2020-03-30,2020-04-11,2020-04-25,2020-04-04,2020-04-15,2020-04-28,0.32629,0.34384,0.37539,0.31546,0.43039
tuckerprairie,GR,1000,falling,gcc_90,2020-10-10,2020-09-25,2020-09-07,2020-10-13,2020-09-27,2020-09-09,2020-10-07,2020-09-22,2020-09-06,0.33068,0.34857,0.38025,0.31899,0.43882
tuckerprairie,GR,1000,falling,gcc_90,2019-09-30,2019-09-15,2019-08-31,2019-10-03,2019-09-17,2019-09-03,2019-09-26,2019-09-12,2019-08-29,0.35493,0.36828,0.39232,0.3466,0.43583
tuckerprairie,GR,1000,falling,gcc_75,2020-10-10,2020-09-26,2020-09-07,2020-10-13,2020-09-28,2020-09-09,2020-10-07,2020-09-23,2020-09-06,0.32877,0.34561,0.37726,0.31732,0.43451
tuckerprairie,GR,1000,falling,gcc_75,2019-09-30,2019-09-15,2019-08-30,2019-10-02,2019-09-17,2019-09-02,2019-09-26,2019-09-12,2019-08-28,0.35292,0.36616,0.39003,0.34506,0.43301
tuckerprairie,GR,1000,falling,gcc_50,2020-10-10,2020-09-25,2020-09-07,2020-10-13,2020-09-27,2020-09-09,2020-10-07,2020-09-22,2020-09-06,0.32682,0.34442,0.37453,0.31571,0.43108
tuckerprairie,GR,1000,falling,gcc_50,2019-09-29,2019-09-15,2019-08-30,2019-10-02,2019-09-17,2019-09-02,2019-09-25,2019-09-12,2019-08-28,0.35136,0.36297,0.38606,0.34304,0.4272
tuckerprairie,GR,1000,falling,gcc_mean,2020-10-11,2020-09-26,2020-09-08,2020-10-13,2020-09-28,2020-09-10,2020-10-08,2020-09-23,2020-09-07,0.32539,0.34209,0.37232,0.31482,0.42862
tuckerprairie,GR,1000,falling,gcc_mean,2019-09-30,2019-09-15,2019-08-31,2019-10-03,2019-09-17,2019-09-03,2019-09-26,2019-09-12,2019-08-29,0.35037,0.36297,0.3845,0.34258,0.42592
