#
# Transition date estimate for uiefprairie
#
# Site: uiefprairie
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2018
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:13:55
# Spline RMSE gcc_mean: 0.00324
# Spline RMSE gcc_50: 0.00387
# Spline RMSE gcc_75: 0.00384
# Spline RMSE gcc_90: 0.00322
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefprairie,GR,1000,rising,gcc_90,2010-04-02,2010-04-08,2010-04-18,2010-04-01,2010-04-07,2010-04-16,2010-04-04,2010-04-10,2010-04-19,0.34728,0.36389,0.39828,0.3368,0.45744
uiefprairie,GR,1000,rising,gcc_90,2011-04-10,2011-04-21,2011-05-01,2011-04-07,2011-04-19,2011-04-29,2011-04-13,2011-04-23,2011-05-02,0.34898,0.36598,0.39575,0.33811,0.45022
uiefprairie,GR,1000,rising,gcc_90,2012-03-19,2012-03-26,2012-04-05,2012-03-16,2012-03-25,2012-04-02,2012-03-22,2012-03-28,2012-04-21,0.34636,0.36166,0.38994,0.33708,0.44087
uiefprairie,GR,1000,rising,gcc_90,2013-04-12,2013-04-25,2013-05-03,2013-04-08,2013-04-24,2013-05-02,2013-04-17,2013-04-27,2013-05-04,0.34584,0.36037,0.38902,0.33575,0.43904
uiefprairie,GR,1000,rising,gcc_90,2014-04-18,2014-04-28,2014-05-07,2014-04-15,2014-04-27,2014-05-05,2014-04-22,2014-05-01,2014-05-08,0.34586,0.36013,0.38996,0.33616,0.44038
uiefprairie,GR,1000,rising,gcc_90,2015-04-10,2015-04-20,2015-05-02,2015-04-08,2015-04-18,2015-04-30,2015-04-13,2015-04-23,2015-05-03,0.3486,0.36383,0.39091,0.33957,0.43968
uiefprairie,GR,1000,rising,gcc_90,2016-04-13,2016-04-19,2016-04-27,2016-04-11,2016-04-18,2016-04-25,2016-04-16,2016-04-20,2016-04-28,0.34534,0.36117,0.38908,0.33661,0.43547
uiefprairie,GR,1000,rising,gcc_90,2017-04-07,2017-04-11,2017-04-18,2017-04-06,2017-04-10,2017-04-16,2017-04-09,2017-04-13,2017-04-19,0.34193,0.35407,0.38043,0.33447,0.42147
uiefprairie,GR,1000,rising,gcc_90,2018-05-11,2018-05-17,2018-05-24,2018-05-08,2018-05-16,2018-05-22,2018-05-14,2018-05-19,2018-05-25,0.34207,0.35253,0.37591,0.33496,0.41464
uiefprairie,GR,1000,rising,gcc_75,2010-04-02,2010-04-08,2010-04-18,2010-03-31,2010-04-07,2010-04-16,2010-04-04,2010-04-10,2010-04-19,0.34541,0.36124,0.39541,0.33473,0.45309
uiefprairie,GR,1000,rising,gcc_75,2011-04-09,2011-04-21,2011-05-01,2011-04-06,2011-04-19,2011-04-29,2011-04-13,2011-04-23,2011-05-02,0.34653,0.36375,0.39239,0.33643,0.44625
uiefprairie,GR,1000,rising,gcc_75,2012-03-20,2012-03-26,2012-04-04,2012-03-17,2012-03-25,2012-04-02,2012-03-22,2012-03-28,2012-04-20,0.3446,0.35846,0.38589,0.33454,0.43601
uiefprairie,GR,1000,rising,gcc_75,2013-04-11,2013-04-25,2013-05-03,2013-04-08,2013-04-24,2013-05-01,2013-04-16,2013-04-27,2013-05-04,0.34351,0.35864,0.38701,0.33432,0.43386
uiefprairie,GR,1000,rising,gcc_75,2014-04-20,2014-04-29,2014-05-08,2014-04-18,2014-04-28,2014-05-06,2014-04-24,2014-05-01,2014-05-09,0.34604,0.36001,0.38957,0.33731,0.43633
uiefprairie,GR,1000,rising,gcc_75,2015-04-10,2015-04-20,2015-05-02,2015-04-08,2015-04-18,2015-04-30,2015-04-13,2015-04-23,2015-05-03,0.34648,0.36134,0.38732,0.33799,0.4333
uiefprairie,GR,1000,rising,gcc_75,2016-04-12,2016-04-18,2016-04-26,2016-04-06,2016-04-17,2016-04-25,2016-04-15,2016-04-20,2016-04-27,0.34291,0.35602,0.38238,0.33446,0.42985
uiefprairie,GR,1000,rising,gcc_75,2017-04-07,2017-04-11,2017-04-17,2017-04-06,2017-04-10,2017-04-15,2017-04-09,2017-04-13,2017-04-18,0.34006,0.35213,0.37521,0.33283,0.41611
uiefprairie,GR,1000,rising,gcc_75,2018-05-11,2018-05-17,2018-05-24,2018-05-08,2018-05-16,2018-05-23,2018-05-14,2018-05-19,2018-05-25,0.34072,0.35118,0.37144,0.33374,0.40902
uiefprairie,GR,1000,rising,gcc_50,2010-04-03,2010-04-08,2010-04-18,2010-04-01,2010-04-07,2010-04-16,2010-04-05,2010-04-10,2010-04-19,0.34438,0.35818,0.39112,0.33316,0.446
uiefprairie,GR,1000,rising,gcc_50,2011-04-09,2011-04-20,2011-05-01,2011-04-06,2011-04-18,2011-04-29,2011-04-12,2011-04-22,2011-05-02,0.34431,0.35936,0.38808,0.33389,0.43882
uiefprairie,GR,1000,rising,gcc_50,2012-03-20,2012-03-26,2012-04-04,2012-03-18,2012-03-25,2012-04-02,2012-03-22,2012-03-28,2012-04-06,0.34057,0.35448,0.38252,0.33163,0.4307
uiefprairie,GR,1000,rising,gcc_50,2013-04-11,2013-04-24,2013-05-03,2013-04-08,2013-04-23,2013-05-01,2013-04-14,2013-04-26,2013-05-04,0.34127,0.35371,0.38266,0.33214,0.42486
uiefprairie,GR,1000,rising,gcc_50,2014-04-21,2014-04-29,2014-05-07,2014-04-18,2014-04-27,2014-05-05,2014-04-24,2014-05-01,2014-05-08,0.34305,0.35717,0.38273,0.33366,0.42881
uiefprairie,GR,1000,rising,gcc_50,2015-04-08,2015-04-16,2015-05-01,2015-04-06,2015-04-14,2015-04-29,2015-04-10,2015-04-19,2015-05-02,0.3409,0.35386,0.37907,0.33249,0.42324
uiefprairie,GR,1000,rising,gcc_50,2016-04-12,2016-04-18,2016-04-26,2016-04-05,2016-04-17,2016-04-24,2016-04-15,2016-04-20,2016-04-27,0.34098,0.35369,0.37766,0.33218,0.42208
uiefprairie,GR,1000,rising,gcc_50,2017-04-07,2017-04-11,2017-04-17,2017-04-06,2017-04-10,2017-04-15,2017-04-09,2017-04-13,2017-04-18,0.33728,0.34883,0.37135,0.33112,0.4106
uiefprairie,GR,1000,rising,gcc_50,2018-05-11,2018-05-17,2018-05-24,2018-05-08,2018-05-16,2018-05-23,2018-05-14,2018-05-20,2018-05-25,0.33806,0.34698,0.36559,0.33212,0.39886
uiefprairie,GR,1000,rising,gcc_mean,2010-04-02,2010-04-08,2010-04-17,2010-04-01,2010-04-07,2010-04-16,2010-04-04,2010-04-10,2010-04-18,0.34237,0.35798,0.38791,0.33285,0.44258
uiefprairie,GR,1000,rising,gcc_mean,2011-04-10,2011-04-20,2011-05-01,2011-04-08,2011-04-19,2011-04-29,2011-04-13,2011-04-22,2011-05-02,0.3441,0.35861,0.38774,0.33439,0.43643
uiefprairie,GR,1000,rising,gcc_mean,2012-03-20,2012-03-26,2012-04-03,2012-03-18,2012-03-25,2012-04-02,2012-03-22,2012-03-28,2012-04-05,0.34072,0.35404,0.37973,0.33182,0.42736
uiefprairie,GR,1000,rising,gcc_mean,2013-04-11,2013-04-24,2013-05-03,2013-04-08,2013-04-23,2013-05-01,2013-04-15,2013-04-26,2013-05-04,0.34102,0.35296,0.38216,0.33237,0.42369
uiefprairie,GR,1000,rising,gcc_mean,2014-04-22,2014-04-29,2014-05-07,2014-04-20,2014-04-28,2014-05-05,2014-04-24,2014-05-01,2014-05-08,0.34371,0.35643,0.38293,0.33485,0.42484
uiefprairie,GR,1000,rising,gcc_mean,2015-04-08,2015-04-17,2015-05-01,2015-04-07,2015-04-15,2015-04-29,2015-04-11,2015-04-20,2015-05-02,0.34049,0.35446,0.37919,0.33302,0.42195
uiefprairie,GR,1000,rising,gcc_mean,2016-04-12,2016-04-18,2016-04-26,2016-04-09,2016-04-17,2016-04-24,2016-04-15,2016-04-20,2016-04-27,0.34003,0.35298,0.37781,0.33244,0.41836
uiefprairie,GR,1000,rising,gcc_mean,2017-04-07,2017-04-11,2017-04-17,2017-04-06,2017-04-10,2017-04-15,2017-04-09,2017-04-12,2017-04-18,0.3372,0.3486,0.37085,0.33051,0.40681
uiefprairie,GR,1000,rising,gcc_mean,2018-05-11,2018-05-18,2018-05-25,2018-05-07,2018-05-16,2018-05-23,2018-05-14,2018-05-20,2018-05-26,0.33825,0.34824,0.36647,0.33198,0.39714
uiefprairie,GR,1000,falling,gcc_90,2018-07-22,2018-07-18,2018-07-12,2018-07-24,2018-07-19,2018-07-13,2018-07-21,2018-07-16,2018-07-11,0.35437,0.36348,0.38289,0.34795,0.4166
uiefprairie,GR,1000,falling,gcc_90,2017-09-23,2017-09-04,2017-08-11,2017-09-27,2017-09-07,2017-08-16,2017-09-16,2017-08-31,2017-08-08,0.35392,0.36466,0.38458,0.3464,0.42203
uiefprairie,GR,1000,falling,gcc_90,2016-10-09,2016-09-15,2016-08-12,2016-10-12,2016-09-20,2016-08-17,2016-10-04,2016-09-10,2016-08-04,0.34453,0.35952,0.38498,0.33544,0.43386
uiefprairie,GR,1000,falling,gcc_90,2015-09-19,2015-08-30,2015-08-14,2015-09-22,2015-09-11,2015-08-17,2015-09-16,2015-08-25,2015-08-11,0.3541,0.36778,0.39113,0.345,0.43669
uiefprairie,GR,1000,falling,gcc_90,2014-09-28,2014-09-16,2014-08-22,2014-10-02,2014-09-18,2014-08-25,2014-09-25,2014-09-13,2014-08-19,0.34704,0.36172,0.3879,0.33692,0.43876
uiefprairie,GR,1000,falling,gcc_90,2013-09-30,2013-09-08,2013-08-17,2013-10-08,2013-09-10,2013-08-21,2013-09-20,2013-09-05,2013-08-15,0.34792,0.36283,0.38997,0.33785,0.43954
uiefprairie,GR,1000,falling,gcc_90,2012-10-08,2012-09-25,2012-09-05,2012-10-11,2012-09-27,2012-09-11,2012-10-05,2012-09-22,2012-08-27,0.3457,0.35973,0.38602,0.33592,0.43602
uiefprairie,GR,1000,falling,gcc_90,2011-09-29,2011-09-18,2011-08-25,2011-10-01,2011-09-20,2011-08-28,2011-09-27,2011-09-14,2011-08-23,0.34608,0.36186,0.39105,0.33516,0.44557
uiefprairie,GR,1000,falling,gcc_90,2010-09-30,2010-09-01,2010-08-06,2010-10-03,2010-09-04,2010-08-09,2010-09-26,2010-08-29,2010-08-05,0.34589,0.36421,0.39505,0.33505,0.45204
uiefprairie,GR,1000,falling,gcc_90,2009-09-28,2009-09-09,2009-08-20,2009-10-02,2009-09-13,2009-08-22,2009-09-23,2009-09-04,2009-08-18,0.34954,0.36592,0.39451,0.33911,0.44896
uiefprairie,GR,1000,falling,gcc_90,2008-12-10,2008-11-29,2008-11-22,2008-12-19,2008-12-01,2008-11-24,2008-12-04,2008-11-27,2008-11-21,0.34457,0.35476,0.37421,0.33791,0.40764
uiefprairie,GR,1000,falling,gcc_75,2018-07-21,2018-07-17,2018-07-12,2018-07-22,2018-07-18,2018-07-13,2018-07-20,2018-07-15,2018-07-11,0.34997,0.35923,0.37806,0.34465,0.40988
uiefprairie,GR,1000,falling,gcc_75,2017-09-23,2017-09-03,2017-08-10,2017-09-27,2017-09-06,2017-08-15,2017-09-13,2017-08-30,2017-08-07,0.35195,0.36287,0.38132,0.34482,0.41776
uiefprairie,GR,1000,falling,gcc_75,2016-10-10,2016-09-14,2016-08-13,2016-10-15,2016-09-21,2016-08-18,2016-10-05,2016-09-10,2016-08-04,0.34155,0.35661,0.38133,0.33254,0.42949
uiefprairie,GR,1000,falling,gcc_75,2015-09-18,2015-08-30,2015-08-13,2015-09-20,2015-09-10,2015-08-16,2015-09-14,2015-08-23,2015-08-10,0.35237,0.36609,0.3877,0.34492,0.43037
uiefprairie,GR,1000,falling,gcc_75,2014-09-29,2014-09-14,2014-08-21,2014-10-02,2014-09-17,2014-08-26,2014-09-25,2014-09-10,2014-08-18,0.34427,0.35948,0.38549,0.33481,0.43463
uiefprairie,GR,1000,falling,gcc_75,2013-10-05,2013-09-10,2013-08-19,2013-10-10,2013-09-12,2013-08-22,2013-09-23,2013-09-07,2013-08-17,0.34389,0.35861,0.38525,0.33416,0.43461
uiefprairie,GR,1000,falling,gcc_75,2012-10-08,2012-09-25,2012-09-04,2012-10-10,2012-09-28,2012-09-09,2012-10-04,2012-09-22,2012-08-28,0.34314,0.35819,0.38294,0.3342,0.43145
uiefprairie,GR,1000,falling,gcc_75,2011-09-29,2011-09-18,2011-08-25,2011-10-01,2011-09-20,2011-08-28,2011-09-26,2011-09-15,2011-08-24,0.34332,0.35963,0.38901,0.33311,0.4422
uiefprairie,GR,1000,falling,gcc_75,2010-09-26,2010-08-28,2010-08-05,2010-09-29,2010-08-31,2010-08-08,2010-09-22,2010-08-24,2010-08-04,0.34714,0.36402,0.39486,0.3358,0.45064
uiefprairie,GR,1000,falling,gcc_75,2009-09-27,2009-09-10,2009-08-20,2009-10-04,2009-09-14,2009-08-22,2009-09-22,2009-09-06,2009-08-19,0.34717,0.36364,0.39207,0.33621,0.44596
uiefprairie,GR,1000,falling,gcc_75,2008-12-06,2008-11-29,2008-11-22,2008-12-19,2008-11-30,2008-11-24,2008-12-02,2008-11-27,2008-11-20,0.34291,0.35194,0.37123,0.33643,0.40562
uiefprairie,GR,1000,falling,gcc_50,2018-07-21,2018-07-17,2018-07-12,2018-07-22,2018-07-18,2018-07-14,2018-07-20,2018-07-15,2018-07-11,0.34563,0.35426,0.37243,0.3413,0.399
uiefprairie,GR,1000,falling,gcc_50,2017-09-25,2017-09-04,2017-08-11,2017-09-29,2017-09-07,2017-08-17,2017-09-14,2017-08-31,2017-08-08,0.34682,0.35756,0.3766,0.34025,0.41201
uiefprairie,GR,1000,falling,gcc_50,2016-10-09,2016-09-14,2016-08-14,2016-10-15,2016-09-19,2016-08-19,2016-10-03,2016-09-10,2016-08-03,0.33954,0.35293,0.37568,0.33076,0.41988
uiefprairie,GR,1000,falling,gcc_50,2015-09-16,2015-08-25,2015-08-12,2015-09-18,2015-09-09,2015-08-15,2015-09-12,2015-08-22,2015-08-10,0.35113,0.36359,0.38453,0.34397,0.42293
uiefprairie,GR,1000,falling,gcc_50,2014-09-28,2014-09-13,2014-08-21,2014-10-01,2014-09-16,2014-08-25,2014-09-24,2014-09-08,2014-08-16,0.34185,0.3557,0.37994,0.33301,0.42655
uiefprairie,GR,1000,falling,gcc_50,2013-09-27,2013-09-10,2013-08-21,2013-10-07,2013-09-12,2013-08-24,2013-09-19,2013-09-07,2013-08-19,0.34218,0.35562,0.37959,0.33302,0.42578
uiefprairie,GR,1000,falling,gcc_50,2012-10-05,2012-09-24,2012-09-02,2012-10-07,2012-09-26,2012-09-08,2012-10-01,2012-09-22,2012-08-29,0.34314,0.35631,0.37939,0.33488,0.42268
uiefprairie,GR,1000,falling,gcc_50,2011-09-26,2011-09-15,2011-08-24,2011-09-28,2011-09-17,2011-08-27,2011-09-23,2011-09-11,2011-08-22,0.34459,0.3598,0.38699,0.33542,0.43678
uiefprairie,GR,1000,falling,gcc_50,2010-09-26,2010-08-29,2010-08-06,2010-09-30,2010-09-01,2010-08-09,2010-09-21,2010-08-25,2010-08-05,0.34323,0.35988,0.38925,0.33231,0.44389
uiefprairie,GR,1000,falling,gcc_50,2009-10-01,2009-09-11,2009-08-20,2009-10-09,2009-09-13,2009-08-22,2009-09-22,2009-09-07,2009-08-18,0.34319,0.35878,0.38728,0.33254,0.44112
uiefprairie,GR,1000,falling,gcc_50,2008-12-03,2008-11-28,2008-11-21,2008-12-17,2008-11-29,2008-11-23,2008-11-30,2008-11-25,2008-11-20,0.34059,0.34883,0.36971,0.33401,0.40262
uiefprairie,GR,1000,falling,gcc_mean,2018-07-21,2018-07-17,2018-07-12,2018-07-22,2018-07-18,2018-07-13,2018-07-20,2018-07-15,2018-07-11,0.34716,0.3551,0.37074,0.34276,0.39743
uiefprairie,GR,1000,falling,gcc_mean,2017-09-24,2017-09-05,2017-08-12,2017-09-27,2017-09-07,2017-08-17,2017-09-14,2017-09-02,2017-08-08,0.3472,0.35681,0.37524,0.34086,0.40873
uiefprairie,GR,1000,falling,gcc_mean,2016-10-09,2016-09-15,2016-08-15,2016-10-13,2016-09-19,2016-08-19,2016-10-04,2016-09-10,2016-08-03,0.33928,0.35227,0.37492,0.33102,0.4182
uiefprairie,GR,1000,falling,gcc_mean,2015-09-16,2015-08-25,2015-08-12,2015-09-18,2015-08-31,2015-08-15,2015-09-13,2015-08-22,2015-08-10,0.35059,0.36272,0.38278,0.34341,0.42138
uiefprairie,GR,1000,falling,gcc_mean,2014-09-27,2014-09-13,2014-08-22,2014-09-29,2014-09-15,2014-08-25,2014-09-23,2014-09-09,2014-08-19,0.34167,0.35568,0.37891,0.33339,0.42434
uiefprairie,GR,1000,falling,gcc_mean,2013-10-02,2013-09-09,2013-08-20,2013-10-08,2013-09-11,2013-08-23,2013-09-20,2013-09-07,2013-08-18,0.34148,0.3553,0.37901,0.33255,0.4236
uiefprairie,GR,1000,falling,gcc_mean,2012-10-05,2012-09-24,2012-09-01,2012-10-07,2012-09-25,2012-09-06,2012-10-02,2012-09-21,2012-08-27,0.3428,0.35595,0.37972,0.33449,0.42439
uiefprairie,GR,1000,falling,gcc_mean,2011-09-26,2011-09-15,2011-08-25,2011-09-28,2011-09-17,2011-08-27,2011-09-24,2011-09-12,2011-08-23,0.3444,0.3592,0.38406,0.335,0.43208
uiefprairie,GR,1000,falling,gcc_mean,2010-09-26,2010-08-28,2010-08-05,2010-09-29,2010-08-31,2010-08-07,2010-09-22,2010-08-25,2010-08-03,0.34337,0.36008,0.38824,0.33266,0.44257
uiefprairie,GR,1000,falling,gcc_mean,2009-09-29,2009-09-11,2009-08-20,2009-10-06,2009-09-13,2009-08-22,2009-09-23,2009-09-07,2009-08-19,0.34377,0.35886,0.38618,0.33329,0.43831
uiefprairie,GR,1000,falling,gcc_mean,2008-12-04,2008-11-27,2008-11-20,2008-12-16,2008-11-28,2008-11-22,2008-11-30,2008-11-25,2008-11-19,0.34034,0.35052,0.37035,0.334,0.40326
