#
# Transition date estimate for usgseros
#
# Site: usgseros
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2019
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:14:09
# Spline RMSE gcc_mean: 0.0021
# Spline RMSE gcc_50: 0.00209
# Spline RMSE gcc_75: 0.00217
# Spline RMSE gcc_90: 0.00284
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usgseros,GR,2000,rising,gcc_90,2019-04-30,2019-05-09,2019-05-23,2019-04-28,2019-05-07,2019-05-20,2019-05-02,2019-05-11,2019-05-24,0.31591,0.32625,0.34577,0.30887,0.38013
usgseros,GR,2000,rising,gcc_90,2020-04-29,2020-05-10,2020-05-23,2020-04-26,2020-05-09,2020-05-21,2020-05-03,2020-05-12,2020-05-24,0.31295,0.32272,0.34253,0.30649,0.37544
usgseros,GR,2000,rising,gcc_75,2019-05-02,2019-05-10,2019-05-21,2019-04-29,2019-05-09,2019-05-18,2019-05-05,2019-05-12,2019-05-22,0.31464,0.32389,0.34321,0.30794,0.37551
usgseros,GR,2000,rising,gcc_75,2020-05-02,2020-05-12,2020-05-23,2020-04-30,2020-05-11,2020-05-21,2020-05-06,2020-05-15,2020-05-24,0.31284,0.32227,0.34135,0.30695,0.37199
usgseros,GR,2000,rising,gcc_50,2019-05-01,2019-05-10,2019-05-21,2019-04-28,2019-05-08,2019-05-19,2019-05-04,2019-05-12,2019-05-22,0.31256,0.32241,0.34007,0.30624,0.37192
usgseros,GR,2000,rising,gcc_50,2020-05-02,2020-05-12,2020-05-23,2020-04-29,2020-05-10,2020-05-21,2020-05-05,2020-05-15,2020-05-24,0.3118,0.32116,0.33942,0.30584,0.36957
usgseros,GR,2000,rising,gcc_mean,2019-05-01,2019-05-10,2019-05-21,2019-04-29,2019-05-08,2019-05-19,2019-05-04,2019-05-12,2019-05-22,0.31218,0.32231,0.34035,0.306,0.37267
usgseros,GR,2000,rising,gcc_mean,2020-05-02,2020-05-12,2020-05-23,2020-04-29,2020-05-10,2020-05-21,2020-05-05,2020-05-15,2020-05-24,0.31175,0.32103,0.33897,0.30576,0.36942
usgseros,GR,2000,falling,gcc_90,2020-09-12,2020-09-03,2020-08-19,2020-09-14,2020-09-04,2020-08-22,2020-09-10,2020-09-01,2020-08-18,0.30962,0.32014,0.34001,0.30249,0.37533
usgseros,GR,2000,falling,gcc_90,2019-09-25,2019-09-13,2019-08-26,2019-09-26,2019-09-14,2019-08-29,2019-09-22,2019-09-10,2019-08-25,0.31324,0.32439,0.34426,0.30678,0.38005
usgseros,GR,2000,falling,gcc_75,2020-09-12,2020-09-02,2020-08-21,2020-09-14,2020-09-04,2020-08-23,2020-09-09,2020-08-31,2020-08-19,0.30752,0.31881,0.3366,0.30127,0.37184
usgseros,GR,2000,falling,gcc_75,2019-09-27,2019-09-17,2019-08-26,2019-10-01,2019-09-18,2019-08-29,2019-09-23,2019-09-14,2019-08-24,0.30927,0.31946,0.33959,0.30231,0.37631
usgseros,GR,2000,falling,gcc_50,2020-09-12,2020-09-03,2020-08-21,2020-09-15,2020-09-04,2020-08-23,2020-09-09,2020-09-01,2020-08-20,0.30577,0.31587,0.33484,0.29896,0.36921
usgseros,GR,2000,falling,gcc_50,2019-09-28,2019-09-17,2019-08-26,2019-10-01,2019-09-18,2019-08-29,2019-09-24,2019-09-14,2019-08-25,0.3076,0.31765,0.33743,0.30063,0.37265
usgseros,GR,2000,falling,gcc_mean,2020-09-12,2020-09-03,2020-08-21,2020-09-14,2020-09-04,2020-08-23,2020-09-09,2020-09-01,2020-08-20,0.30517,0.31563,0.33453,0.29871,0.36906
usgseros,GR,2000,falling,gcc_mean,2019-09-28,2019-09-17,2019-08-26,2019-10-01,2019-09-18,2019-08-29,2019-09-24,2019-09-14,2019-08-25,0.30713,0.31756,0.33738,0.30016,0.37336
