#
# Transition date estimate for vaira
#
# Site: vaira
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2021-09-01
# Final Processing Time: 15:45:36
# Spline RMSE gcc_mean: 0.0021
# Spline RMSE gcc_50: 0.00218
# Spline RMSE gcc_75: 0.00202
# Spline RMSE gcc_90: 0.00211
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vaira,GR,1000,rising,gcc_90,2012-03-01,2012-03-03,2012-03-07,2012-02-12,2012-03-02,2012-03-02,2012-03-02,2012-03-20,2012-03-20,0.31392,0.32261,0.35362,0.3092,0.38808
vaira,GR,1000,rising,gcc_90,2012-11-20,2012-12-01,2012-12-18,2012-11-16,2012-11-27,2012-12-17,2012-11-24,2012-12-05,2012-12-22,0.31407,0.32281,0.33841,0.30808,0.36803
vaira,GR,1000,rising,gcc_90,2014-02-14,2014-02-23,2014-03-04,2014-02-12,2014-02-22,2014-03-03,2014-02-16,2014-02-25,2014-03-05,0.31464,0.32979,0.35776,0.30416,0.41016
vaira,GR,1000,rising,gcc_90,2014-11-11,2014-11-26,2014-12-07,2014-11-07,2014-11-24,2014-12-06,2014-11-16,2014-11-29,2014-12-08,0.30928,0.31982,0.34033,0.30248,0.37567
vaira,GR,1000,rising,gcc_90,2016-01-08,2016-01-16,2016-01-27,2016-01-04,2016-01-14,2016-01-26,2016-01-09,2016-01-17,2016-02-08,0.31872,0.33175,0.35367,0.31042,0.39594
vaira,GR,1000,rising,gcc_90,2016-10-22,2016-10-28,2016-11-17,2016-10-21,2016-10-27,2016-11-16,2016-10-24,2016-10-30,2016-11-19,0.31176,0.32361,0.34419,0.3044,0.38278
vaira,GR,1000,rising,gcc_90,2018-01-05,2018-01-10,2018-02-16,2018-01-03,2018-01-09,2018-01-17,2018-01-07,2018-01-13,2018-02-22,0.31648,0.32702,0.34789,0.30915,0.38564
vaira,GR,1000,rising,gcc_90,2018-11-30,2019-01-12,2019-02-27,2018-11-28,2019-01-11,2019-02-24,2018-12-06,2019-01-14,2019-02-28,0.31213,0.32641,0.35393,0.30308,0.40065
vaira,GR,1000,rising,gcc_90,2020-01-16,2020-02-13,2020-03-10,2020-01-08,2020-01-24,2020-03-08,2020-01-20,2020-02-19,2020-03-11,0.31572,0.32774,0.34847,0.30761,0.38908
vaira,GR,1000,rising,gcc_75,2012-03-01,2012-03-03,2012-03-07,2012-02-13,2012-03-02,2012-03-02,2012-03-02,2012-03-20,2012-03-20,0.3141,0.32233,0.35142,0.30781,0.38528
