Precip,AllSites,KG_B,KG_Cf,KG_Cs,KG_Df
0,0.007225943,0.003059793,0,0.010510989,0.397126511
0.5,0.041568044,0.697409618,0,0.01772653,0.511135677
1,0.205362656,0.999422561,0,0.029746457,0.623997982
1.5,0.606291506,0.999999231,0,0.049506028,0.72483142
2,0.901731088,0.999999999,0,0.081291503,0.806988201
2.5,0.982039685,1,0,0.130679129,0.869047176
3,0.996940152,1,0,0.203427678,0.913296222
3.5,0.999485183,1,0,0.302578889,0.943564449
4,0.999913566,1,0,0.424314306,0.963686201
4.5,0.999985494,1,0,0.555982447,0.976809988
5,0.999997565,1,7.1632E-288,0.680230791,0.985263374
5.5,0.999999591,1,1.363E-260,0.783264483,0.990664722
6,0.999999931,1,2.5933E-233,0.859935292,0.994098197
6.5,0.999999988,1,4.9344E-206,0.91251304,0.996273605
7,0.999999998,1,9.3888E-179,0.946580119,0.997649053
7.5,1,1,1.7864E-151,0.967849003,0.998517565
8,1,1,3.3991E-124,0.98082135,0.999065523
8.5,1,1,6.46748E-97,0.988621125,0.999411056
9,1,1,1.23058E-69,0.99327057,0.999628872
9.5,1,1,2.34145E-42,0.996027869,0.99976615
10,1,1,4.45513E-15,0.997658064,0.999852657
10.5,1,1,1,0.99862014,0.999907166
11,1,1,1,0.999187314,0.99994151
11.5,1,1,1,0.99952147,0.99996315
12,1,1,1,0.999718268,0.999976783
12.5,1,1,1,0.999834145,0.999985373
13,1,1,1,0.999902367,0.999990784
13.5,1,1,1,0.999942528,0.999994194
14,1,1,1,0.999966169,0.999996342
14.5,1,1,1,0.999980086,0.999997695
15,1,1,1,0.999988278,0.999998548
15.5,1,1,1,0.9999931,0.999999085
16,1,1,1,0.999995938,0.999999424
16.5,1,1,1,0.999997609,0.999999637
17,1,1,1,0.999998593,0.999999771
17.5,1,1,1,0.999999172,0.999999856
18,1,1,1,0.999999512,0.999999909
18.5,1,1,1,0.999999713,0.999999943
19,1,1,1,0.999999831,0.999999964
19.5,1,1,1,0.999999901,0.999999977
20,1,1,1,0.999999941,0.999999986
