"year","predicted"
2007,198
2008,191
2009,211
2010,228
2011,188
2012,171
2013,194
2014,221
2015,213
2016,176
2017,174
2018,211
2019,220
2020,239
2021,246
2022,143
2023,189
2024,194
2025,245
2026,189
2027,234
2028,222
2029,219
2030,236
2031,174
2032,194
2033,179
2034,259
2035,220
2036,184
2037,239
2038,158
2039,189
2040,204
2041,230
2042,221
2043,194
2044,223
2045,227
2046,187
2047,182
2048,258
2049,197
2050,199
2051,218
2052,222
2053,200
2054,244
2055,255
2056,213
2057,231
2058,203
2059,214
2060,199
2061,219
2062,189
2063,178
2064,201
2065,204
2066,209
2067,191
2068,198
2069,201
2070,236
2071,196
2072,208
2073,233
2074,263
2075,200
2076,237
2077,180
2078,181
2079,189
2080,189
2081,210
2082,214
2083,174
2084,222
2085,248
2086,199
2087,212
2088,250
2089,202
2090,206
2091,249
2092,158
2093,203
2094,243
2095,227
2096,241
2097,246
2098,228
2099,214
2100,185
