"year","predicted"
2007,114
2008,107
2009,116
2010,117
2011,106
2012,105
2013,119
2014,121
2015,110
2016,112
2017,109
2018,117
2019,102
2020,112
2021,108
2022,127
2023,111
2024,104
2025,114
2026,106
2027,124
2028,104
2029,107
2030,111
2031,104
2032,112
2033,114
2034,104
2035,111
2036,117
2037,114
2038,107
2039,108
2040,109
2041,102
2042,107
2043,115
2044,110
2045,119
2046,109
2047,106
2048,109
2049,104
2050,105
2051,106
2052,129
2053,119
2054,116
2055,109
2056,105
2057,104
2058,106
2059,104
2060,106
2061,120
2062,108
2063,108
2064,105
2065,109
2066,122
2067,109
2068,110
2069,116
2070,110
2071,106
2072,107
2073,114
2074,103
2075,105
2076,105
2077,105
2078,115
2079,107
2080,107
2081,110
2082,119
2083,112
2084,107
2085,118
2086,113
2087,104
2088,106
2089,117
2090,109
2091,127
2092,116
2093,112
2094,103
2095,103
2096,104
2097,104
2098,109
2099,106
2100,122
