"year","predicted"
2007,128
2008,141
2009,135
2010,127
2011,138
2012,135
2013,142
2014,137
2015,135
2016,136
2017,133
2018,142
2019,126
2020,134
2021,137
2022,137
2023,128
2024,139
2025,145
2026,135
2027,132
2028,127
2029,136
2030,126
2031,134
2032,136
2033,126
2034,135
2035,136
2036,137
2037,141
2038,145
2039,134
2040,132
2041,133
2042,129
2043,141
2044,136
2045,135
2046,137
2047,137
2048,135
2049,126
2050,132
2051,133
2052,128
2053,128
2054,137
2055,133
2056,125
2057,124
2058,129
2059,134
2060,130
2061,127
2062,125
2063,135
2064,126
2065,133
2066,122
2067,138
2068,132
2069,124
2070,127
2071,136
2072,125
2073,133
2074,125
2075,125
2076,133
2077,123
2078,127
2079,137
2080,135
2081,128
2082,137
2083,135
2084,136
2085,128
2086,127
2087,121
2088,142
2089,132
2090,129
2091,122
2092,124
2093,132
2094,126
2095,123
2096,127
2097,117
2098,124
2099,130
2100,127
