"year","predicted"
2007,45
2008,67
2009,105
2010,53
2011,60
2012,69
2013,52
2014,52
2015,63
2016,80
2017,58
2018,67
2019,46
2020,58
2021,69
2022,89
2023,65
2024,57
2025,72
2026,62
2027,52
2028,51
2029,68
2030,59
2031,67
2032,50
2033,46
2034,51
2035,77
2036,79
2037,67
2038,60
2039,72
2040,47
2041,52
2042,57
2043,62
2044,63
2045,41
2046,59
2047,43
2048,56
2049,71
2050,44
2051,45
2052,58
2053,61
2054,48
2055,48
2056,46
2057,64
2058,56
2059,70
2060,39
2061,52
2062,40
2063,57
2064,39
2065,40
2066,60
2067,64
2068,53
2069,60
2070,52
2071,51
2072,52
2073,39
2074,54
2075,71
2076,54
2077,37
2078,63
2079,59
2080,47
2081,47
2082,38
2083,52
2084,30
2085,58
2086,41
2087,66
2088,59
2089,73
2090,45
2091,37
2092,72
2093,44
2094,39
2095,34
2096,56
2097,55
2098,41
2099,45
2100,66
