"year","predicted"
2007,178
2008,196
2009,215
2010,233
2011,228
2012,185
2013,201
2014,224
2015,260
2016,194
2017,242
2018,203
2019,216
2020,237
2021,201
2022,184
2023,99
2024,237
2025,188
2026,206
2027,236
2028,235
2030,240
2031,118
2032,223
2033,148
2035,198
2036,213
2038,174
2039,201
2040,217
2041,161
2042,114
2043,157
2044,208
2045,234
2046,241
2047,211
2048,219
2049,149
2050,229
2051,173
2052,224
2053,228
2055,212
2056,212
2057,196
2058,209
2059,207
2060,184
2061,206
2062,149
2063,223
2064,212
2066,211
2067,109
2068,199
2069,201
2071,235
2072,204
2073,239
2075,221
2076,200
2077,200
2078,208
2079,216
2080,179
2081,125
2082,226
2083,233
2085,196
2086,193
2087,228
2088,248
2089,201
2090,180
2091,205
2092,168
2093,226
2094,205
2095,220
2096,221
2097,257
2098,191
2099,175
2100,174
