"year","predicted"
2007,107
2008,107
2009,116
2010,116
2011,109
2012,116
2013,123
2014,112
2015,116
2016,116
2017,120
2018,115
2019,103
2020,110
2021,111
2022,111
2023,110
2024,106
2025,110
2026,103
2027,110
2028,106
2029,106
2030,113
2031,104
2032,117
2033,110
2034,110
2035,112
2036,109
2037,106
2038,108
2039,114
2040,138
2041,107
2042,107
2043,112
2044,105
2045,110
2046,106
2047,108
2048,110
2049,140
2050,105
2051,106
2052,112
2053,121
2054,114
2055,108
2056,109
2057,120
2058,105
2059,104
2060,114
2061,115
2062,105
2063,105
2064,104
2065,134
2066,121
2067,104
2068,109
2069,111
2070,112
2071,108
2072,117
2073,104
2074,104
2075,109
2076,107
2077,108
2078,113
2079,108
2080,114
2081,108
2082,106
2083,112
2084,109
2085,104
2086,123
2087,105
2088,110
2089,104
2090,125
2091,104
2092,118
2093,105
2094,103
2095,110
2096,110
2097,104
2098,106
2099,115
2100,105
