"year","predicted"
2007,136
2008,140
2009,140
2010,133
2011,131
2012,141
2013,140
2014,136
2015,139
2016,134
2017,147
2018,142
2019,127
2020,134
2021,139
2022,135
2023,136
2024,133
2025,140
2026,137
2027,136
2028,135
2029,137
2030,139
2031,138
2032,144
2033,133
2034,132
2035,138
2036,141
2037,147
2038,134
2039,137
2040,130
2041,131
2042,133
2043,140
2044,135
2045,137
2046,140
2047,132
2048,136
2049,127
2050,132
2051,127
2052,127
2053,134
2054,131
2055,130
2056,132
2057,124
2058,127
2059,131
2060,139
2061,132
2062,129
2063,132
2064,128
2065,132
2066,121
2067,143
2068,131
2069,132
2070,132
2071,131
2072,123
2073,137
2074,121
2075,130
2076,133
2077,126
2078,126
2079,137
2080,134
2081,123
2082,127
2083,127
2084,120
2085,120
2086,129
2087,119
2088,139
2089,136
2090,126
2091,132
2092,120
2093,134
2094,133
2095,126
2096,131
2097,123
2098,134
2099,130
2100,127
