"year","predicted"
2007,46
2008,67
2009,76
2010,47
2011,57
2012,71
2013,53
2014,52
2015,71
2016,85
2017,57
2018,64
2019,52
2020,52
2021,65
2022,87
2023,64
2024,58
2025,69
2026,59
2027,54
2028,44
2029,57
2030,53
2031,67
2032,39
2033,31
2034,58
2035,40
2036,84
2037,48
2038,58
2039,38
2040,51
2041,54
2042,38
2043,52
2044,63
2045,44
2046,70
2047,35
2048,55
2049,73
2050,45
2051,49
2052,59
2053,49
2054,49
2055,51
2056,50
2057,66
2058,59
2059,74
2060,38
2061,42
2062,42
2063,47
2064,40
2065,40
2066,65
2067,65
2068,53
2069,53
2070,52
2071,47
2072,54
2073,39
2074,58
2075,72
2076,59
2077,38
2078,64
2079,28
2080,48
2081,49
2082,55
2083,59
2084,32
2085,41
2086,37
2087,65
2088,62
2089,58
2090,44
2091,41
2092,53
2093,51
2094,62
2095,34
2096,58
2097,63
2098,39
2099,44
2100,65
