"year","predicted"
2007,118
2008,128
2009,113
2010,108
2011,119
2012,107
2013,108
2014,115
2015,109
2016,112
2017,105
2018,110
2019,113
2020,116
2021,116
2022,105
2023,107
2024,115
2025,107
2026,117
2027,120
2028,104
2029,106
2030,116
2031,106
2032,105
2033,126
2034,104
2035,104
2036,115
2037,111
2038,110
2039,115
2040,129
2041,109
2042,112
2043,113
2044,107
2045,105
2046,108
2047,109
2048,108
2049,107
2050,115
2051,107
2052,106
2053,109
2054,110
2055,111
2056,104
2057,131
2058,105
2059,110
2060,107
2061,118
2062,106
2063,106
2064,106
2065,105
2066,106
2067,105
2068,105
2069,110
2070,106
2071,113
2072,105
2073,105
2074,118
2075,105
2076,105
2077,107
2078,111
2079,102
2080,106
2081,107
2082,109
2083,110
2084,110
2085,105
2086,105
2087,126
2088,107
2089,106
2090,104
2091,104
2092,105
2093,105
2094,106
2095,113
2096,133
2097,105
2098,105
2099,105
2100,105
