"year","predicted"
2007,96
2008,75
2009,54
2010,66
2011,55
2012,61
2013,41
2014,73
2015,81
2016,44
2017,75
2018,59
2019,41
2020,46
2021,80
2022,60
2023,73
2024,53
2025,70
2026,61
2027,75
2028,50
2029,65
2030,45
2031,42
2032,48
2033,34
2034,67
2035,59
2036,55
2037,47
2038,43
2039,49
2040,52
2041,77
2042,25
2043,31
2044,71
2045,78
2046,39
2047,59
2048,47
2049,47
2050,58
2051,70
2052,41
2053,83
2054,68
2055,51
2056,47
2057,75
2058,63
2059,65
2060,33
2061,80
2062,65
2063,54
2064,59
2065,44
2066,51
2067,58
2068,37
2069,83
2070,47
2071,49
2072,57
2073,39
2074,64
2075,72
2076,31
2077,39
2078,60
2079,32
2080,49
2081,63
2082,38
2083,24
2084,45
2085,27
2086,82
2087,40
2088,56
2089,57
2090,62
2091,70
2092,56
2093,50
2094,42
2095,76
2096,36
2097,37
2098,38
2099,76
2100,43
