"year","predicted"
2007,164
2008,224
2009,196
2010,249
2011,217
2012,258
2013,213
2014,202
2015,223
2016,188
2017,207
2018,129
2019,172
2020,147
2022,224
2023,168
2024,169
2025,202
2026,206
2027,256
2028,251
2029,207
2030,191
2031,94
2032,219
2033,188
2034,182
2035,230
2036,223
2037,241
2038,190
2039,211
2040,253
2041,238
2042,153
2044,214
2045,150
2046,219
2047,239
2048,251
2049,225
2050,189
2051,190
2052,161
2053,225
2054,229
2055,215
2056,216
2057,237
2058,196
2059,220
2060,108
2061,200
2062,240
2063,222
2064,150
2065,218
2066,201
2067,96
2068,217
2069,192
2070,196
2071,96
2072,221
2073,214
2074,185
2075,195
2076,238
2077,192
2078,198
2080,244
2081,191
2082,187
2083,218
2084,253
2085,163
2086,209
2087,190
2088,234
2089,161
2090,215
2091,245
2092,222
2093,232
2094,257
2095,242
2096,207
2097,110
2098,192
2099,237
2100,247
