"year","predicted"
2007,109
2008,118
2009,118
2010,113
2011,119
2012,117
2013,105
2014,112
2015,109
2016,115
2017,113
2018,107
2019,110
2020,118
2021,105
2022,118
2023,111
2024,104
2025,120
2026,124
2027,105
2028,105
2029,116
2030,104
2031,109
2032,124
2033,108
2034,113
2035,107
2036,107
2037,111
2038,104
2039,104
2040,113
2041,106
2042,111
2043,106
2044,103
2045,110
2046,112
2047,114
2048,108
2049,106
2050,110
2051,107
2052,103
2053,110
2054,116
2055,111
2056,108
2057,104
2058,128
2059,108
2060,116
2061,111
2062,108
2063,103
2064,116
2065,126
2066,107
2067,103
2068,116
2069,108
2070,104
2071,112
2072,106
2073,102
2074,113
2075,104
2076,116
2077,113
2078,115
2079,106
2080,105
2081,107
2082,104
2083,109
2084,106
2085,108
2086,107
2087,105
2088,114
2089,112
2090,122
2091,105
2092,113
2093,105
2094,105
2095,112
2096,105
2097,123
2098,113
2099,106
2100,106
