"year","predicted"
2007,135
2008,150
2009,148
2010,139
2011,145
2012,135
2013,132
2014,132
2015,139
2016,140
2017,129
2018,133
2019,131
2020,139
2021,125
2022,133
2023,130
2024,136
2025,145
2026,143
2027,138
2028,128
2029,143
2030,133
2031,128
2032,127
2033,139
2034,127
2035,135
2036,133
2037,137
2038,126
2039,135
2040,122
2041,133
2042,135
2043,140
2044,140
2045,130
2046,129
2047,127
2048,126
2049,124
2050,139
2051,121
2052,126
2053,130
2054,129
2055,124
2056,133
2057,133
2058,121
2059,135
2060,126
2061,137
2062,133
2063,129
2064,133
2065,132
2066,129
2067,132
2068,130
2069,126
2070,121
2071,136
2072,127
2073,136
2074,132
2075,123
2076,121
2077,129
2078,125
2079,131
2080,124
2081,128
2082,135
2083,128
2084,125
2085,124
2086,132
2087,124
2088,137
2089,126
2090,129
2091,122
2092,133
2093,130
2094,137
2095,130
2096,126
2097,137
2098,126
2099,121
2100,120
