"year","predicted"
2007,62
2008,76
2009,46
2010,94
2011,85
2012,72
2013,77
2014,88
2015,49
2016,55
2017,48
2018,70
2019,67
2020,44
2021,53
2022,79
2023,58
2024,50
2025,70
2026,41
2027,52
2028,81
2029,62
2030,74
2031,42
2032,86
2033,80
2034,102
2035,56
2036,73
2037,82
2038,85
2039,52
2040,66
2041,75
2042,54
2043,103
2044,35
2045,56
2046,60
2047,67
2048,77
2049,73
2050,50
2051,46
2052,61
2053,53
2054,60
2055,33
2056,51
2057,61
2058,66
2059,54
2060,46
2061,67
2062,67
2063,78
2064,47
2065,30
2066,65
2067,53
2068,79
2069,53
2070,70
2071,73
2072,41
2073,58
2074,38
2075,41
2076,44
2077,28
2078,39
2079,55
2080,72
2081,99
2082,91
2083,78
2084,76
2085,42
2086,70
2087,59
2088,42
2089,51
2090,36
2091,45
2092,19
2093,50
2094,75
2095,32
2096,61
2097,28
2098,63
2099,25
2100,44
