"year","predicted"
2007,213
2008,165
2009,250
2010,229
2011,233
2012,212
2013,231
2014,200
2015,177
2016,187
2017,200
2019,177
2020,241
2021,248
2022,188
2023,157
2025,255
2026,206
2027,262
2028,258
2029,205
2030,221
2031,239
2032,214
2033,196
2034,214
2035,244
2036,210
2037,247
2038,230
2039,205
2040,236
2041,231
2042,248
2043,242
2044,194
2045,169
2046,194
2047,209
2048,205
2049,243
2050,231
2051,203
2052,135
2053,220
2054,171
2055,200
2057,181
2058,200
2059,212
2060,249
2061,253
2062,235
2063,237
2064,227
2066,191
2067,242
2068,230
2069,191
2072,228
2073,179
2074,169
2075,219
2076,241
2077,200
2078,253
2079,247
2080,188
2081,208
2082,228
2083,200
2084,171
2085,185
2086,212
2087,228
2088,219
2089,213
2091,238
2092,215
2093,197
2094,228
2095,251
2096,246
2097,195
2098,159
2099,227
