"year","predicted"
2007,115
2008,108
2009,122
2010,113
2011,112
2012,109
2013,106
2014,105
2015,129
2016,112
2017,113
2018,108
2019,118
2020,142
2021,115
2022,113
2023,111
2024,116
2025,104
2026,108
2027,112
2028,130
2029,114
2030,124
2031,103
2032,131
2033,113
2034,105
2035,119
2036,105
2037,119
2038,109
2039,115
2040,106
2041,104
2042,112
2043,110
2044,109
2045,113
2046,112
2047,111
2048,110
2049,111
2050,109
2051,106
2052,110
2053,110
2054,108
2055,131
2056,108
2057,110
2058,108
2059,106
2060,108
2061,107
2062,108
2063,106
2064,113
2065,104
2066,106
2067,107
2068,109
2069,104
2070,105
2071,108
2072,116
2073,105
2074,106
2075,106
2076,108
2077,115
2078,107
2079,109
2080,110
2081,108
2082,106
2083,117
2084,116
2085,108
2086,108
2087,124
2088,106
2089,114
2090,104
2091,107
2092,112
2093,107
2094,110
2095,113
2096,106
2097,112
2098,115
2099,126
