"year","predicted"
2007,142
2008,135
2009,141
2010,136
2011,144
2012,136
2013,141
2014,136
2015,139
2016,129
2017,135
2018,140
2019,133
2020,135
2021,138
2022,138
2023,142
2024,146
2025,131
2026,140
2027,143
2028,138
2029,136
2030,137
2031,130
2032,139
2033,140
2034,132
2035,142
2036,138
2037,135
2038,142
2039,137
2040,136
2041,131
2042,134
2043,137
2044,134
2045,138
2046,135
2047,131
2048,139
2049,140
2050,143
2051,134
2052,142
2053,136
2054,130
2055,136
2056,142
2057,133
2058,135
2059,138
2060,130
2061,138
2062,137
2063,134
2064,132
2065,141
2066,134
2067,130
2068,129
2069,135
2070,137
2071,129
2072,135
2073,135
2074,135
2075,136
2076,144
2077,138
2078,132
2079,137
2080,136
2081,135
2082,135
2083,131
2084,136
2085,129
2086,128
2087,137
2088,137
2089,129
2090,130
2091,130
2092,130
2093,127
2094,133
2095,136
2096,130
2097,139
2098,136
2099,132
