"year","predicted"
2007,53
2008,77
2009,45
2010,43
2011,43
2012,69
2013,102
2014,71
2015,66
2016,71
2017,51
2018,66
2019,71
2020,53
2021,76
2022,84
2023,75
2024,45
2025,65
2026,78
2027,60
2028,74
2029,66
2030,71
2031,73
2032,60
2033,41
2034,66
2035,67
2036,83
2037,70
2038,51
2039,72
2040,52
2041,53
2042,69
2043,61
2044,75
2045,53
2046,66
2047,91
2048,47
2049,50
2050,50
2051,58
2052,56
2053,51
2054,52
2055,87
2056,44
2057,68
2058,49
2059,63
2060,62
2061,53
2062,68
2063,36
2064,63
2065,69
2066,74
2067,41
2068,57
2069,59
2070,57
2071,64
2072,56
2073,39
2074,67
2075,42
2076,73
2077,53
2078,49
2079,51
2080,75
2081,65
2082,51
2083,50
2084,51
2085,57
2086,60
2087,40
2088,61
2089,41
2090,67
2091,65
2092,59
2093,59
2094,57
2095,74
2096,66
2097,47
2098,31
2099,38
