"year","predicted"
2007,220
2008,173
2009,196
2010,255
2012,128
2013,225
2014,170
2015,213
2016,175
2017,206
2018,238
2019,211
2020,202
2022,202
2023,195
2024,191
2025,216
2026,209
2027,235
2029,238
2030,187
2031,241
2032,202
2033,203
2034,229
2035,246
2036,196
2037,216
2038,263
2039,197
2040,216
2041,243
2042,221
2043,190
2044,240
2045,112
2046,184
2047,192
2048,87
2049,217
2050,253
2051,215
2052,115
2053,238
2054,196
2055,213
2056,238
2057,229
2058,215
2059,238
2060,241
2061,209
2062,222
2063,230
2064,219
2065,260
2066,188
2067,168
2068,186
2069,177
2070,248
2071,246
2072,230
2073,226
2074,213
2076,199
2077,233
2078,211
2079,246
2080,189
2081,216
2082,198
2083,201
2084,203
2085,204
2086,196
2087,251
2088,201
2089,222
2090,258
2091,189
2092,207
2093,224
2094,248
2095,214
2096,218
2097,205
2098,208
2099,241
