"year","predicted"
2007,107
2008,110
2009,116
2010,111
2011,128
2012,111
2013,106
2014,127
2015,109
2016,106
2017,116
2018,132
2019,109
2020,115
2021,128
2022,116
2023,113
2024,109
2025,115
2026,113
2027,108
2028,121
2029,120
2030,135
2031,117
2032,115
2033,106
2034,106
2035,122
2036,113
2037,109
2038,105
2039,104
2040,112
2041,109
2042,113
2043,104
2044,108
2045,117
2046,112
2047,104
2048,107
2049,112
2050,113
2051,104
2052,105
2053,119
2054,109
2055,107
2056,120
2057,110
2058,113
2059,110
2060,106
2061,119
2062,117
2063,104
2064,105
2065,114
2066,120
2067,111
2068,115
2069,103
2070,104
2071,131
2072,119
2073,103
2074,106
2075,118
2076,106
2077,104
2078,105
2079,110
2080,109
2081,110
2082,118
2083,111
2084,134
2085,107
2086,120
2087,107
2088,106
2089,103
2090,104
2091,103
2092,110
2093,114
2094,105
2095,118
2096,106
2097,106
2098,115
2099,105
