"year","predicted"
2007,144
2008,135
2009,140
2010,130
2011,137
2012,139
2013,135
2014,133
2015,131
2016,137
2017,138
2018,138
2019,136
2020,140
2021,131
2022,136
2023,143
2024,135
2025,133
2026,136
2027,135
2028,140
2029,131
2030,132
2031,127
2032,137
2033,131
2034,127
2035,135
2036,137
2037,135
2038,134
2039,137
2040,133
2041,132
2042,133
2043,134
2044,130
2045,137
2046,130
2047,132
2048,127
2049,139
2050,145
2051,138
2052,137
2053,131
2054,132
2055,132
2056,128
2057,134
2058,128
2059,130
2060,128
2061,127
2062,130
2063,123
2064,128
2065,135
2066,129
2067,125
2068,125
2069,133
2070,132
2071,129
2072,126
2073,125
2074,127
2075,127
2076,125
2077,127
2078,130
2079,123
2080,124
2081,128
2082,137
2083,124
2084,127
2085,122
2086,128
2087,128
2088,127
2089,122
2090,122
2091,127
2092,122
2093,123
2094,127
2095,125
2096,128
2097,135
2098,128
2099,127
