"year","predicted"
2007,77
2008,56
2009,49
2010,82
2011,60
2012,88
2013,84
2014,68
2015,65
2016,73
2017,83
2018,66
2019,67
2020,54
2021,94
2022,60
2023,75
2024,45
2025,56
2026,54
2027,52
2028,45
2029,66
2030,50
2031,78
2032,74
2033,70
2034,62
2035,73
2036,80
2037,100
2038,51
2039,73
2040,50
2041,54
2042,59
2043,86
2044,64
2045,71
2046,50
2047,91
2048,83
2049,43
2050,47
2051,51
2052,74
2053,54
2054,62
2055,86
2056,44
2057,76
2058,66
2059,59
2060,47
2061,50
2062,64
2063,63
2064,63
2065,60
2066,36
2067,33
2068,54
2069,54
2070,61
2071,65
2072,54
2073,67
2074,70
2075,53
2076,43
2077,48
2078,51
2079,52
2080,39
2081,64
2082,59
2083,61
2084,41
2085,74
2086,75
2087,70
2088,54
2089,42
2090,69
2091,39
2092,71
2093,57
2094,37
2095,62
2096,61
2097,43
2098,60
2099,32
