"year","predicted"
2007,203
2008,232
2009,189
2010,210
2011,216
2012,228
2014,217
2015,213
2016,257
2017,202
2018,163
2019,134
2021,190
2022,249
2023,177
2025,226
2026,229
2027,209
2028,245
2029,208
2030,178
2031,201
2032,240
2033,222
2034,230
2035,229
2037,206
2038,221
2040,210
2041,147
2042,207
2044,204
2045,222
2046,238
2047,251
2048,200
2049,148
2050,235
2051,232
2052,239
2053,234
2054,189
2055,256
2056,188
2057,223
2058,240
2059,188
2060,228
2061,243
2062,198
2063,225
2066,256
2067,210
2068,226
2069,247
2070,233
2071,219
2072,251
2073,170
2075,193
2076,252
2077,188
2078,172
2079,188
2080,227
2081,235
2082,186
2083,241
2084,225
2085,249
2086,148
2087,215
2089,204
2090,197
2091,241
2092,213
2093,188
2094,240
2095,233
2096,241
2097,199
