"year","predicted"
2007,104
2008,105
2009,115
2010,105
2011,108
2012,110
2013,112
2014,112
2015,105
2016,117
2017,105
2018,109
2019,116
2020,115
2021,112
2022,110
2023,131
2024,116
2025,110
2026,110
2027,120
2028,117
2029,120
2030,108
2031,104
2032,112
2033,105
2034,115
2035,106
2036,110
2037,105
2038,110
2039,106
2040,105
2041,115
2042,122
2043,105
2044,111
2045,112
2046,107
2047,108
2048,104
2049,108
2050,121
2051,105
2052,138
2053,113
2054,129
2055,116
2056,123
2057,115
2058,105
2059,107
2060,122
2061,107
2062,105
2063,108
2064,105
2065,137
2066,121
2067,109
2068,108
2069,106
2070,105
2071,119
2072,112
2073,108
2074,112
2075,112
2076,103
2077,119
2078,105
2079,106
2080,106
2081,104
2082,112
2083,104
2084,105
2085,118
2086,103
2087,104
2088,107
2089,103
2090,108
2091,107
2092,118
2093,104
2094,109
2095,111
2096,103
2097,116
2098,105
