time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tmin[unit="degC"]
2006-01-01T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-10.007137
2006-01-02T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-12.415027
2006-01-03T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-20.199774
2006-01-04T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-8.533008
2006-01-05T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-12.497551
2006-01-06T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.5074453
2006-01-07T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-17.702423
2006-01-08T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-5.25879
2006-01-09T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-8.459028
2006-01-10T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.062166
2006-01-11T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-1.8029456
2006-01-12T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.399693
2006-01-13T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-14.317566
2006-01-14T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-9.606253
2006-01-15T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-12.407353
2006-01-16T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-18.842457
2006-01-17T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-20.51521
2006-01-18T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-12.404159
2006-01-19T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-12.436454
2006-01-20T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-15.176699
2006-01-21T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-15.348846
2006-01-22T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.919923
2006-01-23T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-1.1722769
2006-01-24T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-2.089884
2006-01-25T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.7337207
2006-01-26T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.8712482
2006-01-27T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-2.123085
2006-01-28T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-7.5354357
2006-01-29T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-7.784597
2006-01-30T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-4.5766664
2006-02-01T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-9.386635
2006-02-02T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.3924015
2006-02-03T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-14.443461
2006-02-04T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-5.224884
2006-02-05T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-16.23145
2006-02-06T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-18.164457
2006-02-07T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-21.1809
2006-02-08T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-14.344969
2006-02-09T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-9.328357
2006-02-10T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-16.985527
2006-02-11T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-18.139372
2006-02-12T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-17.6138
2006-02-13T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-18.64275
2006-02-14T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-4.756285
2006-02-15T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.9021525
2006-02-16T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.89159054
2006-02-17T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.6701192
2006-02-18T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.4832914
2006-02-19T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-2.4305224
2006-02-20T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,2.6927035
2006-02-21T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,1.454348
2006-02-22T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-1.0778048
2006-02-23T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.85010004
2006-02-24T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,2.9839406
2006-02-25T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,0.8620667
2006-02-26T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.9918492
2006-02-27T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.0409086
2006-02-28T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-5.4213157
2006-02-29T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,0.5936835
2006-02-30T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.3314425
2006-03-01T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,5.0538793
2006-03-02T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-1.4970167
2006-03-03T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-2.4522126
2006-03-04T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-5.5016265
2006-03-05T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-2.340054
2006-03-06T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,4.620236
2006-03-07T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,3.110228
2006-03-08T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,6.2329
2006-03-09T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,0.8018608
2006-03-10T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.4392692
2006-03-11T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.16738252
2006-03-12T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,2.0177848
2006-03-13T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-5.9774003
2006-03-14T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-10.167576
2006-03-15T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.1911523
2006-03-16T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-3.4211848
2006-03-17T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,0.4632725
2006-03-18T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.901838
2006-03-19T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,3.605542
2006-03-20T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-2.0700436
2006-03-21T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.957417
2006-03-22T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.914812
2006-03-23T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-6.726342
2006-03-24T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-4.4093666
2006-03-25T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,-0.027593069
2006-03-26T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,5.8829603
2006-03-27T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,7.198124
2006-03-28T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,5.358508
2006-03-29T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,11.471542
2006-03-30T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,3.4733279
2006-04-01T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,5.079491
2006-04-02T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,8.389967
2006-04-03T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,5.470456
2006-04-04T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,1.3268514
2006-04-05T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,2.3754642
2006-04-06T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,6.1623774
2006-04-07T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,11.116925
2006-04-08T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,8.828649
2006-04-09T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,9.252025
2006-04-10T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,15.679525
2006-04-11T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,7.499447
2006-04-12T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,13.853346
2006-04-13T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,15.764907
2006-04-14T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,17.689491
2006-04-15T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,11.980483
2006-04-16T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,6.017658
2006-04-17T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,5.7972775
2006-04-18T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,2.5241919
2006-04-19T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,2.667644
2006-04-20T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,1.1343123
2006-04-21T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,8.550904
2006-04-22T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,8.526098
2006-04-23T12:00:00Z,GridPointAt[39.056N_95.191W],39.056,-95.190,8.97906
