"year","predicted"
2007,137
2008,139
2009,141
2010,132
2011,135
2012,145
2013,143
2014,145
2015,134
2016,141
2017,145
2018,135
2019,139
2020,139
2021,140
2022,138
2023,128
2024,134
2025,132
2026,134
2027,138
2028,131
2029,124
2030,136
2031,134
2032,150
2033,133
2034,145
2035,131
2036,140
2037,137
2038,142
2039,132
2040,136
2041,136
2042,132
2043,144
2044,140
2045,138
2046,136
2047,130
2048,130
2049,135
2050,132
2051,132
2052,133
2053,136
2054,132
2055,146
2056,123
2057,135
2058,124
2059,138
2060,138
2061,128
2062,140
2063,129
2064,125
2065,136
2066,133
2067,137
2068,129
2069,128
2070,131
2071,131
2072,138
2073,133
2074,130
2075,131
2076,124
2077,129
2078,129
2079,132
2080,138
2081,128
2082,135
2083,136
2084,125
2085,126
2086,133
2087,130
2088,134
2089,134
2090,131
2091,139
2092,129
2093,127
2094,132
2095,126
2096,135
2097,131
2098,137
