"year","predicted"
2007,73
2008,53
2009,55
2010,62
2011,51
2012,69
2013,60
2014,51
2015,59
2016,77
2017,51
2018,76
2019,53
2020,44
2021,49
2022,49
2023,105
2024,73
2025,67
2026,51
2027,50
2028,46
2029,78
2030,50
2031,72
2032,74
2033,66
2034,49
2035,44
2036,46
2037,58
2038,61
2039,30
2040,62
2041,44
2042,49
2043,51
2044,53
2045,56
2046,58
2047,46
2048,63
2049,45
2050,45
2051,61
2052,61
2053,49
2054,58
2055,44
2056,66
2057,57
2058,58
2059,59
2060,59
2061,74
2062,62
2063,62
2064,61
2065,37
2066,50
2067,50
2068,86
2069,55
2070,38
2071,58
2072,67
2073,76
2074,73
2075,69
2076,45
2077,62
2078,64
2079,54
2080,64
2081,57
2082,50
2083,62
2084,57
2085,62
2086,80
2087,38
2088,66
2089,54
2090,60
2091,38
2092,26
2093,38
2094,45
2095,31
2096,37
2097,70
2098,37
