time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tmax[unit="degC"]
2006-01-01T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.641714
2006-01-02T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,13.605441
2006-01-03T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.480784
2006-01-04T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.672674
2006-01-05T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.991104
2006-01-06T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,19.021141
2006-01-07T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,16.274033
2006-01-08T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,16.070934
2006-01-09T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,15.486707
2006-01-10T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,18.72667
2006-01-11T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,16.25492
2006-01-12T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,20.142147
2006-01-13T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,15.815906
2006-01-14T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,19.770807
2006-01-15T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,21.773193
2006-01-16T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,20.81537
2006-01-17T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,20.365103
2006-01-18T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,15.8553705
2006-01-19T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,14.635554
2006-01-20T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,14.545659
2006-01-21T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.266249
2006-01-22T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,14.106653
2006-01-23T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.358578
2006-01-24T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.249552
2006-01-25T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.750635
2006-01-26T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.495092
2006-01-27T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.284931
2006-01-28T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.585703
2006-01-29T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,15.022667
2006-01-30T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.580997
2006-02-01T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,9.856474
2006-02-02T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,9.678285
2006-02-03T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,10.337465
2006-02-04T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.58498
2006-02-05T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,10.504483
2006-02-06T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,9.13453
2006-02-07T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,10.962298
2006-02-08T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.524389
2006-02-09T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.530939
2006-02-10T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.971231
2006-02-11T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.417204
2006-02-12T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,10.418454
2006-02-13T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.704644
2006-02-14T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.438987
2006-02-15T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,10.516302
2006-02-16T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.737308
2006-02-17T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.90941
2006-02-18T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.548264
2006-02-19T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,16.63739
2006-02-20T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,13.210206
2006-02-21T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.849756
2006-02-22T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,9.623983
2006-02-23T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.020058
2006-02-24T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,10.149852
2006-02-25T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,13.773687
2006-02-26T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.118628
2006-02-27T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,13.692277
2006-02-28T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,13.4197
2006-02-29T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.318019
2006-02-30T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,9.689459
2006-03-01T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.906635
2006-03-02T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.217784
2006-03-03T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,15.940071
2006-03-04T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,18.004116
2006-03-05T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,18.88518
2006-03-06T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.07711
2006-03-07T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.8393545
2006-03-08T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,11.6841
2006-03-09T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.9545555
2006-03-10T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,12.759748
2006-03-11T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.808874
2006-03-12T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,18.003208
2006-03-13T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.285685
2006-03-14T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,22.569683
2006-03-15T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,22.113031
2006-03-16T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,22.516981
2006-03-17T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,20.664854
2006-03-18T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,17.629118
2006-03-19T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,20.150894
2006-03-20T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,21.049206
2006-03-21T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,21.429964
2006-03-22T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,22.767351
2006-03-23T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,22.830563
2006-03-24T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,26.464916
2006-03-25T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,25.731245
2006-03-26T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,21.744133
2006-03-27T12:00:00Z,GridPointAt[38.413N_120.951W],38.413,-120.950,16.863852
