"year","predicted"
2007,237
2008,202
2009,221
2010,208
2011,169
2012,221
2013,222
2015,205
2016,229
2017,220
2018,198
2019,206
2020,245
2021,183
2022,225
2023,200
2024,227
2025,193
2026,212
2027,147
2028,224
2029,210
2030,250
2031,236
2032,260
2033,212
2034,206
2035,229
2036,232
2037,250
2038,220
2040,246
2041,195
2042,245
2043,254
2044,168
2045,232
2047,194
2048,192
2049,240
2050,242
2051,236
2052,191
2053,237
2054,196
2055,229
2056,231
2057,240
2058,189
2059,183
2060,238
2061,202
2062,232
2063,195
2064,222
2065,151
2066,230
2067,236
2068,194
2069,228
2070,209
2071,207
2072,186
2073,173
2074,212
2075,255
2076,201
2077,231
2078,208
2079,177
2080,214
2081,256
2082,198
2084,240
2085,243
2086,221
2087,196
2088,188
2089,203
2090,204
2091,246
2092,210
2093,167
2094,214
2095,216
2096,234
2097,220
2098,226
2099,175
