"year","predicted"
2007,114
2008,122
2009,127
2010,104
2011,124
2012,124
2013,116
2014,113
2015,111
2016,117
2017,106
2018,120
2019,108
2020,131
2021,116
2022,108
2023,126
2024,115
2025,113
2026,113
2027,140
2028,104
2029,109
2030,108
2031,114
2032,114
2033,109
2034,112
2035,108
2036,108
2037,111
2038,116
2039,123
2040,110
2041,114
2042,111
2043,109
2044,105
2045,114
2046,127
2047,104
2048,108
2049,108
2050,109
2051,114
2052,112
2053,119
2054,104
2055,104
2056,104
2057,106
2058,102
2059,110
2060,105
2061,107
2062,105
2063,106
2064,116
2065,107
2066,120
2067,112
2068,104
2069,104
2070,114
2071,109
2072,110
2073,104
2074,103
2075,107
2076,102
2077,109
2078,106
2079,107
2080,111
2081,103
2082,131
2083,114
2084,105
2085,104
2086,109
2087,103
2088,106
2089,106
2090,108
2091,107
2092,110
2093,129
2094,106
2095,112
2096,103
2097,104
2098,104
2099,107
